,,,,,,,,,,,
ORLEN SA (PKN PW) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of PLN except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.640,3.220,3.400,3.080,3.610,3.340,3.750,4.240,—
    Growth (YoY),ESG_SCORE,—,—,21.970,5.590,-9.412,17.208,-7.479,12.275,13.067,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.930,1.720,1.900,2.000,2.450,2.480,2.720,3.040,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,84.705,10.290,5.160,22.499,1.515,9.648,11.472,—
BESG Social Pillar Score,SOCIAL_SCORE,—,4.330,4.920,4.890,4.190,4.640,3.540,4.190,5.400,—
    Growth (YoY),SOCIAL_SCORE,—,—,13.450,-0.469,-14.320,10.708,-23.727,18.459,28.797,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.610,4.520,4.900,4.030,4.770,4.760,5.220,5.340,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.893,8.336,-17.730,18.483,-0.383,9.819,2.268,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,38.326,45.177,48.828,54.129,56.342,55.970,50.639,57.379,58.264,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,13.325,17.874,8.083,10.857,4.088,-0.661,-9.526,13.309,1.543,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,24.585,44.307,51.435,55.150,55.482,54.364,49.260,58.321,57.596,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,145.181,80.221,16.087,7.223,0.602,-2.014,-9.389,18.394,-1.243,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,19.256,26.391,30.230,31.258,37.576,37.576,39.238,50.423,53.809,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-5.067,37.049,14.548,3.400,20.213,0.000,4.425,28.505,6.715,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,71.011,64.750,64.750,75.888,75.888,75.888,63.365,63.365,63.365,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,-8.817,0.000,17.201,0.000,0.000,-16.501,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,14.121,13.063,12.169,10.649,10.664,9.824,12.609,10.779,12.021,14.828
    Growth (YoY),NOX_EMISSIONS,—,-7.492,-6.844,-12.491,0.141,-7.877,28.349,-14.513,11.522,23.351
VOC Emissions,VOC_EMISSIONS,—,—,—,11.945,11.107,—,—,—,—,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,-7.015,—,—,—,—,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,5.636,4.210,3.603,4.794,4.559,5.400,8.310,6.880,8.289,7.317
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,-25.302,-14.418,33.056,-4.902,18.447,53.889,-17.208,20.480,-11.726
Particulate Emissions,PARTICULATE_EMISSIONS,2.026,1.551,1.452,1.235,1.088,0.888,1.019,1.017,1.276,1.178
    Growth (YoY),PARTICULATE_EMISSIONS,—,-23.445,-6.383,-14.945,-11.903,-18.382,14.752,-0.196,25.467,-7.680
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,32.264,34.265,17.118,20.462,18.290,17.250,20.013,17.070,18.532,18.777
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,6.202,-50.042,19.535,-10.615,-5.686,16.017,-14.705,8.565,1.322
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,0.005,0.006,0.006,—,—
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,—,3.676,5.496,—,—
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,"17,652.000","20,231.000","24,901.400"
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,14.610,23.085
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,—,"27,869.699","27,623.600","25,356.400"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,—,-0.883,-8.207
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,"1,627.550","1,676.810","1,337.790"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,3.027,-20.218
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,"1,679.350","1,653.800","1,628.440"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,-1.521,-1.533
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,"175,151.000","170,642.000","169,307.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,-2.574,-0.782
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,1.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,"13,509.000","8,797.720","32,893.301","35,355.000","34,302.301","63,071.000","38,819.398","57,947.500"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,-34.875,273.884,7.484,-2.978,83.868,-38.451,49.275
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,—,598.934
Electricity Used,ELECTRICITY_USED,—,—,513.751,607.611,614.179,640.026,630.100,"28,352.199","29,853.100","46,232.699"
    Growth (YoY),ELECTRICITY_USED,—,—,—,18.270,1.081,4.208,-1.551,"4,399.635",5.294,54.867
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,"2,391.870",—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,"1,348,050.000",—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,"34,654.602","38,203.898","38,396.000","38,948.898",—,—,"1,055.390",—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,10.242,0.503,1.440,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,69.434,73.276,75.305,100.128,83.840,112.745,81.295,74.957,—,—
    Growth (YoY),HAZARDOUS_WASTE,—,5.533,2.768,32.964,-16.267,34.476,-27.895,-7.796,—,—
Total Waste,TOTAL_WASTE,152.620,160.353,175.244,212.991,176.827,220.524,291.636,295.710,371.265,633.769
    Growth (YoY),TOTAL_WASTE,—,5.067,9.286,21.540,-16.979,24.712,32.247,1.397,25.550,70.705
Waste Recycled,WASTE_RECYCLED,—,—,98.534,83.229,55.191,57.202,80.276,221.000,—,—
    Growth (YoY),WASTE_RECYCLED,—,—,—,-15.533,-33.688,3.644,40.338,175.300,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,6.660,4.630,4.957,4.422,63.461,28.653,229.010,316.485,592.774
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,-30.480,7.063,-10.793,"1,335.120",-54.849,699.253,38.197,87.299
Raw Materials Used,RAW_MAT_USED,—,—,—,—,—,—,—,149.685,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"76,295.500","84,087.602","82,679.203","86,406.602","90,278.797","94,087.797","331,770.000","519,340.000","629,900.000","801,530.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,0.048,10.213,-1.675,4.508,4.481,4.219,252.617,56.536,21.289,27.247
Total Water Discharged,TOTAL_WATER_DISCHARGED,"54,345.301","53,913.602","46,045.000","51,263.699","51,551.898","50,914.500","304,057.000","502,590.000","605,800.000","727,698.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,4.540,-0.794,-14.595,11.334,0.562,-1.236,497.191,65.295,20.536,20.122
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,No,No,No,No,No,No,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Customer Complaints,CUSTOMER_COMPLAINTS,—,"3,000.000","3,326.000","6,211.000","5,387.000","7,659.000",—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,8.000,9.000,10.000,—,10.000,11.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,12.500,11.111,—,—,10.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,26.000,26.000,26.000,26.000,27.000,27.000,26.690,29.000,28.000,28.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,27.139,0.000,0.000,0.000,3.846,0.000,-1.148,8.655,-3.448,0.000
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,0.100,0.820,0.930
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,720.000,13.415
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,—,0.000,0.000,0.000,0.000,0.000,1.000,4.000,3.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,—,0.000,0.000,6.000,0.000,0.000,2.000,1.000,1.000
Fatalities - Total,FATALITIES_TOTAL,0.000,1.000,0.000,0.000,6.000,0.000,0.000,3.000,5.000,4.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,0.330,0.350,0.340,0.400
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,6.061,-2.857,17.647
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,0.080,0.100,0.070,0.150
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,25.000,-30.000,114.286
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,0.140,0.220,0.160,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,57.143,-27.273,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.260,0.268,0.274,0.272,0.234,0.258,0.330,0.350,0.340,0.400
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-13.333,3.077,2.239,-0.730,-13.971,10.256,27.907,6.061,-2.857,17.647
