,,,,,,,,,,,
PTT Exploration & Production PCL (PTTEP TB) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.370,5.430,5.730,6.360,5.850,5.970,5.970,6.010,—
    Growth (YoY),ESG_SCORE,—,—,1.117,5.525,10.995,-8.019,2.051,0.000,0.670,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,4.490,4.030,4.950,6.530,5.660,6.010,5.150,5.510,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-10.228,22.638,32.127,-13.382,6.261,-14.315,6.956,—
BESG Social Pillar Score,SOCIAL_SCORE,—,6.650,7.530,7.030,6.420,6.220,6.120,7.790,7.510,—
    Growth (YoY),SOCIAL_SCORE,—,—,13.143,-6.560,-8.719,-3.108,-1.666,27.339,-3.596,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,5.650,5.950,5.830,6.020,5.820,5.760,5.650,5.450,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,5.239,-1.985,3.171,-3.245,-0.997,-1.929,-3.505,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,61.070,63.223,64.189,70.385,71.613,73.433,73.987,80.948,79.992,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,1.965,3.525,1.527,9.654,1.744,2.542,0.753,9.409,-1.181,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,54.243,56.509,56.841,66.566,70.251,69.949,71.610,75.053,74.751,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,3.755,4.176,0.588,17.109,5.535,-0.430,2.375,4.808,-0.402,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,39.571,43.198,45.768,54.655,54.655,60.429,60.429,71.614,69.045,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,4.137,9.167,5.948,19.419,0.000,10.564,0.000,18.509,-3.588,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,89.284,89.856,89.856,89.856,89.856,89.856,89.856,96.117,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.641,0.000,0.000,0.000,0.000,0.000,6.968,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,10.615,11.043,10.860,9.121,8.777,7.758,12.414,14.437,17.355,29.320
    Growth (YoY),NOX_EMISSIONS,12.281,4.032,-1.657,-16.013,-3.772,-11.610,60.015,16.296,20.212,68.943
VOC Emissions,VOC_EMISSIONS,18.231,16.620,16.064,16.804,14.161,13.550,23.146,24.821,24.594,27.411
    Growth (YoY),VOC_EMISSIONS,11.083,-8.837,-3.345,4.607,-15.728,-4.315,70.819,7.237,-0.915,11.454
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.715,0.598,0.610,0.418,0.417,0.329,0.671,0.882,1.202,2.263
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,24.132,-16.364,2.007,-31.475,-0.261,-21.086,103.951,31.446,36.281,88.270
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
    Growth (YoY),ODS_EMISSIONS,75.000,-35.714,-55.556,225.000,84.615,116.667,11.538,-50.000,55.172,-46.667
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,"4,978.330","4,823.530","4,950.500",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,-3.109,2.632,—
GHG Scope 1,GHG_SCOPE_1,"5,122.070","4,255.630","4,631.490","4,644.870","4,127.620","3,914.230","5,387.740","5,147.770","5,710.650","6,744.230"
    Growth (YoY),GHG_SCOPE_1,14.869,-16.916,8.832,0.289,-11.136,-5.170,37.645,-4.454,10.934,18.099
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,4.155,4.227,5.666,5.771,5.635,5.669,13.548,13.984,14.918,17.323
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,127.049,1.733,34.043,1.853,-2.357,0.603,138.984,3.218,6.679,16.121
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,0.000,—,—,14.919,17.323
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,16.114
GHG Scope 3,GHG_SCOPE_3,35.364,57.911,58.830,"27,166.600","28,629.199",20.463,12.302,9.502,17.828,26.451
    Growth (YoY),GHG_SCOPE_3,183.593,63.757,1.587,"46,078.138",5.384,-99.929,-39.882,-22.761,87.625,48.368
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,—,—,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,—,—,—,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.263,0.251,0.230,0.259,0.223,0.235,0.208
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,-4.831,-8.275,12.609,-13.707,5.145,-11.489
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"6,642.870","7,277.250","7,312.640","6,892.390","6,804.130","7,194.390","9,084.180","9,218.160","10,091.000","15,077.600"
    Growth (YoY),ENERGY_CONSUMPTION,14.646,9.550,0.486,-5.747,-1.281,5.736,26.268,1.475,9.469,49.416
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,20.519,17.615,17.465,15.335,12.359,16.423,20.714
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,-14.153,-0.852,-12.196,-19.407,32.883,26.128
Electricity Used,ELECTRICITY_USED,20.408,22.642,31.593,299.188,322.438,"2,643.500",38.161,93.869,39.496,42.393
    Growth (YoY),ELECTRICITY_USED,115.030,10.945,39.536,846.998,7.771,719.848,-98.556,145.982,-57.924,7.335
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,0.390,0.390,0.661,—,0.424,"10,074.500",—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,0.000,69.487,—,—,"2,375,961.321",—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,0.569,—,—,0.000,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,"555,186.000","593,652.000","638,031.000","694,051.000","850,146.000","876,788.000",—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,6.928,7.476,8.780,22.490,3.134,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,71.717,54.587,45.143,89.628,63.410,129.388,329.436
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,-23.886,-17.300,98.540,-29.252,104.050,154.611
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,0.406,0.397,0.386,0.408,0.419,0.436,1.430,—,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,-2.055,-2.797,5.755,2.721,3.974,227.898,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,36.468,42.566,28.742,40.072,57.825,83.540,112.861,64.513,51.509,50.722
    Growth (YoY),HAZARDOUS_WASTE,-19.010,16.722,-32.477,39.420,44.303,44.470,35.098,-42.839,-20.157,-1.528
Total Waste,TOTAL_WASTE,239.635,218.316,177.980,147.686,180.780,159.137,176.356,170.520,233.505,437.792
    Growth (YoY),TOTAL_WASTE,—,-8.896,-18.476,-17.021,22.408,-11.972,10.820,-3.309,36.937,87.487
Waste Recycled,WASTE_RECYCLED,—,—,—,—,54.234,122.535,81.124,43.960,45.011,44.295
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,125.938,-33.795,-45.811,2.391,-1.591
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,0.000,0.060,0.063,0.145,0.105,0.000,0.831,0.473,0.421
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,3.569,131.255,-27.187,—,—,-43.081,-10.994
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"51,033.602","51,295.699","50,782.102","48,272.000","49,727.500","46,795.398","86,950.000","76,590.000","150,830.000","84,780.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-23.867,0.514,-1.001,-4.943,3.015,-5.896,85.809,-11.915,96.932,-43.791
Total Water Discharged,TOTAL_WATER_DISCHARGED,"6,658.180","7,668.990","8,220.890","8,870.870","8,427.590","8,265.990","13,900.000","12,370.000","13,600.000","16,170.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,0.274,15.181,7.197,7.906,-4.997,-1.918,68.159,-11.007,9.943,18.897
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,660.000,650.000,530.000,140.000
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,-1.515,-18.462,-73.585
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,44.507,26.499,422.580,22.227,24.619,21.387,376.022,468.494,369.134,430.069
    Growth (YoY),COMMUNITY_SPENDING,125.000,-40.461,"1,494.688",-94.740,10.762,-13.128,"1,658.184",24.592,-21.208,16.508
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,23.000,28.000,23.230,26.000,22.000,24.000,27.000,28.000,28.000,25.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,-4.167,21.739,-17.036,11.924,-15.385,9.091,12.500,3.704,0.000,-10.714
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,24.500,27.350,21.690,26.000,22.000,23.000,28.000,33.000,33.000,33.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,11.633,-20.695,19.871,-15.385,4.545,21.739,17.857,0.000,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,33.000,32.000,33.050,34.000,33.000,33.000,35.000,33.000,32.000,33.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-2.941,-3.030,3.281,2.874,-2.941,0.000,6.061,-5.714,-3.030,3.125
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,95.000,91.400,90.510,92.510,91.972,93.000,—
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,-3.789,-0.974,2.210,-0.582,1.118,—
Percentage Gender Pay Gap Employees Ex Management,PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,—,99.800,101.000,103.000,103.000,102.428,103.000,—
