,,,,,,,,,,,
Paramount Resources Ltd (POU CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,1.610,1.870,1.740,4.370,5.110,4.900,5.290,5.050,—
    Growth (YoY),ESG_SCORE,—,—,16.149,-6.952,151.149,16.934,-4.110,7.959,-4.537,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.660,1.020,0.770,3.240,3.840,4.140,4.460,4.300,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,55.180,-24.232,319.471,18.502,7.891,7.597,-3.574,—
BESG Social Pillar Score,SOCIAL_SCORE,—,0.390,0.390,0.390,4.380,6.020,4.900,6.040,5.030,—
    Growth (YoY),SOCIAL_SCORE,—,—,0.000,0.000,"1,013.962",37.464,-18.628,23.468,-16.866,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,5.750,6.110,6.140,6.530,6.560,6.290,6.010,6.450,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,6.308,0.359,6.444,0.402,-4.079,-4.470,7.404,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,27.744,30.098,28.257,30.098,44.915,46.343,47.943,53.385,52.631,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,8.484,-6.116,6.515,49.231,3.180,3.451,11.351,-1.413,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,15.162,22.742,27.092,35.397,35.397,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,—,—,50.000,19.124,30.658,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,0.000,5.804,5.804,5.804,35.157,40.296,34.069,34.069,32.497,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,0.000,0.000,505.729,14.617,-15.454,0.000,-4.614,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.287,78.778,84.287,84.287,75.888,82.541,90.548,89.856,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,1.523,-6.536,6.993,0.000,-9.964,8.766,9.701,-0.765,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,3.768,4.513,2.967,3.162,4.075,4.194
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,19.772,-34.257,6.572,28.874,2.920
VOC Emissions,VOC_EMISSIONS,—,—,—,—,0.194,0.168,1.295,1.200,1.260,0.956
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,-13.402,670.833,-7.336,5.000,-24.127
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,0.032,0.028,0.069,0.133,0.140
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,-12.500,146.429,92.754,5.263
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,1.505,0.606,0.184,0.222,0.381,0.365
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,-59.734,-69.637,20.652,71.622,-4.199
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,253.520,312.591,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,23.300,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,84.942,76.689,53.301
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,-9.716,-30.497
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,535.233,564.225,490.454,420.877,483.762,460.416
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,5.417,-13.075,-14.186,14.941,-4.826
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,171.486,132.751,86.744,84.942,76.689,53.301
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,-22.588,-34.657,-2.077,-9.716,-30.497
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,0.000,—,—,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,No,No,No,No,No,No,No,No,No
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,—,"1,405.750","1,865.010",—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,—,—,32.670,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,11.934,11.983,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,0.411,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,119.344,119.827,—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,0.405,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,"128,999.000","8,344.980","8,922.640"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,—,-93.531,6.922
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,730.000,"1,380.000","1,473.000","1,786.000","1,774.000","2,574.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,89.041,6.739,21.249,-0.672,45.096
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,"1,380.000","1,473.000","1,786.000","1,774.000","2,574.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,6.739,21.249,-0.672,45.096
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,No,No,No,No,No,No,No,No,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,442.000,430.000,—,—,—,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,-2.715,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,23.000,21.000,—,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,-8.696,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,21.000,24.000,23.000,21.000,21.000,21.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,14.286,-4.167,-8.696,0.000,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,36.000,36.000,33.000,32.000,34.000,33.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,0.000,-8.333,-3.030,6.250,-2.941
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,1.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,1.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,0.000,0.000,—,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,0.120,0.060,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,-50.000,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,0.810,0.360,1.120,0.000,1.180,1.940
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,-55.556,211.111,—,—,64.407
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,0.920,0.300,1.450,1.140,0.930,1.460
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,-67.391,383.333,-21.379,-18.421,56.989
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,n/a,No,No,No,No,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,196.000,304.000,692.000,592.000,509.000,423.000,402.000,441.000,455.000
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,154.000,130.000,70.000,85.000,82.000,74.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,323.000,0.447,0.065,0.098,0.224,0.309
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,-99.862,-85.459,50.769,128.571,37.946
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,"9,455.000","2,018.000","5,606.000","8,471.000","7,686.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,-78.657,177.800,51.106,-9.267
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,37.000,38.000,39.000,40.000,41.000,42.000,43.000,44.000,45.000,46.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,2.778,2.703,2.632,2.564,2.500,2.439,2.381,2.326,2.273,2.222
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,5.000,6.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,—,—,100.000,100.000,100.000
