,,,,,,,,,,,
Parex Resources Inc (PXT CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.610,3.510,4.270,4.840,5.390,6.680,6.850,7.270,7.620
    Growth (YoY),ESG_SCORE,—,—,34.483,21.652,13.349,11.364,23.933,2.545,6.131,4.814
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.350,2.080,3.090,3.780,4.890,5.970,6.390,6.360,6.510
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,53.889,48.265,22.379,29.296,22.106,7.076,-0.563,2.481
BESG Social Pillar Score,SOCIAL_SCORE,—,1.230,2.820,3.490,4.200,4.270,6.900,6.970,8.310,8.960
    Growth (YoY),SOCIAL_SCORE,—,—,129.179,23.795,20.244,1.582,61.667,1.116,19.195,7.780
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.510,7.420,7.580,7.600,7.570,7.700,7.520,7.840,8.250
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.242,2.213,0.275,-0.487,1.746,-2.255,4.146,5.326
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,44.724,44.050,58.656,66.975,66.452,74.168,75.465,75.978,73.987,73.514
    Growth (YoY),ESG_DISCLOSURE_SCORE,66.206,-1.507,33.158,14.183,-0.781,11.611,1.750,0.680,-2.621,-0.639
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,29.629,14.437,42.223,55.754,55.754,67.744,70.613,73.331,61.643,60.224
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,-51.274,192.469,32.046,0.000,21.506,4.235,3.849,-15.939,-2.303
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,23.882,30.079,46.161,51.330,49.758,60.943,61.971,60.792,66.505,66.505
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,25.949,53.467,11.198,-3.062,22.479,1.687,-1.902,9.398,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,80.524,87.477,87.477,93.739,93.739,93.739,93.739,93.739,93.739,93.739
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,8.636,0.000,7.158,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,"1,170.110",—,—,0.981,0.660,0.298,0.523,0.577
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,-32.691,-54.920,75.539,10.423
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,1.322,1.036,0.135,0.222,0.257
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,-21.657,-86.964,64.180,16.052
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,282.816,—,—,—,—,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,128.665,—,—,—,0.000,—,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,137.103,—,—,0.564,0.339,0.064,0.132,0.094
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,-39.830,-81.261,107.361,-28.436
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,No
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,0.000,0.000,0.000,—,—
CO2 Scope 1,CO2_SCOPE_1,—,—,—,73.117,111.132,166.645,123.007,140.437,143.658,161.228
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,51.992,49.952,-26.186,14.170,2.294,12.230
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,0.103,0.095,0.083,0.150,0.176,0.634,3.105
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,-7.257,-13.084,80.990,17.504,260.740,389.675
GHG Scope 1,GHG_SCOPE_1,—,—,—,80.781,125.352,190.410,140.720,158.324,180.136,199.449
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,55.176,51.900,-26.096,12.510,13.777,10.721
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,0.103,0.095,0.083,0.150,0.176,0.635,3.105
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,-6.964,-13.137,80.531,17.865,259.958,389.235
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,35.065,37.079,38.194,"2,696.000","2,828.430","3,659.270","4,347.410"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,5.745,3.007,"6,958.700",4.912,29.375,18.805
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.020,0.030,0.030,0.023,0.020,0.019,0.018
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,50.000,0.000,-23.333,-13.913,-4.545,-3.704
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,79.345,78.617,74.724,265.970,298.333,399.985,317.262,353.745,112.858,155.978
    Growth (YoY),ENERGY_CONSUMPTION,—,-0.918,-4.952,255.938,12.168,34.073,-20.682,11.499,-68.096,38.207
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,0.341,0.763,0.531,0.967,1.247,6.450,21.414
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,123.662,-30.464,82.356,28.912,417.150,231.998
Electricity Used,ELECTRICITY_USED,79.345,—,—,0.488,0.763,0.531,0.967,1.011,6.450,21.414
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,56.388,-30.506,82.356,4.507,537.913,231.998
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,0.000,0.000,0.000,0.000,0.236,—,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,0.000,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,"2,064.880","2,924.600","16,321.500","20,105.801","33,255.398","26,996.199","30,531.500",—,—
    Growth (YoY),NAT_GAS_USED,—,—,41.635,458.076,23.186,65.402,-18.822,13.096,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,1.063,0.163,9.254,8.608,5.147,1.580,1.441,—,—
    Growth (YoY),OIL_DIESEL_USED,—,—,-84.641,"5,568.602",-6.981,-40.212,-69.299,-8.828,—,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,0.018,0.017,0.016,0.012,0.013,0.012,0.014
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,-4.909,-3.661,-23.863,4.255,-7.614,18.777
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,0.660,0.511,0.172,0.176,0.201,0.649,0.096,2.061,0.734,0.802
    Growth (YoY),HAZARDOUS_WASTE,—,-22.674,-66.260,2.141,14.343,222.446,-85.213,"2,048.490",-64.395,9.278
Total Waste,TOTAL_WASTE,0.660,7.889,0.231,0.985,1.680,6.381,1.136,6.145,2.820,34.220
    Growth (YoY),TOTAL_WASTE,—,"1,094.735",-97.070,326.249,70.494,279.889,-82.203,441.034,-54.099,"1,113.272"
Waste Recycled,WASTE_RECYCLED,0.055,7.341,0.029,0.020,0.068,0.209,0.979,3.309,0.464,32.717
    Growth (YoY),WASTE_RECYCLED,—,"13,168.930",-99.606,-30.530,236.240,208.928,369.523,237.886,-85.985,"6,953.881"
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,0.193,0.098,0.929,1.925,1.095
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,-49.214,847.622,107.167,-43.114
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,128.311,101.861,97.070,128.556,126.431,174.120,102.510,152.520,220.000,211.640
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-20.614,-4.704,32.437,-1.653,37.719,-41.127,48.785,44.243,-3.800
Total Water Discharged,TOTAL_WATER_DISCHARGED,0.000,—,—,"4,970.000","5,098.000","7,284.000","4,228.000","5,363.860","4,628.000","7,205.300"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,2.575,42.880,-41.955,26.865,-13.719,55.689
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,97.430,119.000,137.710
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,22.139,15.723
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,31.500,27.800,27.400,16.700,19.000,—,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,-11.746,-1.439,-39.051,13.772,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,4.200,2.400,1.800,3.400,5.500,4.600,4.700,3.970,5.380,20.700
    Growth (YoY),COMMUNITY_SPENDING,—,-42.857,-25.000,88.889,61.765,-16.364,2.174,-15.532,35.516,284.758
Number of Customer Complaints,CUSTOMER_COMPLAINTS,144.000,347.000,250.000,224.000,287.000,209.000,190.000,579.000,668.000,926.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,33.000,33.000,27.000,18.910,—,—,—,—,31.000,22.220
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,0.000,-18.182,-29.963,—,—,—,—,—,-28.323
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,28.570,15.780,16.000,23.000,—,17.000,22.580
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,-44.767,1.394,43.750,—,—,32.824
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,29.000,29.000,32.000,31.540,33.000,32.000,32.740,33.690,33.960,35.630
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,0.000,10.345,-1.437,4.629,-3.030,2.313,2.902,0.801,4.918
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
