,,,,,,,,,,,
Parkland Corp (PKI CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.110,2.130,2.130,2.240,3.530,4.100,4.390,4.200,—
    Growth (YoY),ESG_SCORE,—,—,0.948,0.000,5.164,57.589,16.147,7.073,-4.328,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.870,0.870,0.870,0.870,3.400,3.390,3.880,3.890,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.000,0.000,0.000,291.120,-0.323,14.391,0.213,—
BESG Social Pillar Score,SOCIAL_SCORE,—,0.920,1.030,0.960,1.050,1.090,2.660,2.960,2.960,—
    Growth (YoY),SOCIAL_SCORE,—,—,11.502,-6.951,9.622,3.642,144.413,11.313,0.007,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.810,6.720,6.870,7.320,7.200,7.250,7.080,6.200,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.426,2.266,6.568,-1.721,0.776,-2.416,-12.404,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,27.744,32.200,34.514,36.606,36.606,48.567,47.762,54.673,55.699,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,6.240,16.062,7.185,6.062,0.000,32.674,-1.657,14.469,1.877,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,1.993,1.993,1.993,1.993,29.780,23.346,36.877,43.491,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,0.000,0.000,0.000,"1,393.940",-21.602,57.956,17.936,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,0.000,9.432,16.385,16.385,16.385,24.516,28.537,35.762,35.006,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,73.718,0.000,0.000,49.631,16.400,25.318,-2.113,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.979,84.979,91.240,91.240,91.240,91.240,91.240,88.471,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,6.240,2.357,0.000,7.368,0.000,0.000,0.000,0.000,-3.035,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,0.206,0.178,0.203,0.203,0.156
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,-13.604,14.049,-0.394,-23.165
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,0.148,0.164,0.167,0.196,0.211
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,10.311,2.216,17.131,7.561
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,0.030,0.035,0.044,0.046,0.044
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,13.873,28.053,4.799,-5.840
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,0.227,0.496,0.428,0.359,0.420
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,117.942,-13.757,-16.114,17.127
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,569.700,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,582.819,475.754,555.074,610.202,535.681
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,-18.370,16.672,9.932,-12.213
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,48.107,41.146,51.479,38.988,43.050
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,-14.470,25.113,-24.264,10.419
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,28.076,25.395,32.886,39.828,42.970
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,-9.549,29.498,21.109,7.889
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,"68,100.000"
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,1.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,1.314,1.396,1.383,1.301,1.273
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,6.250,-0.980,-5.941,-2.105
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,"3,480.000","2,471.940","2,705.000",752.280,8.910
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,-28.967,9.428,-72.189,-98.816
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,0.042,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,311.944,280.833,325.000,341.888,—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,-9.973,15.727,5.196,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,"1,652.050",—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,No,No,No,No,No,No,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,No,No,No,No,No,No,No,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,No,No,No,No,No,No,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,1.560,1.472,2.843,2.981,4.000,1.250,1.700,1.700
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,-5.626,93.139,4.851,34.188,-68.750,36.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,31.000,45.980,35.000,39.000,26.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,48.323,-23.880,11.429,-33.333
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,37.900,38.260,36.000,38.630
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,0.950,-5.907,7.306
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,—,0.000,0.000,1.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,—,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,—,0.000,0.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.370,0.200,0.280,0.200,0.170,0.210,0.150,0.160,0.260
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,-45.946,40.000,-28.571,-15.000,23.529,-28.571,6.667,62.500
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,2.060,2.910,2.520,1.620,1.520,1.120,1.140,1.050,1.070
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,41.262,-13.402,-35.714,-6.173,-26.316,1.786,-7.895,1.905
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,0.180,—,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,"1,800.000","2,300.000","4,363.000","3,051.000","4,635.000","5,295.000","5,946.000","6,284.000","6,181.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,30.000,11.390,12.550,—,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,-62.033,10.184,—,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,6.000,6.260,4.600,15.000,10.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,4.333,-26.518,226.087,-33.333
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,300.000,"1,300.000","1,810.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,333.333,39.231
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,10.000,9.091,8.333,7.692,7.143,6.667,6.250,5.882,5.556,5.263
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,2.000,3.000,3.000,4.000,3.000,3.000,3.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,3.000,3.000,4.000,3.000,3.000,3.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,7.000,10.000,9.000,8.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,95.230,96.670,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000,-4.770,1.512,3.445,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.000,8.000,8.000,9.000,9.000,9.000,9.000,11.000,10.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,7.000,7.000,8.000,8.000,11.000,10.000,10.000,9.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.000,7.000,7.000,8.000,8.000,8.000,8.000,10.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,17.000,19.000,18.000,11.000,12.000,13.000,16.000,10.000,20.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,99.200,97.290,98.010,97.970,100.000,100.000,98.970,100.000,99.242
