,,,,,,,,,
Paz Retail And Energy Ltd (PAZ IT) - Overview,,,,,,,,,
,,,,,,,,,
In Millions of ILS except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022
ESG Financial Materiality Scores,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.160,1.290,1.520,1.460,1.360,1.360,1.580,1.570
    Growth (YoY),ESG_SCORE,—,11.207,17.829,-3.947,-6.849,0.000,16.176,-0.633
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.050,0.050,0.430,0.430,0.430,0.430,0.430,0.430
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.000,705.425,0.000,0.000,0.000,0.000,0.000
BESG Social Pillar Score,SOCIAL_SCORE,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820
    Growth (YoY),SOCIAL_SCORE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.440,5.160,5.130,4.790,4.240,4.210,5.500,5.410
    Growth (YoY),GOVERNANCE_SCORE,—,16.243,-0.648,-6.640,-11.409,-0.667,30.535,-1.647
,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,21.768,21.768,24.002,24.002,24.002,24.002,24.967,24.967
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,0.000,10.259,0.000,0.000,0.000,4.023,0.000
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.816,0.816,1.238,1.238,1.238,1.238,1.571,1.571
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,0.000,51.852,0.000,0.000,0.000,26.829,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,11.669,11.669,11.669,11.669,11.669,11.669,14.238,14.238
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.000,0.000,0.000,0.000,0.000,22.021,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,52.709,52.709,58.971,58.971,58.971,58.971,58.971,58.971
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.000,11.879,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,
Environmental,,,,,,,,,
Air Quality,,,,,,,,,
,,,,,,,,,
Climate Change,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,
Energy,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Materials & Waste,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Supply Chain,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No
,,,,,,,,,
Water,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No
,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,
Social,,,,,,,,,
Community & Customers,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Diversity,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No
,,,,,,,,,
Ethics & Compliance,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Health & Safety,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Human Capital,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"2,287.000","2,187.000","2,257.000","2,271.000","2,221.000","2,162.000","2,241.000","3,962.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,15.620,8.830
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,-43.470
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,
Supply Chain,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No
,,,,,,,,,
Governance,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,6.000,5.000,5.000,5.000,4.000,4.000,3.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,
Board Composition,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,No,No,No,No,No,No
Board Size,BOARD_SIZE,13.000,12.000,9.000,9.000,8.000,9.000,7.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,14.000,14.000,14.000,12.000,10.000,11.000,15.000,16.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,13.000,12.000,9.000,9.000,8.000,9.000,7.000,9.000
,,,,,,,,,
Compensation,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,1.000,1.000,1.000,1.000,2.000,2.000,1.000,1.000
,,,,,,,,,
Diversity,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,5.000,4.000,4.000,4.000,2.000,2.000,3.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,2.000,2.000,2.000,2.000,3.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,43.000,44.000,49.000,53.000,54.000,55.000,46.000,47.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,76.000,75.000,73.000,74.000,75.000,76.000,77.000,78.000
,,,,,,,,,
Independence,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,1.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,—,—,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,
Sustainability Governance,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No
,,,,,,,,,
Tenure,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,
