,,,,,,,,,,,
Pembina Pipeline Corp (PPL CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.410,3.320,4.460,4.880,4.900,4.780,5.050,5.080,5.410
    Growth (YoY),ESG_SCORE,—,—,-2.639,34.337,9.417,0.410,-2.449,5.649,0.594,6.496
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.790,2.420,4.670,4.650,4.630,4.360,4.820,4.570,4.600
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-13.582,93.427,-0.437,-0.367,-6.005,10.610,-5.048,0.631
BESG Social Pillar Score,SOCIAL_SCORE,—,0.670,0.670,0.670,1.910,1.910,1.910,2.560,2.560,3.380
    Growth (YoY),SOCIAL_SCORE,—,—,0.000,0.000,183.601,0.000,0.000,34.114,0.000,31.899
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.050,7.450,7.840,7.800,7.910,7.930,7.430,7.930,8.280
    Growth (YoY),GOVERNANCE_SCORE,—,—,5.577,5.356,-0.567,1.383,0.343,-6.368,6.789,4.357
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,32.814,41.545,41.545,54.240,60.316,61.392,64.209,70.858,70.255,69.923
    Growth (YoY),ESG_DISCLOSURE_SCORE,3.819,26.609,0.000,30.557,11.202,1.785,4.588,10.356,-0.852,-0.473
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.332,4.440,4.440,32.045,49.502,50.921,60.948,62.670,62.670,60.646
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,"1,236.363",0.000,621.769,54.477,2.868,19.692,2.825,0.000,-3.229
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.394,32.557,32.557,43.077,43.863,45.677,44.105,56.076,54.262,55.290
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,41.379,162.683,0.000,32.312,1.825,4.135,-3.441,27.142,-3.235,1.894
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,85.521,87.477,87.477,87.477,87.477,87.477,87.477,93.739,93.739,93.739
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.288,0.000,0.000,0.000,0.000,0.000,7.158,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,2.101,3.262,3.467,3.232,3.189,6.060,5.778
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,55.259,6.284,-6.778,-1.330,90.028,-4.653
VOC Emissions,VOC_EMISSIONS,—,—,—,1.312,10.183,4.879,6.218,5.267,5.267,4.483
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,676.143,-52.087,27.444,-15.294,0.000,-14.885
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,0.182,0.241,0.299,0.309,0.268,0.362,0.338
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,32.418,24.066,3.344,-13.269,35.075,-6.630
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,0.778,1.581,1.651,1.725,2.389,5.933,8.041
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,103.213,4.428,4.482,38.493,148.347,35.530
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,"1,569.760","1,671.890","2,603.730","2,621.100"
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,6.506,55.736,0.667
GHG Scope 1,GHG_SCOPE_1,—,680.457,795.137,"1,019.130","1,623.370","2,588.570","2,538.740","2,603.090","2,834.290","2,842.870"
    Growth (YoY),GHG_SCOPE_1,—,—,16.853,28.170,59.290,59.457,-1.925,2.535,8.882,0.303
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,790.211,900.277,"1,021.610","1,411.370","1,430.610","1,538.010",—,—,"1,202.070"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,13.929,13.477,38.152,1.363,7.507,—,—,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,"1,528.020","1,305.420","1,126.090"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,-14.568,-13.737
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,0.000,0.000,0.135,"1,232.770","1,693.580","1,789.510"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,"911,375.061",37.380,5.664
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.023,0.023,0.022,0.023,0.004,0.004,0.004
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,1.943,-5.401,4.702,-83.166,-1.558,-2.375
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"1,365.000","2,206.000","2,164.000","9,811.870","8,639.320","12,730.500","16,544.000"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,61.612,-1.904,353.414,-11.950,47.355,29.956
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,0.176,29.734,4.131,189.340
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,"16,794.318",-86.107,"4,483.394"
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,"2,308.590","2,704.000","2,704.040","2,443.090"
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,17.128,0.001,-9.650
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,0.176,0.000,0.000,0.000
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,0.000,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,"660,415.000","558,968.000","955,798.000","1,354,040.000"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,-15.361,70.993,41.666
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,6.892,7.078,4.293,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,2.695,-39.346,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,18.615,54.561,52.123,39.552,22.400,38.457,46.453
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,193.102,-4.468,-24.118,-43.366,71.683,20.792
Total Waste,TOTAL_WASTE,—,—,—,"2,681.680","1,953.030",704.497,85.146,52.209,79.331,120.454
    Growth (YoY),TOTAL_WASTE,—,—,—,—,-27.171,-63.928,-87.914,-38.683,51.949,51.837
Waste Recycled,WASTE_RECYCLED,—,—,—,0.101,3.387,3.038,25.023,2.757,3.145,3.815
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,"3,253.465",-10.304,723.667,-88.982,14.073,21.304
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,"2,219.000","1,870.000","1,555.000","1,900.000","1,631.000","2,660.000","2,760.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,-15.728,-16.845,22.186,-14.158,63.090,3.759
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,870.000,"1,089.000","1,039.000","1,173.000","1,095.000",945.000,847.000
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,25.172,-4.591,12.897,-6.650,-13.699,-10.370
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,4.100,7.500,10.058,5.675,5.639,6.933,7.670
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,82.927,34.107,-43.577,-0.634,22.947,10.630
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,13.000,17.000,22.000,29.000,26.000,35.000,38.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,30.769,29.412,31.818,-10.345,34.615,8.571
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,32.000,27.000,29.000,—,24.000,28.000,29.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,-15.625,7.407,—,—,16.667,3.571
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,26.370,26.240,27.900,29.000,27.000,27.000,27.000,26.000,26.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,-0.493,6.326,3.943,-6.897,0.000,0.000,-3.704,0.000
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,13.830,13.190,13.180,14.620,13.200,10.900,12.470,12.700,13.670
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,-4.628,-0.076,10.926,-9.713,-17.424,14.404,1.844,7.638
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,1.050,1.080,0.870,0.800,1.000,1.000,1.190,0.740,0.840
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,2.857,-19.444,-8.046,25.000,0.000,19.000,-37.815,13.514
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,0.005,0.005,0.000
    Growth (YoY),POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,0.000,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.000,0.000,0.000,0.062,0.050,0.084,0.040,0.000,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,-19.355,68.000,-52.381,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,0.000,0.000,0.184,0.264,0.048,0.090,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,43.478,-81.818,87.500,—,—,—
