,,,,,,,,,,,
Petroleos Mexicanos (1232Z MM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of MXN except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,3.420,3.960,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,15.789,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,2.720,3.200,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,17.635,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,3.450,4.360,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,26.536,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,4.680,4.940,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,5.672,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,14.727,38.568,41.515,43.587,42.390,43.225,43.698,50.770,53.053,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,161.885,7.642,4.992,-2.746,1.970,1.094,16.183,4.498,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,40.773,40.773,44.156,44.156,44.156,45.575,60.526,67.382,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,0.000,8.296,0.000,0.000,3.215,32.803,11.327,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,0.000,25.937,28.507,31.348,36.548,36.548,36.548,36.548,36.548,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,9.907,9.968,16.586,0.000,0.000,0.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,44.070,48.946,55.208,55.208,46.448,48.946,48.946,55.208,55.208,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,11.066,12.792,0.000,-15.867,5.379,0.000,12.792,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,116.116,100.000,82.600,85.000,84.000,88.700,89.900,89.100,86.100
    Growth (YoY),NOX_EMISSIONS,—,—,-13.879,-17.400,2.906,-1.176,5.595,1.353,-0.890,-3.367
VOC Emissions,VOC_EMISSIONS,—,44.778,48.300,40.900,44.300,46.500,43.500,41.200,39.400,44.100
    Growth (YoY),VOC_EMISSIONS,—,—,7.865,-15.321,8.313,4.966,-6.452,-5.287,-4.369,11.929
Particulate Emissions,PARTICULATE_EMISSIONS,—,0.017,0.015,0.011,0.012,0.010,0.009,0.010,0.009,0.009
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,-13.410,-26.027,11.111,-12.500,-9.524,4.211,-14.141,7.059
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,733.000,900.200,652.900,648.100,879.700,"1,153.900","1,305.000","1,170.000","1,030.000"
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,22.810,-27.472,-0.735,35.735,31.170,13.095,-10.345,-11.966
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,"42,579.398","43,390.000","34,352.000","31,901.000","35,200.000","46,000.000","48,200.000","47,100.000","32,000.000"
    Growth (YoY),CO2_SCOPE_1,—,—,1.904,-20.830,-7.135,10.341,30.682,4.783,-2.282,-32.059
GHG Scope 1,GHG_SCOPE_1,—,"52,092.500","68,000.000","49,400.000","46,300.000","48,000.000","65,800.000","71,100.000","69,000.000","61,000.000"
    Growth (YoY),GHG_SCOPE_1,—,—,30.537,-27.353,-6.275,3.672,37.083,8.055,-2.954,-11.594
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,"1,700.000","2,100.000","1,980.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,23.529,-5.714
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,950.000,880.000,"1,200.000","1,230.000","1,700.000","1,817.600","1,748.540","2,147.570",—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,-7.368,36.364,2.500,38.211,6.918,-3.800,22.821,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,"386,330.000","346,957.000","386,330.000",—
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,-10.192,11.348,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,2.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,"172,596.000","177,639.000","163,139.000","151,194.000","153,389.000","135,111.000","124,208.000","128,903.000","92,263.898"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,2.922,-8.163,-7.322,1.452,-11.916,-8.070,3.780,-28.424
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,—,"5,567.780",—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,—,0.039
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,0.205
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,0.048,0.044,0.115,0.049,0.036,0.056,0.076,0.045,0.086
    Growth (YoY),HAZARDOUS_WASTE,—,—,-7.690,161.082,-57.118,-27.328,56.267,34.938,-40.159,90.728
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"193,100.000","196,700.000","186,400.000","178,000.000","170,300.000","179,400.000","191,489.000","190,900.000","200,800.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,1.864,-5.236,-4.506,-4.326,5.344,6.739,-0.308,5.186
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,"80,800.000","87,300.000","79,900.000","84,800.000","81,783.000","70,260.000","67,220.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,8.045,-8.477,6.133,-3.558,-14.090,-4.327
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,—,102.230,"39,750.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,"38,782.910"
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,No,No,No,No,No
Community Spending,COMMUNITY_SPENDING,—,"3,142.700","1,649.200","1,670.300","2,103.800","2,321.400","1,764.800","1,496.000","2,244.100","1,800.000"
    Growth (YoY),COMMUNITY_SPENDING,—,—,-47.523,1.279,25.953,10.343,-23.977,-15.231,50.007,-19.790
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,15.000,16.000,18.000,18.000,20.000,22.600
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,6.667,12.500,0.000,11.111,13.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,26.000,27.000,28.000,28.000,28.000,28.000,28.000,28.630,28.600
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,3.846,3.704,0.000,0.000,0.000,0.000,2.250,-0.105
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,2.000,4.000,6.000,1.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,4.000,6.000,5.000,11.000,9.000,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,10.000,6.000,10.000,11.000,12.000,9.000,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.094,0.072,0.068,0.050,0.040,0.048,0.070,0.098,0.044
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-23.404,-5.556,-26.471,-20.000,20.000,45.833,40.000,-55.102
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,0.088,0.052,0.018,0.028,0.028,0.032,0.032,0.022,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,-40.909,-65.385,55.556,0.000,14.286,0.000,-31.250,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,"97,474.000","103,087.000","114,916.000","115,120.000","156,614.000","146,782.000","139,657.000","137,428.000","139,515.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,79.000,82.000,81.200,81.000,81.500,84.000,84.000,81.500,81.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,3.797,-0.976,-0.246,0.617,3.067,0.000,-2.976,-0.613
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,168.882,93.663,40.421,25.876,51.521,117.939,334.225,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,-44.539,-56.845,-35.983,99.104,128.917,183.388,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,"595,898.000","395,765.000","456,154.000","518,143.000","372,194.000","2,495,290.000","1,805,420.000","2,143,880.000","3,965,020.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,-33.585,15.259,13.589,-28.168,570.427,-27.647,18.747,84.946
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,3.000,4.000,5.000,1.000,2.000,3.000,4.000,5.000,6.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,33.333,25.000,-80.000,100.000,50.000,33.333,25.000,20.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,0.000,3.000,3.000,3.000,3.000,3.000
