,,,,,,,,,,,
Petroleo Brasileiro SA (PETR4 BZ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of BRL except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.940,4.970,4.790,4.920,5.240,5.440,5.420,5.790,—
    Growth (YoY),ESG_SCORE,—,—,0.607,-3.622,2.714,6.504,3.817,-0.368,6.827,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,4.590,4.860,4.910,4.880,5.200,4.840,5.050,5.920,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,5.793,1.103,-0.728,6.635,-7.019,4.529,17.155,—
BESG Social Pillar Score,SOCIAL_SCORE,—,4.590,4.120,4.460,4.650,5.320,5.950,5.480,5.470,—
    Growth (YoY),SOCIAL_SCORE,—,—,-10.389,8.259,4.272,14.385,11.964,-7.887,-0.296,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,5.910,6.070,4.920,5.260,5.230,5.970,6.000,5.900,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,2.802,-18.998,6.870,-0.515,14.234,0.398,-1.630,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,65.004,67.941,66.321,66.724,62.901,66.573,65.778,65.406,64.611,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-0.324,4.519,-2.384,0.607,-5.729,5.837,-1.194,-0.566,-1.215,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,67.653,70.794,64.029,63.908,51.404,60.858,60.858,60.858,60.858,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,4.643,-9.556,-0.189,-19.565,18.390,0.000,0.000,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,61.759,62.152,58.525,65.780,66.808,68.380,70.435,66.808,66.808,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-1.017,0.636,-5.837,12.397,1.563,2.353,3.006,-5.150,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,65.593,70.861,76.370,70.470,70.470,70.470,66.045,68.543,66.165,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,8.031,7.774,-7.726,0.000,0.000,-6.279,3.783,-3.469,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,299.285,267.205,235.000,281.000,239.000,216.901,215.131,243.824,199.662,186.593
    Growth (YoY),NOX_EMISSIONS,19.038,-10.719,-12.053,19.574,-14.947,-9.246,-0.816,13.337,-18.112,-6.546
VOC Emissions,VOC_EMISSIONS,248.685,230.150,233.366,263.410,—,272.627,279.269,243.284,170.988,223.063
    Growth (YoY),VOC_EMISSIONS,-0.429,-7.453,1.397,12.874,—,—,2.436,-12.885,-29.717,30.455
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,180.676,191.155,166.494,157.670,—,118.960,82.523,116.209,77.445,121.427
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,4.284,5.800,-12.901,-5.300,—,—,-30.630,40.820,-33.357,56.791
Particulate Emissions,PARTICULATE_EMISSIONS,21.651,19.184,15.000,15.000,14.000,12.872,11.198,12.695,11.003,10.246
    Growth (YoY),PARTICULATE_EMISSIONS,24.003,-11.394,-21.810,0.000,-6.667,-8.057,-13.005,13.368,-13.328,-6.880
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,133.462,120.056,130.665,135.610,139.000,137.682,108.043,92.843,86.855,84.622
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,3.983,-10.045,8.837,3.784,2.500,-0.948,-21.527,-14.068,-6.450,-2.571
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,"73,800.000","62,300.000","63,200.000","58,100.000","55,400.000","52,700.000","59,300.000","46,100.000","44,500.000"
    Growth (YoY),CO2_SCOPE_1,—,—,-15.583,1.445,-8.070,-4.647,-4.874,12.524,-22.260,-3.471
GHG Scope 1,GHG_SCOPE_1,"79,100.000","77,500.000","66,000.000","66,600.000","61,400.000","58,800.000","55,500.000","61,300.000","47,600.000","45,800.000"
    Growth (YoY),GHG_SCOPE_1,10.475,-2.023,-14.839,0.909,-7.808,-4.235,-5.612,10.450,-22.349,-3.782
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"1,700.000",800.000,500.000,400.000,400.000,300.000,200.000,400.000,100.000,100.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-5.556,-52.941,-37.500,-20.000,0.000,-25.000,-33.333,100.000,-75.000,0.000
GHG Scope 3,GHG_SCOPE_3,"520,000.000","537,000.000","472,000.000","450,000.000","423,000.000","414,000.000","427,000.000","435,000.000","442,000.000","440,000.000"
    Growth (YoY),GHG_SCOPE_3,4.000,3.269,-12.104,-4.661,-6.000,-2.128,3.140,1.874,1.609,-0.452
Scope of Disclosure,SCOPE_OF_DISCLOSURE,2.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,-50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
