,,,,,,,,,,,
Petrofac Ltd (PFC LN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.730,2.370,4.390,3.720,3.930,5.130,5.330,5.450,—
    Growth (YoY),ESG_SCORE,—,—,-13.187,85.232,-15.262,5.645,30.534,3.899,2.251,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.830,0.380,2.820,2.050,1.940,4.150,4.370,4.300,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-54.574,650.928,-27.522,-5.351,114.202,5.316,-1.559,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.400,1.660,4.370,3.720,4.610,5.250,5.440,5.540,—
    Growth (YoY),SOCIAL_SCORE,—,—,-31.077,163.553,-14.852,24.014,13.901,3.710,1.702,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.780,7.580,6.950,6.510,6.550,6.430,6.630,7.070,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,11.770,-8.376,-6.277,0.609,-1.794,2.977,6.754,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,38.960,37.320,38.889,48.184,49.472,49.603,54.200,59.773,61.503,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.103,-4.209,4.205,23.901,2.672,0.264,9.268,10.282,2.895,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,14.074,7.188,6.675,24.253,27.092,27.092,28.269,44.367,47.508,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-32.070,-48.927,-7.143,263.348,11.706,0.000,4.348,56.944,7.080,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,27.025,27.025,25.967,40.206,41.233,41.626,47.975,48.609,50.665,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,33.433,0.000,-3.915,54.831,2.556,0.953,15.251,1.323,4.229,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,75.647,77.604,83.865,79.982,79.982,79.982,86.243,86.243,86.243,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.587,8.068,-4.630,0.000,0.000,7.828,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,228.000,222.000,214.000,207.000,175.244,14.000,15.000
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,-2.632,-3.604,-3.271,-15.341,-92.011,7.143
GHG Scope 1,GHG_SCOPE_1,242.000,260.000,244.000,235.000,239.394,230.757,250.412,188.281,192.000,167.000
    Growth (YoY),GHG_SCOPE_1,-4.386,7.438,-6.154,-3.689,1.870,-3.608,8.518,-24.812,1.975,-13.021
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,22.000,21.000,18.000,12.000,11.888,12.585,9.827,8.943,5.000,5.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-30.234,-4.545,-14.286,-33.333,-0.933,5.863,-21.915,-8.996,-44.090,0.000
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,11.855,12.204,9.438,8.426,5.178,5.000
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,2.944,-22.665,-10.723,-38.547,-3.438
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,3.822,9.339,5.682,"3,703.100","38,195.699","2,042.910"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,144.349,-39.158,"65,072.476",931.452,-94.651
Scope of Disclosure,SCOPE_OF_DISCLOSURE,3.000,3.000,3.000,—,—,—,—,—,3.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,—,—,—,—,—,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.560,0.056,0.097,0.116,0.256,0.131,0.113
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,-90.000,73.214,19.588,120.690,-48.828,-13.740
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,507.274,—,—,474.779,577.099,452.911,418.197,333.125,359.868,328.733
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,21.551,-21.519,-7.665,-20.343,8.028,-8.652
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,3.157,—
Electricity Used,ELECTRICITY_USED,34.802,—,—,21.151,20.571,22.707,19.208,21.864,12.958,15.190
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,-2.742,10.384,-15.409,13.829,-40.734,17.225
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,0.014,0.024,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,71.429,—
Fuel Used - Natural Gas,NAT_GAS_USED,"5,326.170",—,—,"26,596.100","38,009.102","25,827.500","23,318.100","19,404.301","19,104.301","20,297.100"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,42.912,-32.049,-9.716,-16.784,-1.546,6.244
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,40.624,—,—,17.487,15.928,16.071,15.425,11.896,15.819,11.214
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,-8.914,0.897,-4.016,-22.882,32.976,-29.109
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,0.181,29.783,11.863,2.115,1.076,1.688,0.708
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,"16,354.697",-60.169,-82.171,-49.125,56.877,-58.057
Total Waste,TOTAL_WASTE,—,—,—,13.201,47.751,45.148,12.909,6.087,95.305,336.466
    Growth (YoY),TOTAL_WASTE,—,—,—,—,261.723,-5.451,-71.407,-52.847,"1,465.714",253.041
Waste Recycled,WASTE_RECYCLED,—,—,—,0.803,0.433,9.651,1.130,1.159,4.351,155.265
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,-46.077,"2,128.868",-88.291,2.566,275.410,"3,468.490"
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,269.000,376.000,"1,119.000",519.000,426.000,690.000,553.000
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,39.777,197.606,-53.619,-17.919,61.972,-19.855
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,No,No,No,Yes,Yes
Community Spending,COMMUNITY_SPENDING,4.100,3.500,2.700,3.800,2.400,2.500,1.000,3.800,0.350,2.400
    Growth (YoY),COMMUNITY_SPENDING,97.787,-14.634,-22.857,40.741,-36.842,4.167,-60.000,280.000,-90.789,585.714
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,10.000,6.000,6.000,7.000,5.000,6.300,18.700,25.000,26.000,30.500
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,-40.000,0.000,16.667,-28.571,26.000,196.825,33.690,4.000,17.308
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,10.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,13.000,13.000,12.000,11.000,11.000,10.000,13.000,14.000,15.000,17.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,0.000,-7.692,-8.333,0.000,-9.091,30.000,7.692,7.143,13.333
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,—,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,—,0.000,2.000,0.000,2.000,1.000,0.000,1.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,1.000,0.000,3.000,0.000,2.000,1.000,0.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.000,0.000,0.000,0.000,0.029,0.038,0.040
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,30.124,6.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,0.010,0.021,0.015,0.013,0.012,0.060,0.040
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,110.000,-28.571,-13.333,-7.692,400.000,-33.333
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.044,0.019,0.013,0.009,0.018,0.013,0.013,0.018,0.018,0.021
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,-4.348,-56.818,-31.579,-30.769,100.000,-27.778,0.000,38.462,0.000,16.667
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,0.110,0.110,0.090,0.058,0.110,0.189,0.160
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,0.000,-18.182,-35.556,89.655,71.526,-15.200
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,0.030,0.044,0.050,0.066,0.084,0.330,0.250
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,46.667,13.636,32.000,27.273,292.857,-24.242
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.160,0.160,0.100,0.050,0.060,0.060,0.065,0.091,0.094,0.106
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,14.286,0.000,-37.500,-50.000,20.000,0.000,8.333,40.000,3.297,12.766
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"19,800.000","19,000.000","13,500.000","12,500.000","11,500.000","11,500.000","9,149.000","8,240.000","7,950.000","8,600.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,30.000,7.500,8.300,11.100,6.100,11.500,14.300,11.500
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,-75.000,10.667,33.735,-45.045,88.525,24.348,-19.580
