,,,,,,,,,,,
Petronas Gas Bhd (PTG MK) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of MYR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.260,3.080,3.080,3.220,3.420,4.310,4.370,4.780,5.360
    Growth (YoY),ESG_SCORE,—,—,36.283,0.000,4.545,6.211,26.023,1.392,9.382,12.134
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.370,2.130,2.170,2.200,3.270,4.830,4.780,5.740,5.490
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,55.684,1.507,1.636,48.470,47.675,-1.005,20.183,-4.379
BESG Social Pillar Score,SOCIAL_SCORE,—,0.670,1.910,1.910,1.910,1.910,1.910,1.910,1.910,4.420
    Growth (YoY),SOCIAL_SCORE,—,—,183.601,0.000,0.000,0.000,0.000,0.000,0.000,131.287
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,5.270,5.570,5.480,5.970,4.810,5.530,5.820,5.830,5.830
    Growth (YoY),GOVERNANCE_SCORE,—,—,5.737,-1.495,8.894,-19.382,14.818,5.197,0.278,0.013
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,35.882,44.563,44.563,44.563,43.990,46.716,55.226,60.889,60.889,66.261
    Growth (YoY),ESG_DISCLOSURE_SCORE,5.658,24.194,0.000,0.000,-1.287,6.197,18.217,10.255,0.000,8.822
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.993,15.131,15.131,15.131,13.410,20.568,40.683,54.787,54.787,54.787
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,659.091,0.000,0.000,-11.377,53.378,97.797,34.670,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,18.682,31.046,31.046,31.046,31.046,32.074,37.515,40.417,40.417,56.560
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-2.677,66.181,0.000,0.000,0.000,3.311,16.965,7.736,0.000,39.940
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,86.785,87.357,87.357,87.357,87.357,87.357,87.357,87.357,87.357,87.357
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,7.776,0.659,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,13.849,7.134,7.499,8.020,7.713
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,-48.489,5.113,6.956,-3.828
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,0.000,0.000,0.000
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,300.000,50.000
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,0.083,0.062,0.086,0.028,0.047
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,-25.153,38.462,-67.789,69.817
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,No
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,"5,923.900","5,217.850","5,772.760","5,564.960","5,471.600"
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,-11.919,10.635,-3.600,-1.678
GHG Scope 1,GHG_SCOPE_1,—,"5,470.180","4,525.190","4,866.380","4,549.640","6,103.430","5,360.040","5,916.450","5,754.540","5,859.400"
    Growth (YoY),GHG_SCOPE_1,—,—,-17.275,7.540,-6.509,34.152,-12.180,10.381,-2.737,1.822
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,111.316,71.854,75.298,60.158,67.664,63.844,74.627,49.762,49.165
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,-35.450,4.793,-20.107,12.477,-5.646,16.890,-33.319,-1.200
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,"15,833.300","13,333.300","13,055.600",—,—,"15,820.000","17,422.900","18,067.400","17,023.000"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,-15.790,-2.083,—,—,—,10.132,3.699,-5.781
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,0.192,0.202,0.252,0.248
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,5.208,24.752,-1.587
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,94.405,111.884,74.606,73.711
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,18.515,-33.318,-1.200
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,4.269,2.673,—,—,1.489,1.419,1.530,2.817
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,-37.386,—,—,—,-4.701,7.822,84.118
Total Waste,TOTAL_WASTE,—,1.360,—,—,2.359,2.437,—,2.023,2.172,3.266
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,3.306,—,—,7.365,50.368
Waste Recycled,WASTE_RECYCLED,—,0.136,0.137,1.411,1.466,1.179,—,1.350,1.033,2.417
    Growth (YoY),WASTE_RECYCLED,—,—,0.735,929.927,3.898,-19.577,—,—,-23.504,134.031
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,0.622,0.600,0.436
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,-3.511,-27.423
Raw Materials Used,RAW_MAT_USED,—,—,—,—,—,—,—,0.387,0.304,0.432
    Growth (YoY),RAW_MAT_USED,—,—,—,—,—,—,—,—,-21.642,42.219
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"6,651.550","6,405.760","6,253.110","6,400.000","6,060.000","104,420.000","70,140.000","136,400.000","117,500.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,-3.695,-2.383,2.349,-5.313,"1,623.102",-32.829,94.468,-13.856
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,"100,450.000","66,090.000","131,500.000","113,150.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,-34.206,98.971,-13.954
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,"3,531.000","4,063.000","4,168.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,15.067,2.584
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,—,5.200
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,13.000,13.000,17.240
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,0.000,32.615
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,23.000,23.330,24.810
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,1.435,6.344
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,17.280,15.500,13.030,12.800,13.000,13.000,12.000,12.000,12.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,-10.301,-15.935,-1.765,1.562,0.000,-7.692,0.000,0.000
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,1.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Fatalities - Total,FATALITIES_TOTAL,3.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.190,0.230,0.280,0.100,0.000,0.100,0.000,0.090,0.080,0.080
    Growth (YoY),LOST_TIME_INCIDENT_RATE,58.333,21.053,21.739,-64.286,—,—,—,—,-11.111,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,0.000,0.000,0.120,0.120
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,0.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,0.000,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.640,0.320,0.470,0.260,0.050,0.210,0.110,0.000,0.500,0.750
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,4.918,-50.000,46.875,-44.681,-80.769,320.000,-47.619,—,—,50.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,0.310,0.000,0.580,0.580
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"2,077.000","2,187.000","2,117.000","1,956.000","1,959.000","1,829.000","1,765.000","1,670.000","1,821.000","1,821.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,1.100,0.700,0.500,0.600,0.600,0.290,7.500,3.760,3.400
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,-36.364,-28.571,20.000,0.000,-51.667,"2,486.207",-49.867,-9.574
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,—,—,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,7.824,6.348,7.042,13.909,15.364,4.412,4.010,8.991,13.475
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,-18.865,10.926,97.525,10.462,-71.280,-9.113,124.200,49.872
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,"165,973.000","180,209.000","100,147.000","112,838.000","108,277.000","55,068.000","209,088.000","115,380.000","190,678.000"
