,,,,,,,,,,,
Peyto Exploration & Development Corp (PEY CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.940,3.160,2.670,2.800,3.380,3.340,3.180,3.200,—
    Growth (YoY),ESG_SCORE,—,—,7.483,-15.506,4.869,20.714,-1.183,-4.790,0.629,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.180,2.770,1.860,1.850,2.260,2.450,2.390,2.450,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,27.172,-32.888,-0.585,22.441,8.085,-2.380,2.394,—
BESG Social Pillar Score,SOCIAL_SCORE,—,1.580,1.580,1.550,1.550,2.730,2.400,2.400,2.140,—
    Growth (YoY),SOCIAL_SCORE,—,—,-0.004,-2.221,0.261,76.060,-12.191,-0.003,-10.910,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.300,5.930,5.790,6.510,6.460,6.310,5.700,6.020,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-5.989,-2.374,12.478,-0.775,-2.252,-9.631,5.551,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,38.879,41.092,44.050,45.478,44.825,48.255,46.696,49.100,49.120,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,5.692,7.197,3.243,-1.438,7.653,-3.231,5.149,0.041,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,12.896,14.316,20.054,21.776,22.199,22.531,23.014,21.595,21.595,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,11.007,40.084,8.584,1.942,1.497,2.145,-6.168,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,18.047,22.703,25.846,28.416,28.416,34.613,29.444,31.802,34.371,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,25.796,13.848,9.942,0.000,21.809,-14.934,8.008,8.080,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,85.521,86.093,86.093,86.093,83.715,87.477,87.477,93.739,91.240,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.669,0.000,0.000,-2.762,4.495,0.000,7.158,-2.665,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,1.108,1.183,1.198,1.428,1.416,1.143,1.220,1.318,1.993,2.018
    Growth (YoY),NOX_EMISSIONS,2.214,6.769,1.268,19.199,-0.840,-19.280,6.737,8.033,51.214,1.254
VOC Emissions,VOC_EMISSIONS,—,—,0.355,0.344,0.386,0.328,0.328,0.388,0.426,0.424
    Growth (YoY),VOC_EMISSIONS,—,—,—,-3.099,12.209,-15.026,0.000,18.293,9.794,-0.469
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,0.003,0.004,0.003,0.002,0.003,0.003,0.004,0.005
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,33.333,-25.000,-33.333,50.000,0.000,33.333,25.000
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,14.286,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,No,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,673.912,764.420,784.719,769.825,669.611,585.498,570.738,624.812,685.954,651.331
    Growth (YoY),GHG_SCOPE_1,12.667,13.430,2.655,-1.898,-13.018,-12.561,-2.521,9.474,9.786,-5.047
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,113.625,80.215,35.485,44.123,39.633,28.289,32.929,27.827,27.827,27.919
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,21.879,-29.404,-55.763,24.343,-10.176,-28.623,16.402,-15.494,0.000,0.331
GHG Scope 3,GHG_SCOPE_3,—,125.856,116.312,117.680,77.857,32.193,32.572,—,—,—
    Growth (YoY),GHG_SCOPE_3,—,—,-7.583,1.176,-33.840,-58.651,1.177,—,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,-11.364,-5.128,-2.703,-2.778,-5.714,-6.061,0.000,-12.903,-3.704,-3.846
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Fuel Used - Natural Gas,NAT_GAS_USED,"187,216.000","204,917.000","218,734.000","232,368.000","208,954.000","193,790.000","200,681.000","229,398.000","256,151.000","234,813.000"
    Growth (YoY),NAT_GAS_USED,25.863,9.455,6.743,6.233,-10.076,-7.257,3.556,14.310,11.662,-8.330
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,0.061,0.061,0.064,0.067,0.064,0.061,0.210
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,0.000,4.546,4.348,-4.167,-4.348,243.637
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,n/a
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,55.000,55.000,50.000
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,0.000,-9.091
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,10.000,25.000,24.000,23.000,24.000,24.000,31.000,29.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,150.000,-4.000,-4.167,4.348,0.000,29.167,-6.452
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,41.000,37.000,37.000,38.000,42.000,40.000,52.000,46.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,-9.756,0.000,2.703,10.526,-4.762,30.000,-11.538
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,0.000,—,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,0.000,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.060,0.080,0.070,0.130,0.000,0.130,—,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,33.333,-12.500,85.714,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.330,0.910,0.830,1.230,0.940,0.680,0.830,0.900,0.760,0.690
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,114.516,-31.579,-8.791,48.193,-23.577,-27.660,22.059,8.434,-15.556,-9.211
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.910,0.830,1.230,0.940,0.680,0.830,0.840,0.850,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,-8.791,48.193,-23.577,-27.660,22.059,1.205,1.190,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No,n/a
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,48.000,51.000,49.000,53.000,54.000,52.000,52.000,55.000,61.000,84.000
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,12.000,—,—,12.000,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,1.961,3.738,9.615,5.882,1.869,1.630,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,90.655,157.212,-38.824,-68.224,-12.795,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,10.000,9.091,8.333,7.692,7.143,6.667,6.250,5.882,5.556,5.263
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,5.000,4.000,4.000,5.000,5.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,8.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,8.000,8.000,8.000,7.000,8.000,9.000,9.000,9.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,6.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,4.000,6.000,5.000,6.000,9.000,7.000,8.000,6.000,7.000
