,,,,,,,,,,,
Phillips 66 (PSX US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.380,3.310,3.650,3.830,4.290,5.390,5.140,5.210,4.990
    Growth (YoY),ESG_SCORE,—,—,39.076,10.272,4.932,12.010,25.641,-4.638,1.362,-4.223
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.810,1.450,2.310,2.480,3.370,4.070,3.750,3.920,3.440
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,80.121,59.145,7.465,35.783,20.717,-7.953,4.615,-12.333
BESG Social Pillar Score,SOCIAL_SCORE,—,2.260,3.940,3.410,3.670,3.680,6.390,6.190,6.140,6.150
    Growth (YoY),SOCIAL_SCORE,—,—,74.544,-13.444,7.802,0.225,73.480,-3.124,-0.727,0.115
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.280,6.750,6.720,6.750,6.740,6.830,6.700,6.650,6.800
    Growth (YoY),GOVERNANCE_SCORE,—,—,7.551,-0.444,0.376,-0.174,1.456,-1.918,-0.768,2.176
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,33.478,43.557,48.526,63.364,64.752,66.623,63.756,65.979,65.979,65.979
    Growth (YoY),ESG_DISCLOSURE_SCORE,4.555,30.108,11.409,30.576,2.191,2.890,-4.303,3.487,0.000,0.000
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.087,23.316,25.279,51.133,51.133,54.304,54.304,59.408,59.408,59.408
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,227.273,"2,044.444",8.420,102.270,0.000,6.202,0.000,9.399,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,13.634,19.710,32.678,51.391,55.562,58.011,49.395,50.967,50.967,50.967
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,36.254,44.568,65.798,57.262,8.118,4.407,-14.851,3.182,0.000,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,85.521,87.477,87.477,87.477,87.477,87.477,87.477,87.477,87.477,87.477
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,12.400,12.400,12.200,12.400,12.600,11.500,11.600,11.200,25.500
    Growth (YoY),NOX_EMISSIONS,—,—,0.000,-1.613,1.639,1.613,-8.730,0.870,-3.448,127.679
VOC Emissions,VOC_EMISSIONS,—,16.500,16.900,16.200,16.300,15.300,14.300,13.100,11.500,21.000
    Growth (YoY),VOC_EMISSIONS,—,—,2.424,-4.142,0.617,-6.135,-6.536,-8.392,-12.214,82.609
Particulate Emissions,PARTICULATE_EMISSIONS,—,3.000,3.000,2.900,3.200,2.700,2.300,2.500,2.200,2.900
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,0.000,-3.333,10.345,-15.625,-14.815,8.696,-12.000,31.818
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,9.300,8.800,9.500,8.700,7.800,7.500,7.300,6.900,7.800
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,-5.376,7.955,-8.421,-10.345,-3.846,-2.667,-5.479,13.043
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,"28,200.000","29,300.000","29,000.000","29,300.000","30,100.000","25,500.000","30,300.000","24,800.000","31,600.000"
    Growth (YoY),GHG_SCOPE_1,—,—,3.901,-1.024,1.034,2.730,-15.282,18.824,-18.152,27.419
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,"7,800.000","7,900.000","4,800.000","4,800.000","5,400.000","4,600.000","4,500.000","6,400.000","7,300.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,1.282,-39.241,0.000,12.500,-14.815,-2.174,42.222,14.063
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,"382,000.000","313,000.000","350,000.000","354,000.000","359,000.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,-18.063,11.821,1.143,1.412
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,0.267,0.273,0.274,0.244,0.223
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,2.247,0.366,-10.949,-8.675
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,"141,120.000","143,472.000","143,472.000","142,002.000","141,120.000","138,474.000","144,060.000","130,536.000","167,580.000"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,1.667,0.000,-1.025,-0.621,-1.875,4.034,-9.388,28.378
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,—,0.816,0.816,0.176
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,—,—,0.000,-78.433
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,30.000,40.000,20.000,30.000,30.000,40.000,40.000,40.000
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,33.333,-50.000,50.000,0.000,33.333,0.000,0.000
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,280.000,250.000,"1,290.000"
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,—,—,-10.714,416.000
Waste Recycled,WASTE_RECYCLED,—,209.000,165.000,175.000,141.000,159.000,124.000,184.000,141.000,177.000
    Growth (YoY),WASTE_RECYCLED,—,—,-21.053,6.061,-19.429,12.766,-22.013,48.387,-23.370,25.532
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"27,981.801","28,299.801","163,916.000","168,050.000","163,598.000","120,672.000","142,294.000","148,335.000","148,017.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,1.136,479.213,2.522,-2.649,-26.239,17.918,4.245,-0.214
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,"86,012.297","86,489.203","82,196.602","81,242.602","78,698.797","64,707.898","57,871.500"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,0.554,-4.963,-1.161,-3.131,-17.778,-10.565
Water Consumption,WATER_CONSMPTN,—,—,—,"52,465.898","56,917.602","50,558.000","53,260.801","63,595.000","83,627.500","90,146.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,8.485,-11.173,5.346,19.403,31.500,7.795
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,1.190,1.200,1.170,1.060,1.150,1.250,1.240
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,0.840,-2.500,-9.402,8.491,8.696,-0.800
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,27.000,28.000,32.000,27.000,27.000,30.000
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,3.704,14.286,-15.625,0.000,11.111
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,22.000,21.000,19.000,24.000,26.000,21.680,26.374
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,-4.545,-9.524,26.316,8.333,-16.615,21.649
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,18.000,19.000,18.000,19.000,19.000,19.000,22.000,19.474
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,5.556,-5.263,5.556,0.000,0.000,15.789,-11.481
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,22.000,21.000,21.000,21.000,20.000,20.000,21.000,20.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,-4.545,0.000,0.000,-4.762,0.000,5.000,-4.762
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,—,21.376,22.890,27.472
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,7.083,20.020
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,25.000,26.000,26.000,26.000,27.000,28.000,25.467
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,4.000,0.000,0.000,3.846,3.704,-9.046
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,1.385,0.283,0.508,—,—,—,—
    Growth (YoY),POLITICAL_DONATIONS,—,—,—,—,-79.547,79.300,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000
Fatalities - Total,FATALITIES_TOTAL,—,0.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,0.040,0.050,0.050,0.050,0.030,0.060,0.020,0.040
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,25.000,0.000,0.000,-40.000,100.000,-66.667,100.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,0.040,0.030,0.040,0.030,0.020,0.030,0.020,0.030
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,-25.000,33.333,-25.000,-33.333,50.000,-33.333,50.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.030,0.030,0.040,0.040,0.050,0.030,0.020,0.040,0.020,0.040
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,0.000,33.333,0.000,25.000,-40.000,-33.333,100.000,-50.000,100.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,0.140,0.160,0.110,0.130,0.080,0.120,0.120,0.110
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,14.286,-31.250,18.182,-38.462,50.000,0.000,-8.333
