,,,,,,,,,,,
Plains All American Pipeline LP (PAA US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,1.290,0.990,1.520,3.800,4.920,5.430,5.540,5.580,5.060
    Growth (YoY),ESG_SCORE,—,—,-23.256,53.535,150.000,29.474,10.366,2.026,0.722,-9.319
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.560,0.000,0.280,2.530,4.760,5.020,4.230,4.120,3.330
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,810.779,87.856,5.418,-15.744,-2.683,-19.184
BESG Social Pillar Score,SOCIAL_SCORE,—,0.000,0.000,0.670,4.300,4.300,4.300,6.370,6.370,6.370
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,538.333,0.000,0.000,48.105,0.000,0.000
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,3.870,4.000,4.720,5.410,5.580,6.860,6.920,7.240,6.840
    Growth (YoY),GOVERNANCE_SCORE,—,—,3.381,17.921,14.783,3.133,22.883,0.923,4.559,-5.543
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,30.530,30.530,31.928,37.230,41.636,44.955,57.097,53.928,50.206,50.206
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,0.000,4.580,16.604,11.835,7.973,27.008,-5.550,-6.902,0.000
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.000,0.332,4.893,14.225,31.108,29.387,29.387,29.387
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,—,"1,372.727",190.741,118.684,-5.534,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.374,8.374,12.576,28.174,29.988,30.623,48.821,49.456,38.271,38.271
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,0.000,50.180,124.038,6.438,2.117,59.427,1.300,-22.616,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,83.022,83.022,83.022,89.856,89.856,91.240,82.842,82.842,82.842
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,8.231,0.000,1.541,-9.205,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,0.980,1.040,1.050,0.850,0.982
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,6.122,0.962,-19.048,15.529
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,0.110,0.110,0.060,0.075,0.100
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,0.000,-45.455,25.000,33.333
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,912.000,809.000,779.000,770.000,815.000
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,-11.294,-3.708,-1.155,5.844
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,"1,070.000",930.000,831.000,805.000,785.000,832.000
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,-13.084,-10.645,-3.129,-2.484,5.987
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,"1,297.000","1,289.000","1,098.000",976.000,"1,199.000","1,190.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,-0.617,-14.818,-11.111,22.848,-0.751
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,0.004,0.004,0.004,0.430,0.400
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,-3.987,-4.372,"12,185.714",-6.977
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,0.000,0.000,0.000,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,2.943,2.967,3.500,3.800
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,0.818,17.956,8.571
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,20.000,22.000,19.000,23.000,21.000,22.000,22.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,10.000,-13.636,21.053,-8.696,4.762,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,20.000,21.000,21.000,21.000,21.000,21.000,21.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,5.000,0.000,0.000,0.000,0.000,0.000
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,27.000,28.000,30.000,31.000,31.000,34.000,35.000
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,3.704,7.143,3.333,0.000,9.677,2.941
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,0.167,0.102,—,—
    Growth (YoY),POLITICAL_DONATIONS,—,—,—,—,—,—,—,-38.922,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.350,0.530,0.170,0.110,0.080,0.100,0.180
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,51.429,-67.925,-35.294,-27.273,25.000,80.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,0.120,0.050,0.040,0.220,0.000,0.220
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,-58.333,-20.000,450.000,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,0.810,0.740,0.520,0.380,0.390,0.310,0.310
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,-8.642,-29.730,-26.923,2.632,-20.513,0.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,0.570,0.330,0.180,0.150,0.440,0.000,0.450
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,-42.105,-45.455,-16.667,193.333,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"5,300.000","5,400.000","5,100.000","4,850.000","4,900.000","5,000.000","4,400.000","4,100.000","4,100.000","4,200.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,0.339,1.550,3.000,3.260,3.040,3.500,3.000,4.460,4.510,4.760
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,357.227,93.548,8.667,-6.748,15.132,-14.286,48.667,1.121,5.543
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,17.000,18.000,19.000,20.000,21.000,22.000,23.000,24.000,25.000,26.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,6.250,5.882,5.556,5.263,5.000,4.762,4.545,4.348,4.167,4.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,10.000,8.000,9.000,8.000,10.000,10.000,10.000,10.000,10.000,9.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,100.000,—,—,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,33.333,—,—,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,8.000,10.000,12.000,13.000,11.000,11.000,11.000,12.000,12.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,9.000,8.000,7.000,5.000,7.000,7.000,7.000,7.000,7.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,9.000,9.000,10.000,9.000,9.000,9.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,9.000,7.000,7.000,4.000,7.000,9.000,5.000,6.000,4.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000,75.000,75.000,75.000,100.000,100.000,100.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,0.000,0.000,0.000,0.000,0.000,33.333,0.000,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,1.000,0.000,0.000,1.000,1.000,2.000,3.000,3.000,3.000,4.000
