,,,,,,,,,,
Posco International Corp (047050 KS) - Overview,,,,,,,,,,
,,,,,,,,,,
In Billions of KRW except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.090,2.100,2.120,2.700,2.740,4.460,4.140,4.580,4.290
    Growth (YoY),ESG_SCORE,—,0.478,0.952,27.358,1.481,62.774,-7.175,10.628,-6.332
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.080,0.080,0.080,0.080,0.080,2.530,1.910,2.640,2.090
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.000,0.000,0.000,0.000,"3,236.858",-24.363,38.263,-20.931
BESG Social Pillar Score,SOCIAL_SCORE,3.170,3.170,3.170,5.650,5.890,6.990,7.030,6.960,7.120
    Growth (YoY),SOCIAL_SCORE,—,-0.001,0.001,78.019,4.312,18.669,0.642,-1.066,2.264
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.930,4.970,5.050,5.000,4.930,5.030,4.980,5.300,5.130
    Growth (YoY),GOVERNANCE_SCORE,—,0.718,1.752,-1.074,-1.312,1.954,-0.992,6.350,-3.219
,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,35.399,39.443,40.640,47.078,47.681,64.018,70.818,69.430,70.476
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,11.424,3.035,15.842,1.282,34.262,10.622,-1.960,1.507
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,14.286,15.947,15.947,30.323,30.323,63.274,71.580,71.580,74.721
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,11.628,0.000,90.152,0.000,108.665,13.126,0.000,4.388
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,22.582,24.395,27.993,29.807,31.620,47.733,53.567,49.395,49.395
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,8.032,14.746,6.479,6.085,50.956,12.223,-7.788,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,69.205,77.845,77.845,80.975,80.975,80.975,87.237,87.237,87.237
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,12.484,0.000,4.022,0.000,0.000,7.732,0.000,0.000
,,,,,,,,,,
Environmental,,,,,,,,,,
Air Quality,,,,,,,,,,
