,,,,,,,,,,,
Repsol SA (REP SM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),ESG_SCORE,—,—,11.611,4.671,6.694,11.217,6.838,6.400,-0.301,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,15.789,8.790,-1.750,10.110,1.127,7.823,-2.703,—
BESG Social Pillar Score,SOCIAL_SCORE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),SOCIAL_SCORE,—,—,14.390,-6.679,17.400,16.589,25.440,5.531,8.391,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),GOVERNANCE_SCORE,—,—,1.617,7.223,15.164,8.662,1.863,5.191,-4.182,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),ESG_DISCLOSURE_SCORE,-1.294,3.295,1.823,1.087,9.836,0.821,0.257,7.050,2.887,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-3.797,-0.405,5.691,0.000,2.740,2.667,0.820,4.295,-4.378,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,12.750,0.000,4.156,7.042,0.000,0.000,21.930,14.299,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.754,0.000,0.000,17.520,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),NOX_EMISSIONS,4.551,13.755,-14.329,-40.277,-0.001,-3.529,-5.288,-3.336,-30.148,-6.254
VOC Emissions,VOC_EMISSIONS,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),VOC_EMISSIONS,10.042,13.396,5.541,-34.596,0.000,-11.544,-23.265,352.046,-61.284,-10.360
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,—,—,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,-34.572,-13.920
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-13.026,-5.020,3.215,2.429,0.001,-9.942,-9.607,3.407,-28.281,22.484
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),CO2_SCOPE_1,-1.346,35.645,10.014,-6.358,-3.167,12.644,-6.923,-8.622,-12.277,-8.000
GHG Scope 1,GHG_SCOPE_1,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),GHG_SCOPE_1,-2.660,52.670,18.186,-7.631,-4.348,12.273,-9.312,-13.393,-18.557,-8.861
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-3.093,-38.919,-12.917,-20.000,0.000,25.000,-8.698,-13.242,1.218,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,12.341,-32.559,1.070,-28.453,57.793,-20.000,50.000,-33.333
GHG Scope 3,GHG_SCOPE_3,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),GHG_SCOPE_3,1.188,-2.482,50.910,5.464,0.518,-49.564,-14.056,-9.821,-2.797,-17.519
Scope of Disclosure,SCOPE_OF_DISCLOSURE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),ENERGY_CONSUMPTION,0.905,37.877,3.785,-2.727,-15.876,22.613,-6.277,1.876,-6.423,1.373
Renewable Energy Use,RENEW_ENERGY_USE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,2.291,-22.895,38.116,25.625
Electricity Used,ELECTRICITY_USED,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),ELECTRICITY_USED,22.275,154.419,0.032,-88.179,883.696,30.143,-11.983,186.641,-15.426,-85.641
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,-39.648,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),NAT_GAS_USED,—,—,14.250,-40.268,20.649,68.158,-2.900,103.714,-9.093,-7.715
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),OIL_DIESEL_USED,2.459,-92.242,-31.088,12.150,-40.230,42.048,-15.636,-4.887,-56.134,28.214
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),HAZARDOUS_WASTE,0.173,-26.092,15.934,-29.612,75.570,-26.880,-33.416,85.061,-4.098,-29.157
Total Waste,TOTAL_WASTE,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),TOTAL_WASTE,-7.093,14.173,14.641,21.463,-43.604,21.755,-61.697,44.595,-25.430,6.487
Waste Recycled,WASTE_RECYCLED,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,353.587,-50.604,21.466
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,-2.010,53.018,0.221
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
