,,,,,,,,,,,
Saipem SpA (SPM IM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.540,4.620,4.950,5.080,5.120,5.870,5.890,5.610,5.800
    Growth (YoY),ESG_SCORE,—,—,1.762,7.143,2.626,0.787,14.648,0.341,-4.754,3.387
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.710,2.870,3.480,3.530,3.720,5.100,4.560,4.180,4.110
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-22.673,21.082,1.399,5.456,37.156,-10.609,-8.228,-1.846
BESG Social Pillar Score,SOCIAL_SCORE,—,3.870,4.850,4.920,5.650,5.190,5.590,6.560,6.260,6.540
    Growth (YoY),SOCIAL_SCORE,—,—,25.279,1.382,14.794,-8.182,7.776,17.414,-4.548,4.448
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.510,7.170,7.270,6.870,7.210,7.270,7.160,7.070,7.600
    Growth (YoY),GOVERNANCE_SCORE,—,—,10.081,1.405,-5.518,5.054,0.856,-1.514,-1.330,7.463
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,57.851,64.159,67.740,69.943,73.494,74.017,79.328,80.636,80.847,80.847
    Growth (YoY),ESG_DISCLOSURE_SCORE,-1.169,10.902,5.582,3.252,5.077,0.712,7.176,1.648,0.262,0.000
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,51.525,54.666,47.901,48.233,51.072,51.072,65.449,65.781,65.781,65.781
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,6.096,-12.376,0.694,5.886,0.000,28.149,0.508,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,37.636,53.446,65.961,65.961,73.216,74.788,76.360,79.958,80.593,80.593
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-5.179,42.008,23.416,0.000,10.999,2.147,2.102,4.711,0.794,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,84.287,84.287,89.284,95.545,96.117,96.117,96.117,96.117,96.117,96.117
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.000,5.929,7.013,0.599,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,24.300,25.800,20.200,22.600,15.900,16.536,13.200,12.400,14.000,11.200
    Growth (YoY),NOX_EMISSIONS,-5.814,6.173,-21.705,11.881,-29.646,4.000,-20.174,-6.061,12.903,-20.000
VOC Emissions,VOC_EMISSIONS,0.900,1.000,0.800,0.900,1.100,1.100,0.922,0.800,1.000,0.800
    Growth (YoY),VOC_EMISSIONS,-10.000,11.111,-20.000,12.500,22.222,0.000,-16.182,-13.232,25.000,-20.000
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,10.600,11.100,10.300,14.500,9.400,7.900,6.000,5.200,5.700,4.500
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,-4.505,4.717,-7.207,40.777,-35.172,-15.957,-24.051,-13.333,9.615,-21.053
Particulate Emissions,PARTICULATE_EMISSIONS,0.600,0.700,0.500,0.500,0.600,0.636,0.516,0.500,0.600,0.400
    Growth (YoY),PARTICULATE_EMISSIONS,-14.286,16.667,-28.571,0.000,20.000,6.000,-18.868,-3.101,20.000,-33.333
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,4.200,5.100,3.800,4.610,5.045,6.500,5.700,0.542,0.600,0.600
