,,,,,,,,,,,
Santos Ltd (STO AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,4.430,4.380,4.760,5.350,5.060,5.510,5.640,5.180,—,—
    Growth (YoY),ESG_SCORE,—,-1.129,8.676,12.395,-5.421,8.893,2.359,-8.156,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,4.860,4.870,5.510,6.120,5.710,6.000,5.750,5.800,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.068,13.194,11.166,-6.832,5.167,-4.264,0.996,—,—
BESG Social Pillar Score,SOCIAL_SCORE,2.470,1.940,2.090,3.090,2.810,3.410,3.980,2.710,—,—
    Growth (YoY),SOCIAL_SCORE,—,-21.600,7.785,47.815,-9.078,21.227,16.870,-31.962,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.010,6.560,6.760,6.670,6.610,7.110,7.320,7.090,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,9.068,3.132,-1.402,-0.914,7.641,2.922,-3.101,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,62.951,58.918,59.712,59.642,54.864,56.011,56.956,56.101,56.916,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,14.280,-6.408,1.349,-0.118,-8.011,2.090,1.688,-1.501,1.452,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,60.224,60.224,60.556,60.888,46.542,48.263,44.820,44.820,46.240,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,14.598,0.000,0.552,0.549,-23.562,3.699,-7.134,0.000,3.167,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,41.747,40.236,39.208,38.664,38.664,39.692,39.692,37.122,38.150,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,8.826,-3.621,-2.554,-1.388,0.000,2.658,0.000,-6.474,2.769,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,86.785,76.219,79.290,79.290,79.290,79.982,86.243,86.243,86.243,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,16.863,-12.175,4.028,0.000,0.000,0.873,7.828,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,13.444,17.083,16.838,16.246,—,—,—,—,—,—
    Growth (YoY),NOX_EMISSIONS,0.000,27.068,-1.434,-3.516,—,—,—,—,—,—
VOC Emissions,VOC_EMISSIONS,8.002,7.350,6.537,5.644,—,—,—,—,—,—
    Growth (YoY),VOC_EMISSIONS,0.000,-8.148,-11.061,-13.661,—,—,—,—,—,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,10.678,10.838,9.747,9.674,—,—,—,—,—,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,1.498,-10.066,-0.749,—,—,—,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,0.314,0.245,0.229,0.218,—,—,—,—,—,—
    Growth (YoY),PARTICULATE_EMISSIONS,0.000,-21.975,-6.531,-4.803,—,—,—,—,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.038,0.019,0.020,0.020,—,—,—,—,—,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.000,-50.000,5.263,0.000,—,—,—,—,—,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
CO2 Scope 1,CO2_SCOPE_1,"3,860.000","4,510.000","5,090.000","4,990.000","5,350.000",#N/A Requesting Data...,"8,100.000","7,310.000","5,090.000",—
    Growth (YoY),CO2_SCOPE_1,—,16.839,12.860,-1.965,7.214,36.262,11.111,-9.753,-30.369,—
GHG Scope 1,GHG_SCOPE_1,"4,350.000","5,040.000","5,820.000","5,490.000","5,830.000","7,740.000","8,670.000","7,980.000","5,660.000",—
    Growth (YoY),GHG_SCOPE_1,10.406,15.862,15.476,-5.670,6.193,32.762,12.016,-7.958,-29.073,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,30.000,30.000,310.000,390.000,530.000,570.000,610.000,610.000,530.000,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,0.000,0.000,933.333,25.806,35.897,7.547,7.018,0.000,-13.115,—
GHG Scope 3,GHG_SCOPE_3,"15,450.000","18,800.000","39,600.000","38,400.000","43,200.000","52,900.000","39,000.000","30,000.000","32,700.000",—
    Growth (YoY),GHG_SCOPE_3,-14.167,21.683,110.638,-3.030,12.500,22.454,-26.276,-23.077,9.000,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,2.000,2.000,2.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,-50.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"9,444.440","13,386.100","18,463.900","18,569.400","20,427.801","24,897.199",—,—,—,—
    Growth (YoY),ENERGY_CONSUMPTION,6.250,41.735,37.933,0.571,10.008,21.879,—,—,—,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,730.556,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Waste,TOTAL_WASTE,45.438,53.903,10.055,12.191,14.515,19.727,25.840,47.133,119.044,—
    Growth (YoY),TOTAL_WASTE,-67.334,18.630,-81.346,21.243,19.063,35.908,30.988,82.403,152.570,—
Waste Recycled,WASTE_RECYCLED,11.381,10.400,4.565,4.810,4.996,12.760,13.956,29.881,—,—
    Growth (YoY),WASTE_RECYCLED,-19.077,-8.620,-56.106,5.367,3.867,155.404,9.373,114.109,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,22.966,43.503,5.490,7.381,9.519,6.967,7.305,13.716,37.294,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-42.017,89.423,-87.380,34.444,28.966,-26.810,4.851,87.762,171.901,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"10,891.000","10,214.000","13,276.000","5,847.000","70,184.000","37,035.000","309,738.000","307,236.000","256,940.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-67.222,-6.216,29.978,-55.958,"1,100.342",-47.232,736.339,-0.808,-16.370,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,"24,318.000","8,309.000","24,943.000","14,202.000","83,272.000","46,221.000","318,451.000","307,149.000","275,005.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,-65.832,200.193,-43.062,486.340,-44.494,588.975,-3.549,-10.465,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,—,"4,306.000",—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No,No,No,No,No,Yes,n/a
Community Spending,COMMUNITY_SPENDING,18.500,6.790,5.560,8.672,13.767,35.600,31.300,25.800,58.860,10.816
    Growth (YoY),COMMUNITY_SPENDING,39.965,-63.297,-18.115,55.974,58.748,158.591,-12.079,-17.572,128.140,-81.623
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,19.000,24.500,17.700,15.300,16.800,12.500,18.700,22.200,28.570,32.100
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,11.765,28.947,-27.755,-13.559,9.804,-25.595,49.600,18.717,28.694,12.356
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,19.290,20.000,20.000,14.500,20.500,18.600,24.600,23.800,26.620,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,3.681,0.000,-27.500,41.379,-9.268,32.258,-3.252,11.849,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,25.440,24.450,23.500,22.300,21.600,21.300,24.000,24.400,27.200,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-1.890,-3.892,-3.885,-5.106,-3.139,-1.389,12.676,1.667,11.475,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,2.200,0.710,1.480,1.450,1.400,2.100,—
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,-67.727,108.451,-2.027,-3.448,50.000,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.024,0.050,0.248,—,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-73.913,108.333,396.000,—,—,—,—,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.024,0.000,0.144,—,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-84.615,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.024,0.028,0.200,0.130,0.114,0.048,0.162,0.048,0.028,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,-82.090,16.667,614.286,-35.000,-12.308,-57.895,237.500,-70.370,-41.667,—
