,,,,,,,,,,,
Sapura Energy Bhd (SAPE MK) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of MYR except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,01/31/2015,01/31/2016,01/31/2017,01/31/2018,01/31/2019,01/31/2020,01/31/2021,01/31/2022,01/31/2023,01/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.210,1.370,1.540,1.390,2.050,2.400,2.650,1.940,2.630,—
    Growth (YoY),ESG_SCORE,—,13.223,12.409,-9.740,47.482,17.073,10.417,-26.792,35.567,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.160,0.160,0.160,0.400,0.400,0.820,0.550,0.400,0.400,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.000,0.000,148.559,0.000,103.623,-33.438,-26.218,0.000,—
BESG Social Pillar Score,SOCIAL_SCORE,1.330,1.330,1.780,1.360,2.750,2.820,4.590,1.940,4.000,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,34.376,-23.956,102.961,2.269,62.988,-57.730,105.867,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,2.980,3.720,3.870,3.160,4.310,4.720,4.500,4.860,5.450,—
    Growth (YoY),GOVERNANCE_SCORE,—,24.972,4.084,-18.321,36.419,9.415,-4.749,8.062,12.154,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,27.009,25.621,26.315,32.924,37.602,45.911,43.084,43.939,45.327,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,6.210,-5.140,2.709,25.115,14.207,22.097,-6.157,1.985,3.159,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.238,0.423,0.423,1.238,15.615,18.423,17.125,19.118,19.118,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,-65.854,0.000,192.857,"1,160.975",17.988,-7.049,11.640,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,7.830,4.474,9.069,21.826,21.493,36.820,24.607,25.181,29.353,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,114.050,-42.857,102.703,140.667,-1.524,71.308,-33.169,2.334,16.567,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,71.794,71.794,69.296,75.557,75.557,82.360,87.357,87.357,87.357,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.803,0.000,-3.480,9.036,0.000,9.004,6.067,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
