,,,,,,,,,,,
Senex Energy Pty Ltd (SXY AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of AUD except Per Share,,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
12 Months Ending,,06/30/2012,06/30/2013,06/30/2014,06/30/2015,06/30/2016,06/30/2017,06/30/2018,06/30/2019,06/30/2020,06/30/2021
ESG Financial Materiality Scores,,,,,,,,,,,
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,21.054,27.915,30.580,29.917,29.917,30.329,31.667,40.620,43.104,46.343
    Growth (YoY),ESG_DISCLOSURE_SCORE,78.431,32.585,9.550,-2.171,0.000,1.379,4.411,28.272,6.117,7.515
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,4.228,4.228,4.228,4.228,5.467,14.920,30.957,36.847,41.075
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,0.000,0.000,0.000,29.286,172.928,107.490,19.024,11.475
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,0.000,16.385,24.395,21.826,21.826,21.826,16.385,27.237,28.809,28.023
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,48.893,-10.533,0.000,0.000,-24.931,66.236,5.771,-2.728
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,63.004,63.004,63.004,63.576,63.576,63.576,63.576,63.576,63.576,69.837
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,78.431,0.000,0.000,0.908,0.000,0.000,0.000,0.000,0.000,9.848
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,0.005,0.027,0.011
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,415.385,-57.836
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,0.030,0.073,0.154
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,148.475,110.505
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,—,0.000,0.001,0.000
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,No,No,No,No,No,No,Yes,Yes,Yes
