,,,,,,,,
Seven Generations Energy Ltd (VII CN) - Overview,,,,,,,,
,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020
ESG Financial Materiality Scores,,,,,,,,
BESG ESG Score,ESG_SCORE,—,1.960,1.920,3.290,4.050,4.320,—
    Growth (YoY),ESG_SCORE,—,—,-2.041,71.354,23.100,6.667,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.170,0.540,2.970,3.200,3.220,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-53.807,450.952,7.680,0.486,—
BESG Social Pillar Score,SOCIAL_SCORE,—,0.340,0.940,1.010,2.840,3.300,—
    Growth (YoY),SOCIAL_SCORE,—,—,172.264,7.305,181.712,16.392,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.260,6.850,7.180,7.190,7.750,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,9.402,4.819,0.199,7.831,—
,,,,,,,,
ESG Disclosure Scores,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,24.112,28.740,33.407,40.388,50.669,52.520,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,19.191,16.241,20.897,25.455,3.653,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.933,7.037,4.198,25.159,39.686,34.552,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,264.062,-40.343,499.281,57.743,-12.938,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,9.039,10.853,10.853,10.853,27.207,31.620,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,20.067,0.000,0.000,150.696,16.222,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,61.228,68.182,84.979,84.979,84.979,91.240,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,11.357,24.636,0.000,0.000,7.368,—
,,,,,,,,
Environmental,,,,,,,,
Air Quality,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,2.830,2.349,—,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,-16.996,—,—
VOC Emissions,VOC_EMISSIONS,—,—,—,0.289,0.513,—,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,77.509,—,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,—,1.798,2.838,—,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,—,—,57.842,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,0.039,0.072,—,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,84.615,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,0.000,0.015,—,—
,,,,,,,,
Climate Change,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,No,No,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,n/a
GHG Scope 1,GHG_SCOPE_1,—,274.007,—,871.011,"1,059.320",—,—
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,21.620,—,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,5.492,—,5.080,6.120,—,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,20.472,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.093,0.092,0.100,0.105,—,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,-0.753,7.909,5.924,—,—
,,,,,,,,
Energy,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"2,978.100","4,158.590",—,—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,39.639,—,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,0.976,1.339,—,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,37.193,—,—
,,,,,,,,
Materials & Waste,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,Yes,Yes,n/a
,,,,,,,,
Supply Chain,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,Yes,Yes,n/a
,,,,,,,,
Water,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,"3,840.290",—
,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,
Social,,,,,,,,
Community & Customers,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,Yes,Yes,n/a
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,Yes,n/a
Community Spending,COMMUNITY_SPENDING,—,—,—,—,0.412,0.408,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,-0.984,—
,,,,,,,,
Diversity,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,n/a
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,19.230,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,34.190,33.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,-3.481,—
,,,,,,,,
Ethics & Compliance,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,Yes,n/a
,,,,,,,,
Health & Safety,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,0.000,0.000,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.130,0.152,0.090,0.100,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,16.914,-40.789,11.111,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,1.290,0.760,0.560,0.640,0.980,0.460,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-41.085,-26.316,14.286,53.125,-53.061,—
,,,,,,,,
Human Capital,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,74.000,104.000,141.000,179.000,231.000,251.000,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,0.539,0.500,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,-7.236,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,"1,130.000",—
,,,,,,,,
Supply Chain,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,
Governance,,,,,,,,
Audit Risk & Oversight,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,1.000,2.000,3.000,4.000,5.000,6.000,7.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,100.000,50.000,33.333,25.000,20.000,16.667
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,4.000,4.000,4.000,4.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,91.670,92.850,100.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,1.287,7.701,0.000,—
,,,,,,,,
Board Composition,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,No
Board Size,BOARD_SIZE,9.000,9.000,11.000,12.000,12.000,10.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,12.000,11.000,14.000,10.000,12.000,12.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,8.000,10.000,11.000,11.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,21.000,10.000,12.000,8.000,9.000,9.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,97.050,96.300,95.830,95.740,100.000,98.210,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,-0.773,-0.488,-0.094,4.450,-1.790,—
,,,,,,,,
Compensation,,,,,,,,
