,,,,,,,,
Shelf Drilling Ltd (SHLF NO) - Overview,,,,,,,,
,,,,,,,,
In Millions of USD except Per Share,,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,2.310,3.450,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,49.351,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,1.220,2.550,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,109.718,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,3.590,4.880,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,36.037,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,2.770,3.380,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,22.214,—
,,,,,,,,
ESG Disclosure Scores,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,12.443,27.422,40.338,49.894,51.464,53.244,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,120.372,47.102,23.691,3.145,3.460,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.816,0.816,19.269,36.787,47.176,48.898,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,0.000,"2,262.962",90.909,28.243,3.649,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.969,13.362,27.418,35.460,29.776,33.404,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,3.030,105.204,29.327,-16.027,12.183,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,23.510,67.941,74.202,77.333,77.333,77.333,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,188.988,9.216,4.219,0.000,0.000,—
,,,,,,,,
Environmental,,,,,,,,
Air Quality,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,4.846,4.810,4.436,4.623,5.425
    Growth (YoY),NOX_EMISSIONS,—,—,—,-0.743,-7.771,4.204,17.348
VOC Emissions,VOC_EMISSIONS,—,—,0.163,0.162,0.149,0.156,0.183
    Growth (YoY),VOC_EMISSIONS,—,—,—,-0.748,-7.767,4.231,17.534
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,0.408,0.081,0.075,0.078,0.091
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,-80.144,-7.778,4.150,16.967
,,,,,,,,
Climate Change,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,0.000,0.000,0.000,—
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,-80.556,-97.619,—
CO2 Scope 1,CO2_SCOPE_1,—,—,—,259.624,239.448,249.518,292.781
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,-7.771,4.206,17.339
GHG Scope 1,GHG_SCOPE_1,—,—,261.082,263.187,239.002,252.942,296.371
    Growth (YoY),GHG_SCOPE_1,—,—,—,0.806,-9.189,5.833,17.170
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,0.822,0.694,0.565,0.680,0.661
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,-15.572,-18.579,20.350,-2.801
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,0.827,—,0.568,0.691,0.693
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,21.764,0.256
GHG Scope 3,GHG_SCOPE_3,—,—,33.533,34.949,64.373,289.604,331.693
    Growth (YoY),GHG_SCOPE_3,—,—,—,4.223,84.191,349.884,14.533
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,0.000,—
,,,,,,,,
Energy,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,915.535,869.494,906.233,"1,063.550"
