,,,,,,,,,,,
Shell PLC (SHEL LN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.990,6.260,6.370,6.500,6.550,6.780,7.030,7.110,—
    Growth (YoY),ESG_SCORE,—,—,4.508,1.757,2.041,0.769,3.511,3.687,1.138,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,5.510,5.550,5.870,6.320,6.620,7.120,7.460,7.540,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.787,5.663,7.645,4.871,7.432,4.836,1.104,—
BESG Social Pillar Score,SOCIAL_SCORE,—,5.020,5.520,5.310,5.070,4.740,4.840,4.920,5.040,—
    Growth (YoY),SOCIAL_SCORE,—,—,10.117,-3.794,-4.651,-6.376,1.983,1.765,2.422,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.940,8.370,8.440,8.410,8.480,8.390,8.650,8.680,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,5.428,0.897,-0.435,0.898,-1.086,3.065,0.401,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,63.414,65.688,67.166,67.870,68.555,69.027,69.027,69.239,71.240,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,4.354,3.585,2.251,1.048,1.008,0.690,0.000,0.306,2.891,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,50.951,52.915,57.717,59.438,61.492,62.912,62.912,62.912,66.355,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,10.406,3.853,9.075,2.983,3.455,2.308,0.000,0.000,5.473,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,49.909,53.507,52.449,52.842,52.842,52.842,52.842,53.476,56.046,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,6.723,7.208,-1.977,0.749,0.000,0.000,0.000,1.201,4.805,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,89.284,90.548,91.240,91.240,91.240,91.240,91.240,91.240,91.240,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,1.416,0.765,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,146.000,104.000,113.000,107.000,111.000,107.000,118.000,106.000,93.000,88.000
    Growth (YoY),NOX_EMISSIONS,-6.410,-28.767,8.654,-5.310,3.738,-3.604,10.280,-10.169,-12.264,-5.376
VOC Emissions,VOC_EMISSIONS,151.000,125.000,153.000,95.000,59.000,54.000,47.000,48.000,37.000,36.000
    Growth (YoY),VOC_EMISSIONS,69.663,-17.219,22.400,-37.908,-37.895,-8.475,-12.963,2.128,-22.917,-2.703
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,97.000,88.000,83.000,81.000,74.000,65.000,37.000,32.000,37.000,31.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-2.020,-9.278,-5.682,-2.410,-8.642,-12.162,-43.077,-13.514,15.625,-16.216
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,0.008,0.006,0.002,0.002,0.002
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,—,-25.000,-66.667,0.000,0.000
CO2 Scope 1,CO2_SCOPE_1,"73,000.000","68,000.000","68,000.000","70,000.000","69,000.000","67,000.000","61,000.000","58,000.000","49,000.000","49,000.000"
    Growth (YoY),CO2_SCOPE_1,2.817,-6.849,0.000,2.941,-1.429,-2.899,-8.955,-4.918,-15.517,0.000
GHG Scope 1,GHG_SCOPE_1,"76,000.000","72,000.000","72,000.000","73,000.000","71,000.000","70,000.000","63,000.000","60,000.000","51,000.000","50,000.000"
    Growth (YoY),GHG_SCOPE_1,4.110,-5.263,0.000,1.389,-2.740,-1.408,-10.000,-4.762,-15.000,-1.961
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"10,000.000","9,000.000","11,000.000","11,000.000","11,000.000","11,000.000","10,000.000","9,000.000","8,000.000","8,000.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,0.000,-10.000,22.222,0.000,0.000,0.000,-9.091,-10.000,-11.111,0.000
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,"10,000.000","9,000.000","11,000.000","12,000.000","11,000.000","10,000.000","8,000.000","8,000.000","7,000.000","7,000.000"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,-10.000,22.222,9.091,-8.333,-9.091,-20.000,0.000,-12.500,0.000
GHG Scope 3,GHG_SCOPE_3,"643,819.000","606,175.000","1,582,060.000","1,661,590.000","1,721,230.000","1,551,000.000","1,305,000.000","1,299,000.000","1,203,750.000","1,318,240.000"
    Growth (YoY),GHG_SCOPE_3,-0.288,-5.847,160.991,5.027,3.589,-9.890,-15.861,-0.460,-7.333,9.511
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,0.230,0.250,0.240,0.240,0.250,0.270,0.270,0.270
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,8.696,-4.000,0.000,4.167,8.000,0.000,0.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"270,000.000","252,000.000","266,000.000","269,000.000","268,000.000","272,000.000","251,000.000","238,000.000","209,000.000","205,000.000"
    Growth (YoY),ENERGY_CONSUMPTION,-4.594,-6.667,5.556,1.128,-0.372,1.493,-7.721,-5.179,-12.185,-1.914
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,30.000,30.000,"1,900.000","2,205.000","2,605.000","2,600.000","2,821.000"
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,0.000,"6,233.333",16.053,18.141,-0.192,8.500
Electricity Used,ELECTRICITY_USED,"21,000.000","20,000.000","23,000.000","26,000.000","26,000.000","27,000.000","22,000.000","20,000.000","18,000.000","18,000.000"
    Growth (YoY),ELECTRICITY_USED,0.000,-4.762,15.000,13.043,0.000,3.846,-18.519,-9.091,-10.000,0.000
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,0.000,0.040,5.000,5.000,17.000,21.000
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,"12,400.000",0.000,240.000,23.529
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,"2,939,560.000","2,482,730.000","2,779,890.000","3,355,010.000","3,163,320.000","3,355,040.000","2,506,960.000","2,135,930.000","1,133,150.000",—
    Growth (YoY),NAT_GAS_USED,2.365,-15.541,11.969,20.689,-5.714,6.061,-25.278,-14.800,-46.948,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,"16,529.400",—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,529.000,455.000,658.000,638.000,592.000,708.000,537.000,820.000,878.000,631.000
    Growth (YoY),HAZARDOUS_WASTE,-31.299,-13.989,44.615,-3.040,-7.210,19.595,-24.153,52.700,7.073,-28.132
Total Waste,TOTAL_WASTE,"2,203.000","2,135.000","2,149.000","2,020.000","1,999.000","2,128.000","2,022.000","1,928.000","2,012.000","2,251.000"
    Growth (YoY),TOTAL_WASTE,-22.293,-3.087,0.656,-6.003,-1.040,6.453,-4.981,-4.649,4.357,11.879
Waste Recycled,WASTE_RECYCLED,—,500.000,653.000,404.000,419.000,441.000,443.000,356.000,493.000,654.000
    Growth (YoY),WASTE_RECYCLED,—,—,30.600,-38.132,3.713,5.251,0.454,-19.639,38.483,32.657
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"199,000.000","186,000.000","199,000.000","205,000.000","200,000.000","192,000.000","171,000.000","166,000.000","148,000.000","162,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,0.505,-6.533,6.989,3.015,-2.439,-4.000,-10.938,-2.924,-10.843,9.459
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,"44,000.000","51,000.000","53,000.000","46,000.000","45,000.000","44,000.000","45,000.000","50,000.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,15.909,3.922,-13.208,-2.174,-2.222,2.273,11.111
Water Consumption,WATER_CONSMPTN,"165,000.000","141,000.000","154,000.000","154,000.000","147,000.000","145,000.000","127,000.000","122,000.000","103,000.000","111,000.000"
    Growth (YoY),WATER_CONSMPTN,—,-14.545,9.220,0.000,-4.545,-1.361,-12.414,-3.937,-15.574,7.767
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,160.000,122.000,102.000,111.000,113.000,116.000,204.000,149.000,260.000,198.000
    Growth (YoY),COMMUNITY_SPENDING,0.629,-23.750,-16.393,8.824,1.802,2.655,75.862,-26.961,74.497,-23.846
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,18.200,19.000,20.000,22.200,24.000,26.400,27.800,29.500,30.400,32.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,5.814,4.396,5.263,11.000,8.108,10.000,5.303,6.115,3.051,5.263
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,21.000,20.000,21.000,22.300,23.700,24.500,25.500,27.200,27.900,29.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,-4.762,5.000,6.190,6.278,3.376,4.082,6.667,2.574,3.943
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,29.000,30.000,30.000,32.000,31.000,31.000,32.000,33.000,33.000,35.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,3.448,0.000,6.667,-3.125,0.000,3.226,3.125,0.000,6.061
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
