,,,,,,,,,,,
China Petroleum & Chemical Corp (386 HK) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CNY except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.490,2.630,3.550,3.890,3.940,4.250,4.430,4.690,4.710
    Growth (YoY),ESG_SCORE,—,—,5.622,34.981,9.577,1.285,7.868,4.235,5.869,0.426
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.270,1.310,2.530,3.160,2.970,3.850,4.130,4.190,4.090
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,2.665,93.709,24.724,-5.841,29.559,7.215,1.465,-2.376
BESG Social Pillar Score,SOCIAL_SCORE,—,2.430,2.490,3.530,3.570,4.180,3.960,4.080,4.470,4.780
    Growth (YoY),SOCIAL_SCORE,—,—,2.380,41.890,1.085,16.972,-5.169,3.087,9.491,6.932
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,5.160,5.680,5.560,5.610,5.520,5.270,5.340,5.810,5.760
    Growth (YoY),GOVERNANCE_SCORE,—,—,10.043,-2.027,0.940,-1.639,-4.560,1.343,8.831,-0.914
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,38.205,39.835,40.690,49.422,55.779,53.335,56.745,58.837,60.447,58.465
    Growth (YoY),ESG_DISCLOSURE_SCORE,17.331,4.265,2.146,21.459,12.864,-4.382,6.394,3.687,2.736,-3.278
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,17.638,17.638,17.638,39.233,48.898,42.132,49.230,49.230,54.062,50.680
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,440.741,0.000,0.000,122.432,24.634,-13.836,16.846,0.000,9.816,-6.257
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,25.726,27.539,30.109,34.734,34.734,37.304,37.304,37.304,37.304,34.734
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,11.097,7.051,9.330,15.361,0.000,7.398,0.000,0.000,0.000,-6.888
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,71.132,74.202,74.202,74.202,83.594,80.464,83.594,89.856,89.856,89.856
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,4.317,0.000,0.000,12.657,-3.745,3.891,7.490,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,99.800,95.900,21.762,20.774,19.247,19.984
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,-3.908,-77.308,-4.540,-7.351,3.829
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,—,51.119,49.714
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,—,-2.748
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,67.200,64.600,5.922,5.117,4.910,4.661
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,-3.869,-90.833,-13.593,-4.045,-5.071
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,"123,050.000","128,570.000","125,680.000","128,580.000","148,380.000","137,720.000","142,280.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,4.486,-2.248,2.307,15.399,-7.184,3.311
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,"39,610.000","42,950.000","45,010.000","42,360.000","24,180.000","24,070.000","26,360.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,8.432,4.796,-5.888,-42.918,-0.455,9.514
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"183,037.000","188,457.000","196,023.000","185,610.000","324,540.000","351,485.000","354,789.000"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,2.961,4.015,-5.312,74.850,8.303,0.940
Electricity Used,ELECTRICITY_USED,—,—,—,"28,860.000","30,570.000","32,260.000","30,830.000","33,800.000","33,880.000","36,530.000"
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,5.925,5.528,-4.433,9.633,0.237,7.822
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,"15,080.000","15,180.000","14,770.000","15,000.000","35,000.000","38,190.000","37,840.000"
    Growth (YoY),COAL_USED,—,—,—,—,0.663,-2.701,1.557,133.333,9.114,-0.916
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,"3,350,000.000","3,830,000.000","4,140,000.000","3,780,000.000","4,060,000.000","4,400,000.000","4,700,000.000"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,14.328,8.094,-8.696,7.407,8.374,6.818
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,"1,635.600","1,542.800","1,403.600","1,241.200","1,241.200","1,229.600","1,241.200"
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,-5.674,-9.023,-11.570,0.000,-0.935,0.943
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,505.300,642.300,731.100,461.000,"1,584.000","1,473.800"
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,27.113,13.825,-36.944,243.601,-6.957
Total Waste,TOTAL_WASTE,—,—,—,—,"2,734.300","2,757.620","2,441.900","2,392.600","16,442.600","17,237.500"
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,0.853,-11.449,-2.019,587.227,4.834
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,"13,890.700","14,976.300"
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,7.815
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,"664,560.000","657,460.000","650,360.000","643,200.000","636,160.000","629,100.000","622,800.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,-1.068,-1.080,-1.101,-1.095,-1.110,-1.001
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,124.900,111.850,132.880,151.880,180.000,209.000,301.000,165.000,447.000,230.660
    Growth (YoY),COMMUNITY_SPENDING,-49.056,-10.448,18.802,14.299,18.515,16.111,44.019,-45.183,170.909,-48.398
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,26.410,26.740,12.880,12.760,12.670,12.380,12.590,12.910,13.450,13.630
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,0.266,1.250,-51.832,-0.932,-0.705,-2.289,1.696,2.542,4.183,1.338
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,29.660,29.460,35.950,35.900,35.000,33.800,33.100,32.100,31.000,30.730
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-0.869,-0.674,22.030,-0.139,-2.507,-3.429,-2.071,-3.021,-3.427,-0.871
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,2.440,2.450,3.620,3.800,3.800,3.700,3.800,4.000,4.200,4.360
    Growth (YoY),PCT_MINORITY_EMPLOYEES,2.092,0.410,47.755,4.972,0.000,-2.632,2.703,5.263,5.000,3.810
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,8.000,7.000,2.000,3.000,3.000,1.000,3.000,2.000,2.000,1.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.000,0.001,0.001,0.000,0.000,0.106,0.115,0.070,0.051
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,34.940,-47.321,-47.458,"42,722.581",8.004,-38.570,-28.300
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"358,571.000","351,019.000","451,611.000","446,225.000","423,543.000","402,206.000","384,065.000","385,751.000","374,791.000","368,009.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,0.370,0.500,0.800,0.800,0.690,0.640,0.690,0.500
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,35.135,60.000,0.000,-13.750,-7.246,7.812,-27.536
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,739.560,748.080,850.210,875.040,890.560,871.000,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,1.152,13.652,2.920,1.774,-2.196,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,"10,190,300.000","12,853,200.000","14,637,600.000","14,815,500.000","20,675,700.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,26.132,13.883,1.215,39.555
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,3.000,4.000,5.000,6.000,7.000,8.000,1.000,2.000,3.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,33.333,25.000,20.000,16.667,14.286,-87.500,100.000,50.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,6.000,5.000,4.000,4.000,6.000,4.000,6.000,5.000,5.000,5.000
