,,,,,,,,,,
Sahara International Petrochemical Co (SIPCHEM AB) - Overview,,,,,,,,,,
,,,,,,,,,,
In Millions of SAR except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.380,2.160,2.950,0.960,3.150,2.150,2.660,3.320,—
    Growth (YoY),ESG_SCORE,—,-9.244,36.574,-67.458,228.125,-31.746,23.721,24.812,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.270,1.600,2.620,0.480,2.670,1.210,2.230,3.620,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,-29.244,63.312,-81.627,455.551,-54.582,83.374,62.508,—
BESG Social Pillar Score,SOCIAL_SCORE,2.720,2.760,2.720,0.880,2.850,1.770,1.730,1.800,—
    Growth (YoY),SOCIAL_SCORE,—,1.603,-1.361,-67.734,224.347,-37.842,-2.554,4.078,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,2.230,2.580,3.770,2.000,4.340,4.600,4.630,4.600,—
    Growth (YoY),GOVERNANCE_SCORE,—,15.939,45.836,-46.982,117.333,6.079,0.689,-0.849,—
,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,53.345,50.035,53.727,9.164,60.085,53.868,58.887,60.819,57.318
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,-6.204,7.378,-82.943,555.653,-10.347,9.318,3.280,-5.756
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,66.717,46.028,60.405,17.638,64.724,49.411,71.157,71.489,59.317
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,-31.010,31.234,-70.800,266.952,-23.658,44.010,0.467,-17.026
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,41.203,39.389,41.203,9.885,30.562,27.207,25.544,31.016,26.391
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,-4.402,4.605,-76.009,209.174,-10.979,-6.111,21.420,-14.912
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,52.107,64.630,59.542,0.000,84.859,84.859,79.862,79.862,86.123
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,24.032,-7.871,—,—,0.000,-5.889,0.000,7.840
,,,,,,,,,,
Environmental,,,,,,,,,,
Air Quality,,,,,,,,,,
