,,,,,,,,,,,
Snam SpA (SRG IM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.360,2.800,2.730,2.960,4.150,4.270,4.010,4.210,—
    Growth (YoY),ESG_SCORE,—,—,18.644,-2.500,8.425,40.203,2.892,-6.089,4.988,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.380,0.380,0.380,0.380,1.850,2.300,1.850,1.850,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.000,0.000,0.000,386.533,23.995,-19.352,0.000,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.310,5.680,4.800,5.720,5.730,4.950,4.710,5.190,—
    Growth (YoY),SOCIAL_SCORE,—,—,71.685,-15.581,19.262,0.098,-13.580,-4.825,10.161,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,5.500,5.540,5.870,6.160,6.980,7.080,7.230,7.610,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,0.668,5.966,4.957,13.338,1.488,2.094,5.230,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,55.658,63.434,63.957,66.633,65.778,66.744,67.398,75.405,74.882,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-6.061,13.971,0.825,4.184,-1.283,1.468,0.980,11.881,-0.694,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,46.632,50.076,50.076,51.827,51.827,52.160,54.123,60.646,60.646,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,7.383,0.000,3.498,0.000,0.641,3.764,12.054,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,43.501,50.272,51.844,51.844,49.275,51.844,51.844,69.377,67.805,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-19.878,15.566,3.127,0.000,-4.956,5.215,0.000,33.819,-2.266,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,76.761,89.856,89.856,96.117,96.117,96.117,96.117,96.117,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,17.059,0.000,6.968,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,0.497,0.433,0.434,0.532,0.564,0.452,0.403,0.558,0.602,—
    Growth (YoY),NOX_EMISSIONS,-40.621,-12.877,0.231,22.581,6.015,-19.858,-10.841,38.462,7.885,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,0.265,0.292,0.281,0.329,0.196,0.181,0.163,0.246,0.301,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,-18.712,10.189,-3.767,17.082,-40.426,-7.653,-9.945,50.920,22.358,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,478.000,493.000,604.000,691.000,727.000,656.000,658.000,778.123,976.153,—
    Growth (YoY),CO2_SCOPE_1,-23.027,3.138,22.515,14.404,5.210,-9.766,0.305,18.256,25.450,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"1,978.000","1,907.000","1,439.000","1,500.000","1,500.000","1,346.590","1,313.430","1,436.650","1,485.000","1,386.090"
    Growth (YoY),GHG_SCOPE_1,-9.308,-3.589,-24.541,4.239,0.000,-10.227,-2.463,9.382,3.365,-6.661
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,31.500,31.100,28.000,32.000,34.000,37.814,38.751,31.486,38.581,41.579
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-2.174,-1.270,-9.968,14.286,6.250,11.218,2.478,-18.748,22.534,7.771
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,29.000,32.000,32.418,31.313,30.829,32.771,27.036
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,10.345,1.306,-3.409,-1.546,6.299,-17.500
GHG Scope 3,GHG_SCOPE_3,333.000,433.000,334.000,217.000,444.000,629.000,"1,033.510",938.463,"1,338.290","1,589.830"
    Growth (YoY),GHG_SCOPE_3,-7.756,30.030,-22.864,-35.030,104.608,41.667,64.310,-9.197,42.604,18.796
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"2,460.560","2,524.250","3,043.610","3,495.080","3,689.180","3,375.560","3,376.110","3,932.370","4,900.200","4,967.960"
    Growth (YoY),ENERGY_CONSUMPTION,-22.752,2.588,20.575,14.833,5.554,-8.501,0.016,16.476,24.612,1.383
Renewable Energy Use,RENEW_ENERGY_USE,0.477,0.740,0.845,1.044,1.128,0.830,0.872,0.950,75.625,111.371
    Growth (YoY),RENEW_ENERGY_USE,136.139,55.153,14.122,23.644,8.053,-26.445,5.060,8.945,"7,860.526",47.267
Electricity Used,ELECTRICITY_USED,98.422,83.028,87.278,93.806,104.694,117.389,128.750,110.108,145.804,172.335
    Growth (YoY),ELECTRICITY_USED,-6.369,-15.641,5.119,7.479,11.607,12.126,9.678,-14.479,32.419,18.196
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,0.712,0.845,1.044,1.128,0.830,0.872,0.804,0.803,1.774
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,18.674,23.644,8.053,-26.445,5.060,-7.798,-0.124,120.922
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,0.000,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,"221,853.000","231,994.000","281,474.000","324,502.000","341,810.000","309,622.000","308,810.000","364,794.000","473,823.000","477,707.000"
    Growth (YoY),NAT_GAS_USED,-23.728,4.571,21.328,15.287,5.334,-9.417,-0.262,18.129,29.888,0.820
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,2.337,2.365,2.192,2.564,2.369,2.212,2.323,0.000,3.232
    Growth (YoY),OIL_DIESEL_USED,—,—,1.215,-7.347,16.977,-7.576,-6.637,5.030,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,3.676,3.112,3.558,3.809,4.099,5.669,6.276,5.961,17.553,9.785
    Growth (YoY),HAZARDOUS_WASTE,15.670,-15.343,14.332,7.055,7.614,38.302,10.707,-5.019,194.464,-44.255
Total Waste,TOTAL_WASTE,57.819,36.288,52.513,54.413,28.286,27.823,124.980,120.776,143.516,227.524
    Growth (YoY),TOTAL_WASTE,-5.551,-37.239,44.712,3.618,-48.016,-1.637,349.197,-3.364,18.828,58.536
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,4.496
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,13.088,2.796,2.391,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,-78.636,-14.488,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"4,339.000","4,322.000","4,177.000","4,170.000","4,134.000","6,276.000","6,361.000","6,440.000","5,565.000","57,317.500"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,1.355,-0.392,-3.355,-0.168,-0.863,51.814,1.354,1.242,-13.587,929.964
Total Water Discharged,TOTAL_WATER_DISCHARGED,"4,258.000","4,254.000","4,139.000","4,112.000","4,068.000","6,229.000","6,326.000","6,248.000","5,481.000","57,209.301"
    Growth (YoY),TOTAL_WATER_DISCHARGED,1.671,-0.094,-2.703,-0.652,-1.070,53.122,1.557,-1.233,-12.276,943.775
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,192.000,84.000,108.228
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,-56.250,28.843
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Community Spending,COMMUNITY_SPENDING,0.765,0.753,0.851,0.249,0.400,3.000,2.500,4.000,3.000,3.000
    Growth (YoY),COMMUNITY_SPENDING,-5.322,-1.569,13.015,-70.740,60.643,650.000,-16.667,60.000,-25.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,12.800,13.300,14.700,15.100,16.800,18.000,20.600,21.270,19.700,19.200
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,4.065,3.906,10.526,2.721,11.258,7.143,14.444,3.252,-7.381,-2.538
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,12.600,16.400,18.800,19.300,19.900,22.160,22.800,26.200
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,30.159,14.634,2.660,3.109,11.357,2.888,14.912
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,11.100,11.300,12.800,13.500,13.890,14.570,15.600,16.580,16.500,17.600
    Growth (YoY),PCT_WOMEN_EMPLOYEES,1.835,1.802,13.274,5.469,2.889,4.896,7.069,6.282,-0.483,6.667
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,6.000,4.850,4.500,4.310,4.150,3.960,3.600,3.410,—,—
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,0.000,-19.167,-7.216,-4.222,-3.712,-4.578,-9.091,-5.278,—,—
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,93.000,102.000,103.000,98.000,100.000,107.000,100.000,92.000,86.000
    Growth (YoY),PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,9.677,0.980,-4.854,2.041,7.000,-6.542,-8.000,-6.522
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,96.000,96.000,96.000,93.000,95.000,94.000,95.000,95.000,95.000
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,0.000,0.000,-3.125,2.151,-1.053,1.064,0.000,0.000
Percentage Gender Pay Gap Employees Ex Management,PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,88.000,89.000,89.000,89.000,90.000,92.000,93.000,94.000,93.000
    Growth (YoY),PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,1.136,0.000,0.000,1.124,2.222,1.087,1.075,-1.064
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
