,,,,,,,,,,,
Southwestern Energy Co (SWN US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.160,3.430,3.260,3.790,4.370,5.200,5.010,4.920,—
    Growth (YoY),ESG_SCORE,—,—,8.544,-4.956,16.258,15.303,18.993,-3.654,-1.796,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.490,3.100,2.490,3.080,3.500,4.000,3.940,4.230,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,24.479,-19.764,23.463,13.818,14.242,-1.397,7.217,—
BESG Social Pillar Score,SOCIAL_SCORE,—,0.860,0.820,0.980,1.570,2.550,4.550,3.690,3.350,—
    Growth (YoY),SOCIAL_SCORE,—,—,-4.575,19.098,61.164,61.831,78.592,-18.864,-9.243,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.990,7.950,8.290,8.320,8.450,8.300,8.720,8.150,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-0.550,4.301,0.318,1.620,-1.839,5.104,-6.573,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,44.955,46.595,51.474,55.387,53.818,55.045,55.055,55.387,55.497,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,40.094,3.647,10.471,7.602,-2.833,2.280,0.018,0.603,0.200,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,13.078,13.078,35.548,35.548,35.548,38.387,31.954,34.793,35.125,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,766.000,0.000,171.824,0.000,0.000,7.986,-16.758,8.885,0.955,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,38.634,39.661,31.832,43.017,34.402,32.860,39.329,37.485,37.485,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,234.555,2.660,-19.741,35.138,-20.028,-4.482,19.687,-4.689,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,86.906,86.906,87.477,91.361,93.739,93.739,93.739,93.739,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,4.677,0.000,0.658,4.439,2.603,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,292.000,659.000,"1,071.000",926.000,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,125.685,62.519,-13.539,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,5.890,3.620,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,-38.540,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,516.000,"1,057.000","1,548.000","1,283.970",—
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,104.845,46.452,-17.056,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,5.910,3.640,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,-38.409,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.003,0.003,0.003,0.002,0.006,0.005,0.009,0.780,0.700,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,-9.459,-1.493,-12.500,146.753,-8.772,65.385,"8,969.767",-10.256,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"5,153.690","4,825.960","1,849.260","4,798.700","9,590.130","12,830.300","14,499.700","16,296.200","14,110.100",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-6.359,-61.681,159.493,99.848,33.787,13.011,12.390,-13.415,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,103.753,317.447,"1,326.810","1,374.340","1,212.700",520.298,—,—,—,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,205.964,317.963,3.582,-11.761,-57.096,—,—,—,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,1.170,1.040,3.373,2.388,0.750,1.020,—,—,—,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,-11.111,224.337,-29.213,-68.589,36.000,—,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,3.450,2.820,1.700,2.300,2.704,0.904,0.826,0.735,0.869,—
    Growth (YoY),COMMUNITY_SPENDING,—,-18.261,-39.716,35.294,17.548,-66.557,-8.652,-11.012,18.292,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,14.000,14.100,15.200,16.000,21.000,19.300,17.000,16.000,16.000,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,0.714,7.801,5.263,31.250,-8.095,-11.917,-5.882,0.000,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,20.560,20.600,23.290,21.800,25.100,25.000,23.000,23.000,21.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,0.195,13.058,-6.398,15.138,-0.398,-8.000,0.000,-8.696,—
Pct Minorities in Management,PCT_MINORITY_MGT,6.500,6.100,5.600,6.500,6.700,7.000,9.000,8.000,7.000,—
    Growth (YoY),PCT_MINORITY_MGT,—,-6.154,-8.197,16.071,3.077,4.478,28.571,-11.111,-12.500,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,11.400,10.100,11.100,13.100,13.000,12.000,14.000,15.000,—
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,-11.404,9.901,18.018,-0.763,-7.692,16.667,7.143,—
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,11.300,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Political Donations,POLITICAL_DONATIONS,0.056,0.073,—,0.013,—,—,—,—,—,—
    Growth (YoY),POLITICAL_DONATIONS,—,30.783,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,0.000,—,—,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,0.000,—,—,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,0.000,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,1.140,0.650,0.830,0.290,0.430,0.330,0.220,0.110,0.420,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,-42.982,27.692,-65.060,48.276,-23.256,-33.333,-50.000,281.818,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.170,0.760,0.720,0.830,0.750,0.670,0.420,0.490,0.350,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,-35.043,-5.263,15.278,-9.639,-10.667,-37.313,16.667,-28.571,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,1.160,0.710,0.780,0.650,0.640,0.560,0.360,0.390,0.370,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-38.793,9.859,-16.667,-1.538,-12.500,-35.714,8.333,-5.128,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"2,781.000","2,597.000","1,469.000","1,575.000",960.000,923.000,900.000,938.000,"1,118.000","1,165.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,"1,069.000",924.000,630.000,—,—,—,—,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,14.000,20.000,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,42.857,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,"13,800.000","9,800.000","30,364.000","16,776.000","15,652.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,-28.986,209.837,-44.750,-6.700,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,8.333,7.692,7.143,6.667,6.250,5.882,5.556,5.263,5.000,4.762
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,4.000,3.000,4.000,4.000,6.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,4.000,3.000,4.000,4.000,6.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,7.000,4.000,4.000,4.000,4.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,9.000,8.000,10.000,9.000,8.000,9.000,9.000,9.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,6.000,10.000,5.000,6.000,5.000,5.000,5.000,9.000,10.000
