,,,,,,,,,,,
Suncor Energy Inc (SU CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.930,4.420,4.720,4.960,5.400,5.140,5.510,5.520,—
    Growth (YoY),ESG_SCORE,—,—,12.468,6.787,5.085,8.871,-4.815,7.198,0.181,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.930,3.760,4.670,4.930,5.880,5.700,5.520,5.520,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,28.289,24.070,5.652,19.277,-2.975,-3.172,-0.029,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.440,2.600,2.380,2.670,2.400,1.970,3.270,3.450,—
    Growth (YoY),SOCIAL_SCORE,—,—,6.424,-8.357,12.417,-10.187,-17.774,65.826,5.358,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.890,8.030,7.770,7.880,8.370,8.290,8.200,7.990,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,1.862,-3.269,1.420,6.264,-0.983,-1.095,-2.585,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,67.569,71.442,71.784,77.024,78.000,79.298,77.568,79.851,78.463,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,2.706,5.732,0.479,7.301,1.267,1.664,-2.182,2.944,-1.738,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,50.076,55.482,55.482,72.999,73.331,76.201,76.201,77.922,77.922,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,11.951,10.796,0.000,31.573,0.455,3.913,0.000,2.259,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,60.762,65.024,66.052,64.268,66.868,67.896,62.697,67.836,63.664,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,7.015,1.581,-2.700,4.045,1.537,-7.658,8.197,-6.150,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,91.782,93.739,93.739,93.739,93.739,93.739,93.739,93.739,93.739,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,27.800,27.900,24.900,26.640,59.490,62.240,60.630,59.210,62.380,—
    Growth (YoY),NOX_EMISSIONS,-16.517,0.360,-10.753,6.988,123.311,4.623,-2.587,-2.342,5.354,—
VOC Emissions,VOC_EMISSIONS,17.500,21.100,19.500,23.140,32.230,32.420,32.420,41.340,45.830,—
    Growth (YoY),VOC_EMISSIONS,30.597,20.571,-7.583,18.667,39.283,0.590,0.000,27.514,10.861,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,5.390,5.180,7.160,5.330,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,-3.896,38.224,-25.559,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,23.100,18.400,21.100,20.510,52.380,48.460,44.970,45.460,50.230,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-0.431,-20.346,14.674,-2.796,155.388,-7.484,-7.202,1.090,10.493,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"18,514.199","18,715.400","17,125.801","18,186.500","20,096.801","21,046.900","19,207.301","19,783.801","32,777.602",—
    Growth (YoY),CO2_SCOPE_1,—,1.087,-8.494,6.194,10.504,4.728,-8.740,3.001,65.679,—
GHG Scope 1,GHG_SCOPE_1,"18,957.301","19,106.699","17,430.900","18,509.301","32,410.000","33,670.000","32,020.000","32,690.000","33,515.301",—
    Growth (YoY),GHG_SCOPE_1,-0.130,0.788,-8.771,6.187,75.101,3.888,-4.901,2.092,2.525,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"1,511.010","1,373.030","1,303.890","1,369.000","1,640.000","1,520.000","1,410.000","1,460.000","1,360.580",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-2.641,-9.132,-5.036,4.994,19.795,-7.317,-7.237,3.546,-6.810,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,"1,369.000","1,412.980","1,339.910","1,226.370","1,316.990","1,386.800",—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,3.213,-5.171,-8.474,7.389,5.301,—
GHG Scope 3,GHG_SCOPE_3,"1,466.350","1,549.430","1,651.430","1,881.430","1,542.840","1,639.990","122,900.000","127,600.000","143,000.000",—
    Growth (YoY),GHG_SCOPE_3,-9.929,5.666,6.583,13.927,-17.996,6.297,"7,393.948",3.824,12.069,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.450,0.420,0.420,0.410,0.250,0.233,0.250,0.250,0.241,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,9.756,-6.667,0.000,-2.381,-39.022,-6.897,7.407,0.000,-3.448,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"84,555.602","86,222.203","79,388.898","83,883.297","131,631.000","141,386.000","129,342.000","135,567.000","141,500.000",—
    Growth (YoY),ENERGY_CONSUMPTION,1.704,1.971,-7.925,5.661,56.922,7.411,-8.519,4.813,4.376,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,45.446,321.429,10.404,52.174,48.424,164.490,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,607.277,-96.763,401.480,-7.188,239.690,—
Electricity Used,ELECTRICITY_USED,0.000,"5,164.120","4,135.650","3,911.110","2,100.000","1,438.890","1,152.780","2,119.440","7,331.750",—
    Growth (YoY),ELECTRICITY_USED,—,—,-19.916,-5.429,-46.307,-31.481,-19.884,83.855,245.929,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,912.891,"1,850.040",—
    Growth (YoY),COAL_USED,—,—,—,—,—,—,—,—,102.657,—
Fuel Used - Natural Gas,NAT_GAS_USED,"4,740,330.000","4,772,150.000","4,393,380.000","4,265,410.000","5,696,370.000","5,637,570.000","5,349,160.000","7,551,180.000","10,879,500.000",—
    Growth (YoY),NAT_GAS_USED,—,0.671,-7.937,-2.913,33.548,-1.032,-5.116,41.166,44.077,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,389.874,418.225,337.272,487.726,625.540,677.232,604.441,643.177,"10,597.400",—
    Growth (YoY),OIL_DIESEL_USED,—,7.272,-19.356,44.609,28.256,8.264,-10.748,6.409,"1,547.665",—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,1.789,1.775,1.728,1.142,1.119,1.139,1.161,1.119,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,-0.776,-2.660,-33.923,-1.947,1.737,1.951,-3.589,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,"2,298.700","1,992.120","1,981.500",999.060,985.000,"1,054.000","1,010.000","1,007.000","1,113.000",—
    Growth (YoY),HAZARDOUS_WASTE,3.039,-13.337,-0.533,-49.581,-1.407,7.005,-4.175,-0.297,10.526,—
Total Waste,TOTAL_WASTE,"2,728.190","2,596.390","2,271.230","2,123.000","2,637.000","2,577.000","2,809.000","2,999.000","3,061.000",—
    Growth (YoY),TOTAL_WASTE,10.621,-4.831,-12.524,-6.526,24.211,-2.275,9.003,6.764,2.067,—
Waste Recycled,WASTE_RECYCLED,88.720,135.000,123.000,71.000,148.060,160.280,99.260,125.580,99.700,—
    Growth (YoY),WASTE_RECYCLED,-8.489,52.164,-8.889,-42.276,108.535,8.253,-38.071,26.516,-20.608,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,388.700,173.010,142.250,336.340,348.330,208.430,417.000,389.220,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,-55.490,-17.779,136.443,3.565,-40.163,100.067,-6.662,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"324,740.000","142,470.000","162,180.000","105,070.000","223,510.000","212,320.000","228,680.000","176,880.000","168,473.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-3.337,-56.128,13.834,-35.214,112.725,-5.006,7.705,-22.652,-4.753,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,"101,220.000","97,460.000","105,120.000","65,990.000","77,440.000","77,100.000","77,359.000","63,235.000","79,996.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,4.200,-3.715,7.860,-37.224,17.351,-0.439,0.336,-18.258,26.506,—
Water Consumption,WATER_CONSMPTN,"49,140.000","45,330.000","57,190.000","39,070.000","141,070.000","129,750.000","149,080.000","107,000.000","100,326.000",—
    Growth (YoY),WATER_CONSMPTN,-16.386,-7.753,26.164,-31.684,261.070,-8.024,14.898,-28.226,-6.237,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,"1,080.000",940.000,"1,280.000",810.000,"1,250.000","1,030.000","1,310.000",920.000,810.000,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,-8.475,-12.963,36.170,-36.719,54.321,-17.600,27.184,-29.771,-11.957,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,43.589,24.807,33.716,25.757,28.980,32.941,36.278,39.119,40.350,—
    Growth (YoY),COMMUNITY_SPENDING,-5.082,-43.089,35.913,-23.606,12.513,13.668,10.130,7.831,3.147,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,21.700,22.400,20.100,19.000,20.400,34.330,—,—,—,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,1.878,3.226,-10.268,-5.473,7.368,68.284,—,—,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,25.100,23.400,24.500,23.800,23.200,24.580,23.710,22.250,22.150,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,6.809,-6.773,4.701,-2.857,-2.521,5.948,-3.539,-6.158,-0.449,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,10.400,10.300,12.600,14.700,12.600,11.810,12.880,8.960,5.580,—
    Growth (YoY),PCT_MINORITY_EMPLOYEES,-14.050,-0.962,22.330,16.667,-14.286,-6.270,9.060,-30.435,-37.723,—
