,,,,,,,,,,,
Grupo Energia Bogota SA ESP (GEB CB) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of COP except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.940,1.970,1.830,2.050,1.870,3.320,3.340,4.160,—
    Growth (YoY),ESG_SCORE,—,—,-32.993,-7.107,12.022,-8.780,77.540,0.602,24.551,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.050,0.300,0.300,0.300,0.300,2.050,2.050,2.050,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-85.534,0.000,0.000,0.000,591.290,0.000,0.000,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.610,3.740,2.800,4.910,3.380,3.540,3.330,7.870,—
    Growth (YoY),SOCIAL_SCORE,—,—,3.495,-25.084,75.545,-31.227,4.820,-6.035,136.479,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,3.820,3.830,3.950,3.410,3.690,5.150,5.420,5.230,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,0.272,3.262,-13.713,8.299,39.538,5.144,-3.445,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,42.239,62.609,46.494,49.754,46.746,47.872,56.996,60.598,66.422,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,12.907,48.226,-25.739,7.010,-6.045,2.410,19.059,6.318,9.612,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,28.088,51.525,23.618,41.740,41.740,45.122,58.653,56.690,57.354,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-22.045,83.441,-54.162,76.726,0.000,8.104,29.987,-3.347,1.172,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,39.359,54.504,34.009,32.950,39.268,39.268,40.840,38.271,55.109,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,2.844,38.479,-37.604,-3.111,19.174,0.000,4.003,-6.292,43.997,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,59.211,81.728,81.728,74.473,59.181,59.181,71.433,86.725,86.725,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,56.111,38.027,0.000,-8.877,-20.534,0.000,20.702,21.408,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,2.102,2.652,3.635,40.962,143.232,179.743,133.679,355.157,312.431,452.095
    Growth (YoY),GHG_SCOPE_1,107.894,26.185,37.029,"1,026.966",249.674,25.491,-25.628,165.679,-12.030,44.702
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,0.119,0.144,0.112,0.551,0.558,2.405,1.465,2.065,2.013,36.608
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,10.422,21.378,-22.321,391.355,1.306,330.618,-39.074,40.916,-2.492,"1,718.277"
GHG Scope 3,GHG_SCOPE_3,0.491,0.220,0.502,0.631,1.028,2.734,0.311,16.698,11.769,17.370
    Growth (YoY),GHG_SCOPE_3,7.874,-55.223,128.100,25.683,62.946,166.031,-88.609,"5,261.826",-29.520,47.598
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,—,—,—,—,—,—,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,0.558,285.586,512.153,727.235,"1,152.900","1,219.880","1,219.390","1,291.610"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,"51,073.775",79.334,41.996,58.532,5.810,-0.040,5.923
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,0.020,0.000,0.019,0.021,0.018,0.383,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,9.942,-15.385,"2,073.926",—
Electricity Used,ELECTRICITY_USED,0.595,0.595,—,6.945,5.886,10.171,16.978,10.450,0.383,—
    Growth (YoY),ELECTRICITY_USED,8.593,0.003,—,—,-15.243,72.786,66.930,-38.446,-96.339,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,"27,787.801","50,587.602","71,328.102","114,197.000","120,795.000","120,797.000",—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,82.050,40.999,60.101,5.778,0.002,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,14.990,—,0.160,0.187,0.503,0.432,0.496,0.070,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,17.197,168.266,-14.071,14.691,-85.798,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,0.001,—,0.492,0.613,0.352,0.923,—,—,1.087
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,24.545,-42.599,162.372,—,—,—
Total Waste,TOTAL_WASTE,—,0.021,—,0.555,0.771,0.644,533.508,"1,476.750",997.366,893.811
    Growth (YoY),TOTAL_WASTE,—,—,—,—,39.017,-16.440,"82,700.428",176.800,-32.462,-10.383
Waste Recycled,WASTE_RECYCLED,—,0.013,—,0.022,0.054,0.041,4.631,1.726,0.211,0.158
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,147.872,-24.188,"11,239.520",-62.729,-87.769,-24.973
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,0.006,—,0.532,0.037,0.035,0.022,2.973,1.530,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,-93.072,-4.691,-38.293,"13,607.515",-48.549,—
Pct Recycled Materials,PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"2,842.000","3,374.400",—,17.950,24.580,27.710,24.110,17.290,28.680,394.677
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,83.473,18.733,—,—,36.936,12.734,-12.992,-28.287,65.876,"1,276.140"
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,34.640,24.110,17.290,28.700,198.150
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,-30.398,-28.287,65.992,590.418
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,No,No,No,Yes,n/a
Community Spending,COMMUNITY_SPENDING,"1,415.000","3,293.000",—,—,—,—,—,—,"3,057.340","35,903.801"
    Growth (YoY),COMMUNITY_SPENDING,—,132.721,—,—,—,—,—,—,—,"1,074.348"
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,50.000,39.020,26.920,28.810,35.000,28.570,31.250,29.500
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,-21.960,-31.010,7.021,21.486,-18.371,9.380,-5.600
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,22.850,26.150,27.320,34.220,36.660,46.750,43.250,46.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,14.442,4.474,25.256,7.130,27.523,-7.487,6.358
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,38.340,38.640,41.920,30.100,28.920,30.800,31.480,32.830,27.800,28.700
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-1.692,0.782,8.489,-28.197,-3.920,6.501,2.208,4.288,-15.321,3.237
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,—,4.740
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,0.920,—,—,—,—,0.800,0.000,0.150,0.570
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,—,280.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,1.000,0.000,4.000,1.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,1.000,0.000,4.000,1.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.650,—,—,—,0.870,0.702,0.494,0.000,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,-19.310,-29.630,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,11.860,7.370,—,—,—,—,—,—,0.000,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,-37.858,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,0.000,0.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.870,1.900,—,0.050,—,—,—,0.000,0.000
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,118.391,—,—,—,—,—,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,14.700,9.400,2.720,—,—,—,—,—,0.000,0.000
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,-36.054,-71.064,—,—,—,—,—,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,0.000,0.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,326.000,383.000,477.000,"1,663.000","1,926.000","1,940.000","1,998.000","2,068.000","2,565.000","2,708.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,"8,189.000","11,689.000","11,336.000",—,29.000,"5,912.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,13.820,8.520,—,—,15.250,13.610,10.950,10.960,13.830,14.200
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,9.509,-38.350,—,—,—,-10.754,-19.544,0.091,26.186,2.675
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,32.700,32.110,29.000,28.650,33.000,27.860,24.440,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,-1.804,-9.685,-1.207,15.183,-15.576,-12.276,—
