,,,,,,,,,,,
TGS ASA (TGS NO) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.540,2.540,2.430,2.400,2.330,3.290,3.930,4.510,—
    Growth (YoY),ESG_SCORE,—,—,0.000,-4.331,-1.235,-2.917,41.202,19.453,14.758,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.160,0.160,0.160,0.160,0.160,0.760,0.920,1.800,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.000,0.000,0.000,0.000,365.783,21.158,95.951,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.660,2.710,2.630,2.890,2.480,4.390,6.430,6.250,—
    Growth (YoY),SOCIAL_SCORE,—,—,2.021,-3.016,9.945,-14.112,76.729,46.496,-2.725,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.560,7.450,7.030,6.490,6.740,6.950,7.030,7.420,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.437,-5.748,-7.561,3.827,3.076,1.096,5.620,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,38.648,43.074,42.843,43.788,46.867,48.305,48.778,51.594,50.257,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.681,11.452,-0.537,2.207,7.030,3.069,0.979,5.774,-2.593,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,14.860,15.192,15.192,15.192,21.927,23.679,25.098,31.139,29.719,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,2.236,0.000,0.000,44.334,7.989,5.995,24.067,-4.559,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,29.837,35.248,35.248,38.090,38.090,40.659,40.659,44.196,38.513,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,2.706,18.136,0.000,8.062,0.000,6.746,0.000,8.699,-12.859,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,71.132,78.657,77.965,77.965,80.464,80.464,80.464,79.350,82.420,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,10.580,-0.880,0.000,3.205,0.000,0.000,-1.384,3.869,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,Yes,Yes,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,0.659,0.628,0.337,0.001,0.000,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,-4.704,-46.318,-99.804,-51.515,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,12.501,11.167,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,-10.675,—,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,0.719,0.629,0.338,0.001,0.000,76.102
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,-12.517,-46.304,-99.802,-50.746,"23,061,111.212"
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,10.770,12.207,12.559,11.215,9.776,9.738
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,13.343,2.880,-10.697,-12.832,-0.390
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,217.149,289.550,133.489,119.870,290.502
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,33.342,-53.898,-10.202,142.348
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,2.000,2.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,—,28.564,25.652,27.543
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,—,—,-10.196,7.372
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,0.440,0.951,1.670
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,116.023,75.605
Electricity Used,ELECTRICITY_USED,—,—,—,—,26.056,29.774,33.192,28.564,25.652,25.873
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,14.269,11.479,-13.942,-10.196,0.862
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,0.011
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,36.000,36.000,29.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,0.000,-19.444
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,28.000,26.000,29.000,29.000,29.000,28.000,29.000,28.000,29.000,22.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,-12.500,-7.143,11.538,0.000,0.000,-3.448,3.571,-3.448,3.571,-24.138
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,41.000,41.000,43.000,41.000,37.000,35.000,29.000,27.000,27.000,23.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-2.381,0.000,4.878,-4.651,-9.756,-5.405,-17.143,-6.897,0.000,-14.815
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,—,—,—,—,17.000,—
Percentage Gender Pay Gap Employees Ex Management,PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,—,—,—,—,—,—,27.000,—
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,22.000,—,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,—,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,—,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.130,0.030,0.068,0.070,0.000,0.128,0.062,0.088,0.000,0.054
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,-76.923,126.667,2.941,—,—,-51.563,41.935,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.025,0.098,0.050,0.000,0.100,0.060,0.090,0.000,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,292.000,-48.980,—,—,-40.000,50.000,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.362,0.128,0.036,0.000,0.000,0.000,0.222,0.000,0.240,0.000
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,178.462,-64.641,-71.875,—,—,—,—,—,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.420,0.774,0.268,0.568,0.920,0.510,0.310,0.266,0.360,0.270
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,50.424,-45.493,-65.375,111.940,61.972,-44.565,-39.216,-14.194,35.338,-25.000
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,0.420,0.680,1.180,0.380,0.270,—,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,61.905,73.529,-67.797,-28.947,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,943.000,747.000,614.000,597.000,547.000,666.000,462.000,443.000,578.000,873.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,9.000,10.000,8.000,6.000,6.000,8.000,11.000,10.000,10.000,15.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,-25.000,11.111,-20.000,-25.000,0.000,33.333,37.500,-9.091,0.000,50.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,2.000,3.400,3.400,2.800,2.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,70.000,0.000,-17.647,-28.571
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,"2,006.000","1,815.000","1,124.000","1,950.000","1,854.000","2,679.600","8,239.800","12,484.800","17,023.500"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,-9.521,-38.072,73.488,-4.923,44.531,207.501,51.518,36.354
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,—,—,—,1.000,2.000,3.000,4.000,5.000,6.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,—,—,—,100.000,50.000,33.333,25.000,20.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,6.000,7.000,7.000,6.000,5.000,6.000,6.000,7.000,5.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,94.440,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
