,,,,,,,,,,,
Teck Resources Ltd (TECK/B CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.450,5.730,5.720,5.820,6.460,6.880,6.330,6.190,—
    Growth (YoY),ESG_SCORE,—,—,5.138,-0.175,1.748,10.997,6.502,-7.994,-2.212,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,4.810,5.080,5.350,5.530,6.080,6.590,6.200,5.900,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,5.558,5.343,3.470,9.848,8.467,-5.931,-4.826,—
BESG Social Pillar Score,SOCIAL_SCORE,—,5.320,5.750,5.350,5.100,6.340,6.920,5.750,5.310,—
    Growth (YoY),SOCIAL_SCORE,—,—,8.108,-6.990,-4.682,24.235,9.143,-16.907,-7.536,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.740,6.850,6.760,7.110,7.260,7.320,7.150,7.630,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,1.648,-1.338,5.177,2.146,0.700,-2.315,6.842,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,65.597,72.800,76.290,78.543,78.543,77.608,75.566,76.823,74.570,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,1.038,10.980,4.795,2.954,0.000,-1.191,-2.631,1.664,-2.933,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,63.365,68.469,71.670,78.436,78.436,78.768,69.496,73.271,66.506,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,8.055,4.676,9.440,0.000,0.424,-11.771,5.432,-9.233,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,41.536,49.819,59.613,59.613,59.613,59.613,59.613,59.613,59.613,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-8.032,19.942,19.660,0.000,0.000,0.000,0.000,0.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,91.782,100.000,97.502,97.502,97.502,94.371,97.502,97.502,97.502,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,6.534,8.954,-2.498,0.000,0.000,-3.211,3.317,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,4.786,5.080,1.261,3.755,1.800,2.075,2.075,—,—,—
    Growth (YoY),NOX_EMISSIONS,12.612,6.143,-75.175,197.756,-52.064,15.278,0.000,—,—,—
VOC Emissions,VOC_EMISSIONS,0.212,0.725,0.030,0.042,0.089,0.106,0.093,—,—,—
    Growth (YoY),VOC_EMISSIONS,8.338,241.498,-95.903,41.414,111.905,19.101,-12.547,—,—,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,1.794,1.759,1.771,6.336,5.959,5.476,6.105,—,—,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,8.839,-1.957,0.716,257.663,-5.950,-8.105,11.481,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,0.073,0.071,0.087,0.071,0.070,—,0.063,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,-2.740,22.535,-18.391,-1.408,—,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,4.188,4.505,4.710,4.894,3.659,3.853,3.812,3.094,—,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-9.821,7.579,4.544,3.907,-25.235,5.302,-1.064,-18.835,—,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,"1,833.510","1,936.000","1,884.000",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,5.590,-2.686,—
GHG Scope 1,GHG_SCOPE_1,"2,723.000","2,469.000","2,817.000","2,954.000","2,869.000","2,946.000","2,725.000","2,949.000",763.000,863.000
    Growth (YoY),GHG_SCOPE_1,0.037,-9.328,14.095,4.863,-2.877,2.684,-7.502,8.220,-74.127,13.106
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,343.000,357.000,372.000,284.000,341.000,289.000,306.000,287.000,210.000,318.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-6.540,4.082,4.202,-23.656,20.070,-15.249,5.882,-6.209,-26.829,51.429
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,211.000,71.000,119.000,611.000
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,-66.351,67.606,413.445
GHG Scope 3,GHG_SCOPE_3,"74,000.000","76,000.000","79,053.000","156,876.000","76,000.000","73,000.000","68,893.398","78,443.000","2,489.000","3,400.000"
    Growth (YoY),GHG_SCOPE_3,-5.128,2.703,4.017,98.444,-51.554,-3.947,-5.625,13.861,-96.827,36.601
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"12,593.300","11,811.400","11,816.100","12,194.200","12,185.000","12,231.100","11,333.000","11,781.300","11,116.900","12,635.300"
    Growth (YoY),ENERGY_CONSUMPTION,-0.483,-6.209,0.040,3.200,-0.075,0.378,-7.343,3.956,-5.639,13.658
Renewable Energy Use,RENEW_ENERGY_USE,—,"3,051.110","3,266.670","3,255.280","3,265.000","3,191.940","3,451.280","3,714.370","3,138.870",—
    Growth (YoY),RENEW_ENERGY_USE,—,—,7.065,-0.349,0.299,-2.238,8.125,7.623,-15.494,—
Electricity Used,ELECTRICITY_USED,"3,899.170","3,813.890","4,069.720","4,020.280","4,034.170","3,877.220","3,921.590","4,422.160","3,891.080","4,275.280"
    Growth (YoY),ELECTRICITY_USED,-0.855,-2.187,6.708,-1.215,0.345,-3.891,1.144,12.764,-12.010,9.874
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,0.000,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,110.554,98.557,135.421,152.216,99.636,121.609,114.724,106.705,80.542,93.740
    Growth (YoY),COAL_USED,6.891,-10.852,37.404,12.402,-34.543,22.053,-5.662,-6.990,-24.519,16.386
Fuel Used - Natural Gas,NAT_GAS_USED,"196,227.000","195,009.000","209,569.000","209,629.000","211,525.000","237,298.000","208,373.000","229,014.000","210,914.000","226,100.000"
    Growth (YoY),NAT_GAS_USED,-3.667,-0.621,7.466,0.029,0.904,12.184,-12.189,9.906,-7.903,7.200
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,487.018,449.561,429.460,451.784,487.656,480.270,422.644,0.000,504.344,538.596
    Growth (YoY),OIL_DIESEL_USED,-0.027,-7.691,-4.471,5.198,7.940,-1.515,-11.999,—,—,6.791
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,65.089,62.630,53.956,62.080,65.583,57.873,57.973,58.618,59.547,83.535
    Growth (YoY),HAZARDOUS_WASTE,98.769,-3.778,-13.850,15.057,5.643,-11.756,0.173,1.113,1.585,40.284
Total Waste,TOTAL_WASTE,"912,529.000","822,117.000","842,114.000","918,127.000","927,123.000","980,115.000","798,134.000","786,083.000","755,196.000","767,202.000"
    Growth (YoY),TOTAL_WASTE,5.818,-9.908,2.432,9.026,0.980,5.716,-18.567,-1.510,-3.929,1.590
Waste Recycled,WASTE_RECYCLED,37.797,29.058,28.366,35.148,33.409,33.516,27.583,64.880,60.326,63.409
    Growth (YoY),WASTE_RECYCLED,-48.414,-23.121,-2.381,23.909,-4.948,0.320,-17.702,135.217,-7.019,5.111
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,20.054,16.476,11.443,12.927,17.548,18.615,21.679,53.455,115.721,66.817
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-12.619,-17.842,-30.547,12.969,35.747,6.080,16.460,146.575,116.483,-42.260
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"128,703.000","113,103.000","117,903.000","117,303.000","128,133.000","127,062.000","118,284.000","117,263.000","301,654.000","145,770.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,7.699,-12.121,4.244,-0.509,9.233,-0.836,-6.908,-0.863,157.246,-51.676
Total Water Discharged,TOTAL_WATER_DISCHARGED,"124,700.000","123,200.000","124,900.000","128,200.000","75,800.000","66,300.000","56,576.000","54,026.000","235,671.000","81,061.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,16.651,-1.203,1.380,2.642,-40.874,-12.533,-14.667,-4.507,336.218,-65.604
Water Consumption,WATER_CONSMPTN,—,"58,600.000","61,900.000","54,400.000","62,900.000","58,600.000","58,412.000","54,129.000","52,904.000","56,824.000"
    Growth (YoY),WATER_CONSMPTN,—,—,5.631,-12.116,15.625,-6.836,-0.321,-7.332,-2.263,7.410
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,No,No,No,No,No,No,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,20.000,16.700,11.840,13.206,21.545,19.283,19.053,24.000,25.000,33.000
    Growth (YoY),COMMUNITY_SPENDING,-9.091,-16.500,-29.102,11.537,63.146,-10.499,-1.193,25.964,4.167,32.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,6.000,7.000,8.000,10.000,20.000,19.000,20.000,29.000,29.000,25.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,50.000,16.667,14.286,25.000,100.000,-5.000,5.263,45.000,0.000,-13.793
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,13.290,14.000,15.000,17.000,18.000,19.590,20.000,21.000,24.000,24.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-5.071,5.342,7.143,13.333,5.882,8.833,2.093,5.000,14.286,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.271,0.043,0.149,0.066,0.000,0.000,0.000,0.000,0.000,0.000
    Growth (YoY),POLITICAL_DONATIONS,-13.016,-83.972,242.439,-55.375,—,—,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000
