,,,,,,,,,,,
Tokyo Gas Co Ltd (9531 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,3.760,3.770,3.820,5.240,5.230,5.300,5.360,5.580,5.950,—
    Growth (YoY),ESG_SCORE,—,0.266,1.326,37.173,-0.191,1.338,1.132,4.104,6.631,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,3.530,3.530,3.530,6.790,6.790,6.790,6.790,6.300,6.790,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.000,0.000,92.324,0.000,0.000,0.000,-7.153,7.704,—
BESG Social Pillar Score,SOCIAL_SCORE,3.140,3.140,3.140,3.140,3.140,3.140,3.140,3.140,3.140,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.520,4.550,4.710,4.830,4.820,5.000,5.190,6.480,7.030,—
    Growth (YoY),GOVERNANCE_SCORE,—,0.526,3.624,2.535,-0.205,3.807,3.801,24.747,8.518,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,44.151,44.493,45.297,49.804,50.277,52.952,56.453,60.889,60.899,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,11.509,0.775,1.809,9.949,0.949,5.322,6.611,7.858,0.017,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,45.424,45.424,46.270,59.801,61.220,66.083,62.912,62.912,56.629,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,14.897,0.000,1.862,29.243,2.374,7.943,-4.799,0.000,-9.986,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.455,13.483,15.054,15.054,15.054,18.229,29.414,29.414,29.807,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,44.056,8.252,11.659,0.000,0.000,21.084,61.360,0.000,1.336,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,74.443,74.443,74.443,74.443,74.443,74.443,76.942,90.217,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,5.639,0.000,0.000,0.000,0.000,0.000,3.356,17.254,6.540,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,0.272,0.302,0.367,0.402,0.379,0.414,—,—,—,—
    Growth (YoY),NOX_EMISSIONS,0.000,11.029,21.523,9.537,-5.721,9.235,—,—,—,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,"3,459.000","3,683.700","3,001.000",—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,6.496,-18.533,—,—
