,,,,,,,,,,,
TotalEnergies SE (TTE FP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.270,5.550,6.120,6.160,6.560,6.330,6.280,6.840,7.020
    Growth (YoY),ESG_SCORE,—,—,5.313,10.270,0.654,6.494,-3.506,-0.790,8.917,2.632
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,5.310,5.430,6.400,6.500,6.950,6.690,6.780,7.490,7.320
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,2.269,17.903,1.572,6.866,-3.699,1.359,10.461,-2.298
BESG Social Pillar Score,SOCIAL_SCORE,—,4.490,4.770,5.310,5.250,5.440,5.300,5.440,6.020,6.200
    Growth (YoY),SOCIAL_SCORE,—,—,6.330,11.251,-1.173,3.753,-2.672,2.574,10.814,2.951
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.040,6.580,6.480,6.530,7.090,6.810,6.320,6.610,7.370
    Growth (YoY),GOVERNANCE_SCORE,—,—,8.856,-1.426,0.743,8.487,-3.841,-7.238,4.586,11.440
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,54.673,56.785,60.759,66.231,67.760,69.440,70.627,71.411,75.677,76.803
    Growth (YoY),ESG_DISCLOSURE_SCORE,-0.494,3.864,6.997,9.007,2.309,2.479,1.709,1.111,5.973,1.489
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,30.837,36.152,48.082,53.579,62.338,63.757,63.757,65.479,75.113,78.496
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-9.885,17.238,32.999,11.432,16.347,2.277,0.000,2.700,14.714,4.503
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,41.264,41.717,41.717,46.372,42.201,45.828,49.395,50.030,53.204,53.204
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,6.641,1.099,0.000,11.159,-8.996,8.596,7.784,1.285,6.344,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,91.782,92.354,92.354,98.615,98.615,98.615,98.615,98.615,98.615,98.615
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.623,0.000,6.780,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,93.000,82.000,76.000,69.000,66.000,72.000,64.000,59.000,60.000,60.000
    Growth (YoY),NOX_EMISSIONS,2.198,-11.828,-7.317,-9.211,-4.348,9.091,-11.111,-7.813,1.695,0.000
VOC Emissions,VOC_EMISSIONS,80.000,—,—,—,81.000,83.000,69.000,58.000,48.000,43.000
    Growth (YoY),VOC_EMISSIONS,-28.571,—,—,—,—,2.469,-16.867,-15.942,-17.241,-10.417
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,3.900,4.100
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,—,5.128
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,65.000,59.000,52.000,47.000,48.000,39.000,34.000,16.000,13.000,12.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-13.333,-9.231,-11.864,-9.615,2.128,-18.750,-12.821,-52.941,-18.750,-7.692
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
