,,,,,,,,,,,
Tourmaline Oil Corp (TOU CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.330,3.970,4.570,4.720,4.960,4.740,4.560,4.940,—
    Growth (YoY),ESG_SCORE,—,—,19.219,15.113,3.282,5.085,-4.435,-3.797,8.333,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.140,2.870,4.050,4.020,4.370,4.480,4.040,4.470,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,34.226,41.079,-0.787,8.648,2.595,-9.882,10.622,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.680,3.500,3.660,4.240,4.480,3.660,3.940,4.430,—
    Growth (YoY),SOCIAL_SCORE,—,—,30.649,4.596,15.869,5.698,-18.265,7.685,12.339,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.590,6.710,6.570,6.520,6.560,6.400,6.180,6.320,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,1.816,-2.053,-0.762,0.575,-2.480,-3.350,2.214,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,35.842,41.082,44.533,50.749,51.816,54.331,56.071,66.935,66.935,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,27.386,14.623,8.399,13.960,2.101,4.853,3.203,19.376,0.000,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,10.329,13.712,14.890,33.555,33.555,34.823,40.562,54.938,54.938,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,"3,009.090",32.749,8.590,125.355,0.000,3.780,16.479,35.443,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,19.015,29.414,33.585,33.585,36.790,36.790,36.276,48.247,48.247,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,127.076,54.690,14.183,0.000,9.541,0.000,-1.397,33.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,78.025,79.982,84.979,84.979,84.979,91.240,91.240,97.502,97.502,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,3.308,2.508,6.248,0.000,0.000,7.368,0.000,6.862,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,3.644,5.686,6.012,7.984,7.229,6.191,15.872,15.499,20.033,17.440
    Growth (YoY),NOX_EMISSIONS,—,56.037,5.733,32.801,-9.456,-14.359,156.372,-2.350,29.254,-12.944
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,3.860,4.366,4.263,3.843
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,13.109,-2.359,-9.852
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,0.085,0.137,0.170,0.196
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,61.176,24.088,15.294
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.312,0.538,0.364,0.712,0.846,0.982,0.909,1.425,1.926,2.559
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,72.436,-32.342,95.604,18.820,16.076,-7.434,56.766,35.158,32.866
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,721.263,927.234,"1,054.600","1,381.730","1,790.020","2,002.810","2,067.200","2,598.880","2,933.540","3,084.650"
    Growth (YoY),GHG_SCOPE_1,—,28.557,13.736,31.019,29.549,11.888,3.215,25.720,12.877,5.151
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,54.690,70.231,137.733,183.180,58.568,81.849,82.317,86.122,79.230,83.001
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,28.417,96.114,32.996,-68.027,39.750,0.572,4.622,-8.003,4.760
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,183.180,58.568,81.849,82.317,86.122,79.230,83.001
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,-68.027,39.750,0.572,4.622,-8.003,4.760
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.139,0.132,0.132,0.130,0.136,0.139,0.133,0.122,0.121,0.167
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,-5.292,0.000,-1.668,4.549,2.166,-3.704,-8.550,-0.820,38.017
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,723.706,497.424,835.415,712.334,543.329,507.594,979.610,"1,047.380","1,195.840"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,-31.267,67.948,-14.733,-23.726,-6.577,92.991,6.918,14.174
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,145.000,112.000,96.000,96.000,123.800,123.000,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,-22.759,-14.286,0.000,28.958,-0.646,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,0.882,0.557,2.496,1.087,1.086,1.705,1.295,1.781
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,-36.816,347.984,-56.470,-0.034,56.976,-24.073,37.612
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,32.000,33.000,34.000,35.000,37.000,37.000,36.000,38.000,39.000,37.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,3.125,3.030,2.941,5.714,0.000,-2.703,5.556,2.632,-5.128
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.240,0.080,0.080,0.210,0.120,0.140,0.160,0.060,0.100,0.110
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,-66.667,0.000,162.500,-42.857,16.667,14.286,-62.500,66.667,10.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.880,0.530,0.530,0.890,1.020,0.940,0.830,0.610,0.780,0.480
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,-39.773,0.000,67.925,14.607,-7.843,-11.702,-26.506,27.869,-38.462
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,174.000,186.000,194.000,210.000,237.000,243.000,296.000,318.000,360.000,389.000
Number of Contractors,NUMBER_OF_CONTRACTORS,110.000,141.000,169.000,219.000,227.000,241.000,308.000,370.000,398.000,636.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,0.000,0.000,—,—,—,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,0.028,0.057,0.095,0.264,0.475,0.212,0.472,0.736,0.741
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,103.414,67.098,178.921,79.956,-55.433,122.695,56.103,0.669
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,16.667,14.286,12.500,11.111,10.000,9.091,8.333,7.692,7.143,6.667
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,11.000,11.000,11.000,10.000,9.000,10.000,10.000,10.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,7.000,7.000,8.000,9.000,9.000,9.000,10.000,10.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,9.000,9.000,9.000,8.000,7.000,8.000,8.000,8.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,5.000,5.000,5.000,6.000,5.000,5.000,5.000,5.000,5.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
