,,,,,,,,,,,
Transocean Ltd (RIG US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.720,3.210,2.970,3.320,2.520,2.730,3.350,3.340,—,—
    Growth (YoY),ESG_SCORE,—,18.015,-7.477,11.785,-24.096,8.333,22.711,-0.299,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,1.240,1.360,0.810,0.740,0.760,0.820,1.190,1.180,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,9.691,-40.937,-7.607,2.436,7.764,44.465,-0.860,—,—
BESG Social Pillar Score,SOCIAL_SCORE,1.810,3.220,3.370,5.080,2.130,2.510,3.180,3.190,—,—
    Growth (YoY),SOCIAL_SCORE,—,78.112,4.749,50.446,-58.046,17.692,26.869,0.250,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.590,6.480,6.630,6.320,6.350,6.630,7.640,7.610,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,-1.559,2.274,-4.738,0.503,4.406,15.332,-0.480,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,42.471,49.160,45.800,51.222,51.343,51.715,58.435,58.435,43.487,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,23.740,15.751,-6.834,11.838,0.236,0.725,12.994,0.000,-25.581,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,15.615,18.816,12.927,14.648,19.209,20.477,37.421,37.421,17.970,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,"1,260.526",20.503,-31.300,13.318,31.134,6.604,82.743,0.000,-51.977,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,26.663,43.561,39.359,53.930,47.219,47.068,50.302,50.302,24.849,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,43.182,63.379,-9.646,37.020,-12.444,-0.320,6.872,0.000,-50.601,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,84.979,84.979,84.979,84.979,87.477,87.477,87.477,87.477,87.477,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,2.357,0.000,0.000,0.000,2.940,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,25.000,16.950,17.590,25.830,20.779,19.573,16.178,16.965,—,—
    Growth (YoY),NOX_EMISSIONS,—,-32.200,3.776,46.845,-19.555,-5.804,-17.345,4.865,—,—
VOC Emissions,VOC_EMISSIONS,—,0.570,0.590,0.870,0.700,0.659,0.545,0.571,—,—
    Growth (YoY),VOC_EMISSIONS,—,—,3.509,47.458,-19.540,-5.857,-17.299,4.771,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,1.700,1.140,1.180,1.740,1.399,1.318,1.089,1.142,—,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-32.941,3.509,47.458,-19.598,-5.790,-17.375,4.867,—,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
CO2 Scope 1,CO2_SCOPE_1,"1,337.000",913.170,947.350,"1,391.580","1,119.410","1,054.460",871.516,913.954,—,—
    Growth (YoY),CO2_SCOPE_1,—,-31.700,3.743,46.892,-19.558,-5.802,-17.350,4.869,—,—
GHG Scope 1,GHG_SCOPE_1,"1,367.000",931.000,966.000,"1,419.000","1,143.170","1,076.410",888.842,931.117,—,—
    Growth (YoY),GHG_SCOPE_1,—,-31.895,3.759,46.894,-19.438,-5.840,-17.425,4.756,—,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,3.172,3.281,2.288,2.072,—,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,3.436,-30.265,-9.441,—,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,32.966,22.323,15.316,24.215,—,—
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,-32.285,-31.389,58.103,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,"3,384.000","3,572.000",—,—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,—,5.556,—,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,8.645,8.109,5.946,6.670,—,—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,-6.200,-26.674,12.176,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,504.600,405.788,394.430,315.946,331.309,—,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,-19.582,-2.799,-19.898,4.863,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,6.730,4.120,—,—,—,—,—,—,—,—
    Growth (YoY),HAZARDOUS_WASTE,—,-38.782,—,—,—,—,—,—,—,—
Total Waste,TOTAL_WASTE,13.990,11.770,—,—,—,—,—,—,—,—
    Growth (YoY),TOTAL_WASTE,—,-15.868,—,—,—,—,—,—,—,—
Waste Recycled,WASTE_RECYCLED,5.050,4.430,—,—,—,—,—,—,—,—
    Growth (YoY),WASTE_RECYCLED,—,-12.277,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,1.250,1.500,—,—,—,—,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,20.000,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,Yes,No,No,No,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,7.000,—,15.600,15.000,17.000,18.000,19.000,—,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,-3.846,13.333,5.882,5.556,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,7.000,—,6.200,7.000,6.000,6.000,7.000,20.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,12.903,-14.286,0.000,16.667,185.714,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,—,0.000,0.000,0.000,0.000,0.000,—,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,—,0.000,0.000,0.000,0.000,0.000,—,—
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,—,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.000,—,0.000,0.020,0.000,0.020,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,0.000,—,0.000,0.000,0.000,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.130,0.040,0.020,0.000,0.040,0.000,0.020,0.000,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,-69.231,-50.000,—,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,0.260,0.210,0.230,0.150
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,-19.231,9.524,-34.783
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,0.210,0.250,—,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,19.048,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.420,0.340,0.180,0.370,0.260,0.240,0.470,0.460,—,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-22.222,-19.048,-47.059,105.556,-29.730,-7.692,95.833,-2.128,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"8,600.000","4,925.000","4,500.000","5,900.000","5,900.000","4,820.000","5,000.000","5,040.000","5,800.000","5,800.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,500.000,400.000,400.000,800.000,700.000,530.000,530.000,300.000,370.000,330.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,30.000,28.000,26.000,34.000,47.000,43.000,42.000,43.000,42.000,43.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,0.000,-6.667,-7.143,30.769,38.235,-8.511,-2.326,2.381,-2.326,2.381
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,21.000,29.000,—,—,—,—,—,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,38.095,—,—,—,—,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,"53,000.000","130,216.000","139,504.000",—,—,—,—,—,—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,145.691,7.133,—,—,—,—,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
