,,,,,,,,,,,
Trecora LLC (TREC US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
12 Months Ending,,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,—,—,1.670
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,—,0.090
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,—,—,0.880
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,—,7.330
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,27.744,26.949,27.744,27.744,27.935,31.858,32.321,33.377,32.522,25.812
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,-2.864,2.949,0.000,0.689,14.044,1.452,3.268,-2.562,-20.631
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,0.000,0.332,0.332,0.332,0.332,0.332
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,—,—,—,0.000,0.000,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,0.000,8.948,8.948,12.122,9.553,11.034
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,—,—,—,—,0.000,35.473,-21.197,15.506
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,80.644,83.022,83.022,83.594,86.093,87.477,87.477,87.477,65.924
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,-2.864,2.949,0.000,0.689,2.989,1.608,0.000,0.000,-24.639
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
