,,,,,,,,,,,
Valero Energy Corp (VLO US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.610,2.750,3.270,3.210,4.320,4.730,4.620,5.050,—
    Growth (YoY),ESG_SCORE,—,—,5.364,18.909,-1.835,34.579,9.491,-2.326,9.307,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.870,0.870,1.480,1.500,2.020,2.730,2.790,3.460,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.000,69.794,1.588,34.984,34.904,1.957,24.169,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.220,2.330,2.750,2.610,5.780,5.840,5.560,5.670,—
    Growth (YoY),SOCIAL_SCORE,—,—,5.103,18.157,-5.157,121.305,1.028,-4.745,1.907,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.360,7.970,8.120,7.910,7.750,7.660,7.320,7.510,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,8.339,1.846,-2.624,-2.008,-1.109,-4.450,2.525,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,33.518,37.863,37.602,42.239,44.120,49.331,55.005,63.193,65.748,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,12.965,-0.691,12.333,4.453,11.810,11.501,14.887,4.043,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,3.262,4.983,4.983,24.102,24.102,23.014,23.256,47.055,48.475,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,52.778,0.000,383.636,0.000,-4.511,1.050,102.338,3.017,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,14.087,23.458,22.672,17.473,20.617,31.076,47.884,48.670,48.640,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,66.524,-3.351,-22.933,17.993,50.733,54.086,1.641,-0.062,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.979,84.979,84.979,87.477,93.739,93.739,93.739,100.000,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.357,0.000,0.000,2.940,7.158,0.000,0.000,6.680,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,9.300,9.000,8.700,7.900,8.400,9.200,9.100
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,-3.226,-3.333,-9.195,6.329,9.524,-1.087
VOC Emissions,VOC_EMISSIONS,—,—,—,9.500,10.300,7.700,7.500,7.500,6.600,7.000
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,8.421,-25.243,-2.597,0.000,-12.000,6.061
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,2.400,2.300,2.200,2.200,2.600,2.400,2.200
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,-4.167,-4.348,0.000,18.182,-7.692,-8.333
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,8.800,7.700,8.800,7.600,7.600,7.800,7.400
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,-12.500,14.286,-13.636,0.000,2.632,-5.128
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,"23,470.000","24,621.500",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,4.906,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,"25,200.000","25,350.000","24,770.000","22,990.000","23,700.000","26,880.000","27,200.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,0.595,-2.288,-7.186,3.088,13.418,1.190
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,"5,448.000","5,700.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,4.626
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,"5,200.000","4,970.000","4,680.000","4,520.000","4,880.000","5,318.000","5,620.000"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,-4.423,-5.835,-3.419,7.965,8.975,5.679
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.176,0.174,—,—,1.950,1.950,1.854
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,-1.250,—,—,—,0.000,-4.887
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,"1,092.790",164.113,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,-84.982,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,"1,490.000","1,335.270",—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,-10.385,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,"1,092.790",164.113,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,-84.982,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,0.121,0.115,0.112,0.112,0.109,—,—,—,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,-4.878,-2.564,0.000,-2.632,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,60.000,50.400,40.100,30.300
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,-16.000,-20.437,-24.439
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,"181,200.000","165,800.000","164,100.000","164,600.000","175,000.000","182,000.000","187,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,-8.499,-1.025,0.305,6.318,4.000,2.747
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,16.300,13.500,—,—,—,32.600,44.000,17.000,19.600
    Growth (YoY),COMMUNITY_SPENDING,—,—,-17.178,—,—,—,—,34.969,-61.364,15.294
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,13.330,14.280,14.280,16.660
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,7.127,0.000,16.667
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,17.000,17.000,18.090,18.960,19.730,19.770
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,0.000,6.412,4.809,4.061,0.203
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,19.000,19.000,19.000,19.000,19.000,19.110
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,0.000,0.000,0.000,0.000,0.579
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,23.000,24.000,25.000,26.450
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,—,4.348,4.167,5.800
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,35.000,37.000,37.000,38.420
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,5.714,0.000,3.838
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,15.000,14.000
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,—,-6.667
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,0.000,0.000,1.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,0.000,0.000,1.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.120,0.060,—,—,—,—,—,—,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,0.000,-50.000,—,—,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.420,0.400,0.350,0.280,0.400,0.250,0.500,0.210,0.320,0.390
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-44.000,-4.762,-12.500,-20.000,42.857,-37.500,100.000,-58.000,52.381,21.875
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.460,0.370,0.300,0.360,0.320,0.390,0.150,0.260,0.150,0.240
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,31.429,-19.565,-18.919,20.000,-11.111,21.875,-61.538,73.333,-42.308,60.000
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.430,0.380,0.320,0.320,0.350,0.330,0.230,0.210,0.220,0.310
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-10.417,-11.628,-15.789,0.000,9.375,-5.714,-30.303,-8.696,4.762,40.909
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"10,065.000","10,103.000","10,000.000","10,015.000","10,261.000","10,222.000","10,000.000","9,809.000","9,743.000","9,908.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,"4,000.000","10,000.000","10,000.000","10,000.000"
