,,,,,,,,,,,
Vermilion Energy Inc (VET CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.800,5.920,5.840,6.010,6.660,6.580,6.920,6.870,—
    Growth (YoY),ESG_SCORE,—,—,2.069,-1.351,2.911,10.815,-1.201,5.167,-0.723,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,5.250,5.680,5.730,5.530,6.610,6.950,7.180,6.910,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,8.340,0.809,-3.561,19.585,5.112,3.357,-3.806,—
BESG Social Pillar Score,SOCIAL_SCORE,—,5.410,5.190,4.690,5.250,5.330,5.390,5.210,5.680,—
    Growth (YoY),SOCIAL_SCORE,—,—,-4.010,-9.718,12.019,1.402,1.169,-3.219,8.979,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.200,7.130,7.320,7.710,8.210,7.240,8.360,8.080,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.017,2.657,5.322,6.524,-11.780,15.343,-3.242,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,56.242,72.890,74.278,74.278,74.278,78.865,79.268,80.394,80.968,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,6.152,29.601,1.904,0.000,0.000,6.176,0.510,1.421,0.713,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,32.166,64.391,64.391,64.391,64.391,78.164,79.915,83.298,85.020,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,13.057,100.188,0.000,0.000,0.000,21.388,2.241,4.233,2.067,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,50.937,54.172,58.343,58.343,58.343,58.343,57.799,57.799,57.799,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,13.544,6.350,7.701,0.000,0.000,0.000,-0.933,0.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,85.521,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,16.931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,2.136,1.190,0.977,1.579,1.417
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,-44.288,-17.899,61.617,-10.260
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,0.068,0.145,0.621,0.938,2.417
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,113.235,328.276,51.047,157.676
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,0.125,0.230,0.023,0.121,0.079
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,84.000,-90.000,426.087,-34.711
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,2.847,0.544,0.675,0.675,0.736,2.488,2.681,2.219,1.871,1.486
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-80.892,24.081,0.000,9.037,238.043,7.757,-17.232,-15.683,-20.577
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CO2 Scope 1,CO2_SCOPE_1,442.839,348.002,283.618,278.143,456.817,555.687,531.078,466.472,416.262,379.254
    Growth (YoY),CO2_SCOPE_1,70.422,-21.416,-18.501,-1.930,64.238,21.643,-4.429,-12.165,-10.764,-8.891
GHG Scope 1,GHG_SCOPE_1,511.213,441.193,355.746,344.186,742.175,858.823,793.203,648.337,616.184,559.325
    Growth (YoY),GHG_SCOPE_1,64.756,-13.697,-19.367,-3.250,115.632,15.717,-7.641,-18.263,-4.959,-9.228
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,73.410,96.600,69.318,60.904,173.847,288.345,247.144,214.778,218.839,148.484
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-7.438,31.590,-28.242,-12.138,185.444,65.861,-14.289,-13.096,1.891,-32.149
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,10.625,6.505,10.817,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,-38.773,66.274,—
GHG Scope 3,GHG_SCOPE_3,"2,997.540","7,858.300","7,697.490","8,393.390","12,408.300","14,188.300","13,226.500","11,632.000","11,683.500","11,350.400"
    Growth (YoY),GHG_SCOPE_3,"30,301.015",162.158,-2.046,9.041,47.834,14.345,-6.779,-12.055,0.443,-2.851
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"1,152.080","1,189.390","1,068.120","1,128.150","1,614.830","2,197.220","1,924.820","1,684.570","1,730.990","1,600.080"
    Growth (YoY),ENERGY_CONSUMPTION,-15.460,3.238,-10.196,5.620,43.140,36.065,-12.397,-12.482,2.756,-7.563
Renewable Energy Use,RENEW_ENERGY_USE,31.380,31.380,32.800,70.080,77.088,77.095,59.330,58.004,59.197,42.641
    Growth (YoY),RENEW_ENERGY_USE,0.000,0.000,4.525,113.659,10.000,0.009,-23.043,-2.235,2.057,-27.968
Electricity Used,ELECTRICITY_USED,284.008,332.940,238.359,231.622,389.728,577.124,471.585,291.534,452.745,346.140
    Growth (YoY),ELECTRICITY_USED,5.085,17.229,-28.408,-2.826,68.260,48.084,-18.287,-38.180,55.297,-23.546
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.000,0.000,0.000,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,0.000,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,"130,316.000","123,016.000","119,100.000","113,128.000",—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,-5.602,-3.183,-5.014,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,16.980,13.325,—,0.000,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,-21.523,—,—,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,0.061,0.056,0.042,0.047,0.047,0.044,0.044,0.047,0.047
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,-9.090,-25.000,13.332,0.000,-5.883,0.000,6.251,0.000
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,0.000,0.000,0.000,0.069,0.090,17.637,19.973,16.224,20.948,30.057
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,30.435,"19,496.666",13.245,-18.770,29.117,43.484
Total Waste,TOTAL_WASTE,113.881,82.143,58.726,154.845,195.404,136.120,94.079,154.273,142.155,228.621
    Growth (YoY),TOTAL_WASTE,-0.303,-27.869,-28.508,163.674,26.193,-30.339,-30.885,63.982,-7.855,60.825
Waste Recycled,WASTE_RECYCLED,0.107,2.933,16.361,53.401,50.008,6.239,3.502,1.895,5.106,8.391
    Growth (YoY),WASTE_RECYCLED,693.769,"2,641.121",457.825,226.392,-6.354,-87.524,-43.869,-45.888,169.446,64.336
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,34.908,20.137,10.284,25.291,41.397,34.447,29.233,35.289,16.318,4.345
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,5.735,-42.314,-48.930,145.926,63.683,-16.789,-15.136,20.716,-53.759,-73.373
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"1,091.590",878.157,758.561,803.688,"1,026.260","6,904.000","8,139.000","9,538.000","9,820.000","9,821.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,33.198,-19.552,-13.619,5.949,27.694,572.734,17.888,17.189,2.957,0.010
Total Water Discharged,TOTAL_WATER_DISCHARGED,"7,776.120","8,212.280","8,372.120","8,268.670","8,896.410","6,484.000","8,248.000","9,168.000","9,816.000","9,573.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,1.445,5.609,1.946,-1.236,7.592,-27.117,27.205,11.154,7.068,-2.476
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,0.000,0.000,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,1.107,1.048,1.392,1.470,1.587,"1,837.000","1,447.000","1,162.000","2,046.000","2,381.000"
    Growth (YoY),COMMUNITY_SPENDING,10.653,-5.375,32.880,5.598,7.960,"115,631.116",-21.230,-19.696,76.076,16.373
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,25.000,25.000,25.000,20.000,—,—,—,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,0.000,0.000,-20.000,—,—,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,18.000,16.000,19.000,16.000,17.000,17.000,15.000,17.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,-11.111,18.750,-15.789,6.250,0.000,-11.765,13.333
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,31.770,31.530,30.150,28.000,28.000,28.000,27.000,27.000,27.000,27.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-6.696,-0.755,-4.377,-7.131,0.000,0.000,-3.571,0.000,0.000,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
