,,,,,,,,
Viva Energy Group Ltd (VEA AU) - Overview,,,,,,,,
,,,,,,,,
In Millions of AUD except Per Share,,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,4.060,4.920,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,21.182,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,3.900,4.810,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,23.288,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,2.670,3.890,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,45.655,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,5.990,6.250,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,4.342,—
,,,,,,,,
ESG Disclosure Scores,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,25.209,35.721,43.557,49.542,52.027,53.637,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,41.700,21.937,13.741,5.015,3.094,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,10.903,7.853,21.383,36.756,39.595,41.861,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,-27.978,172.308,71.893,7.724,5.721,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,26.874,34.250,31.681,34.281,38.906,41.475,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,27.447,-7.502,8.206,13.492,6.605,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,37.809,64.961,77.483,77.483,77.483,77.483,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,71.815,19.277,0.000,0.000,0.000,—
,,,,,,,,
Environmental,,,,,,,,
Air Quality,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,0.304,1.586,1.554,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,421.128,-2.064,—
VOC Emissions,VOC_EMISSIONS,—,—,—,0.196,0.558,0.705,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,184.710,26.353,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,3.680,2.276,1.886,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,-38.168,-17.128,—
,,,,,,,,
Climate Change,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,919.297,"1,095.450",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,19.162,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,"1,000.450",932.077,"1,095.450",997.508
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,-6.834,17.528,-8.941
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,282.152,269.648,283.035,301.675
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,-4.432,4.965,6.586
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,"35,572.500","37,911.801","45,672.398"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,6.576,20.470
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,5.340,—
,,,,,,,,
Energy,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"70,255.898","71,554.898","75,950.602","70,292.602","68,615.703","74,497.703",—
    Growth (YoY),ENERGY_CONSUMPTION,—,1.849,6.143,-7.450,-2.386,8.572,—
,,,,,,,,
Materials & Waste,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,566.885,523.703,586.665,—
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,-7.617,12.022,—
Total Waste,TOTAL_WASTE,—,—,—,567.497,524.333,587.956,—
    Growth (YoY),TOTAL_WASTE,—,—,—,—,-7.606,12.134,—
