,,,,,,,,,,,
Weatherford International PLC (WFRD US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.660,3.340,3.550,3.150,3.320,3.110,3.500,3.050,—,—
    Growth (YoY),ESG_SCORE,—,25.564,6.287,-11.268,5.397,-6.325,12.540,-12.857,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,1.780,2.650,2.300,1.630,1.990,1.410,2.100,1.680,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,48.437,-12.895,-29.471,22.373,-28.931,48.375,-19.966,—,—
BESG Social Pillar Score,SOCIAL_SCORE,1.240,1.770,2.230,2.150,2.390,2.080,2.290,2.190,—,—
    Growth (YoY),SOCIAL_SCORE,—,42.845,26.243,-3.396,10.916,-13.091,10.207,-4.317,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.070,6.470,7.350,7.160,6.750,7.580,7.500,6.530,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,6.643,13.604,-2.649,-5.708,12.335,-1.130,-12.917,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,51.987,54.441,53.979,49.210,51.041,48.607,45.187,43.577,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,39.299,4.721,-0.850,-8.833,3.720,-4.769,-7.036,-3.562,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,50.317,51.404,48.596,33.253,39.142,31.833,27.212,28.511,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,250.000,2.161,-5.464,-31.572,17.711,-18.673,-14.516,4.772,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,18.017,18.017,19.438,20.466,20.073,20.073,20.707,17.080,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,25.210,0.000,7.886,5.288,-1.920,0.000,3.163,-17.518,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,87.477,93.739,93.739,93.739,93.739,93.739,87.477,84.979,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,5.366,7.158,0.000,0.000,0.000,0.000,-6.680,-2.856,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
CO2 Scope 1,CO2_SCOPE_1,329.347,195.670,—,132.293,—,—,—,104.725,—,—
    Growth (YoY),CO2_SCOPE_1,—,-40.588,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,330.276,196.011,102.493,132.962,158.112,77.401,61.150,105.268,116.153,—
    Growth (YoY),GHG_SCOPE_1,—,-40.652,-47.711,29.728,18.915,-51.047,-20.996,72.147,10.340,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,215.481,221.551,227.379,190.906,77.306,60.088,43.036,53.888,63.050,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,2.817,2.631,-16.041,-59.506,-22.273,-28.378,25.216,17.002,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,215.481,—,—,—,—,—,—,—,—,—
GHG Scope 3,GHG_SCOPE_3,112.015,159.557,133.686,145.787,170.630,57.480,—,608.608,955.451,—
    Growth (YoY),GHG_SCOPE_3,—,42.443,-16.214,9.052,17.041,-66.313,—,—,56.990,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,2.000,2.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,-50.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,No,No,No,No,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"1,774.810","1,416.670",925.430,942.437,912.558,683.967,387.739,"417,621.000",664.020,—
    Growth (YoY),ENERGY_CONSUMPTION,—,-20.179,-34.676,1.838,-3.170,-25.049,-43.310,"107,606.727",-99.841,—
Renewable Energy Use,RENEW_ENERGY_USE,0.000,0.000,0.000,2.703,32.095,191.470,—,—,—,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,"1,087.560",496.573,—,—,—,—
Electricity Used,ELECTRICITY_USED,477.611,366.275,384.763,341.927,308.256,211.606,98.975,"133,521.000",—,—
    Growth (YoY),ELECTRICITY_USED,—,-23.311,5.048,-11.133,-9.847,-31.354,-53.227,"134,804.441",—,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,0.000,0.000,—,—,—,—,—,—,—,—
Fuel Used - Coal/Lignite,COAL_USED,0.025,—,—,—,—,—,—,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"21,618.500","53,014.801","24,802.100","23,272.400","17,322.600","15,773.700",—,—,—,—
    Growth (YoY),NAT_GAS_USED,—,145.229,-53.217,-6.168,-25.566,-8.941,—,—,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,109.790,50.950,27.452,30.969,49.377,28.820,—,—,—,—
    Growth (YoY),OIL_DIESEL_USED,—,-53.593,-46.120,12.812,59.440,-41.633,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,111.000,162.000,395.000,—,10.125,—,—,—,4.059,—
    Growth (YoY),HAZARDOUS_WASTE,—,45.946,143.827,—,—,—,—,—,—,—
Total Waste,TOTAL_WASTE,572.000,"1,076.000",657.000,—,59.435,—,63.085,—,37.270,—
    Growth (YoY),TOTAL_WASTE,—,88.112,-38.941,—,—,—,—,—,—,—
Waste Recycled,WASTE_RECYCLED,108.000,784.000,156.000,—,—,—,—,—,10.160,—
    Growth (YoY),WASTE_RECYCLED,—,625.926,-80.102,—,—,—,—,—,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,168.000,90.000,130.000,—,—,—,—,—,—,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,-46.429,44.444,—,—,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"1,450.000",910.000,860.000,—,675.000,—,—,—,489.000,—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-37.241,-5.495,—,—,—,—,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,—,"500,000.000"
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,Yes,Yes,No,No,No,No,No,n/a
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.140,0.070,0.080,0.060,0.050,0.080,0.030,—,0.058,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,-50.000,14.286,-25.000,-16.667,60.000,-62.500,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.560,0.350,0.370,0.320,0.280,0.200,0.192,—,0.220,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,-37.500,5.714,-13.514,-12.500,-28.571,-4.000,—,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,n/a
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"39,500.000","30,000.000","29,200.000","26,500.000","24,000.000","17,200.000","17,000.000","17,700.000","18,500.000","19,000.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,11.000,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,17.000,17.000,16.000,17.000,17.000,17.000,19.000,13.000,17.000,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,6.250,0.000,-5.882,6.250,0.000,0.000,11.765,-31.579,30.769,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,"529,000.000",—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,No,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,50.000,33.333,25.000,20.000,16.667,14.286,12.500,11.111,10.000,9.091
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,5.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,5.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,9.000,9.000,9.000,8.000,7.000,13.000,10.000,10.000,9.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,93.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,24.000,-19.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
