,,,,,,,,,,,
Western Midstream Partners LP (WES US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,1.030,0.970,1.110,2.200,2.710,4.550,4.240,4.320,—
    Growth (YoY),ESG_SCORE,—,—,-5.825,14.433,98.198,23.182,67.897,-6.813,1.887,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.000,0.000,0.000,1.870,2.730,5.220,4.250,4.100,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,46.151,91.314,-18.461,-3.551,—
BESG Social Pillar Score,SOCIAL_SCORE,—,0.000,0.000,0.000,0.000,0.000,1.910,1.910,1.910,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,0.000,0.000,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.190,3.900,4.580,4.970,5.430,5.800,6.150,6.660,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-6.905,17.341,8.555,9.264,6.739,6.184,8.157,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,19.405,22.845,22.845,22.845,33.910,39.855,47.118,48.516,53.023,53.023
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,17.729,0.000,0.000,48.437,17.532,18.223,2.968,9.289,0.000
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.332,0.332,0.332,14.678,22.078,39.716,41.136,41.136,41.136
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,0.000,0.000,"4,318.181",50.412,79.891,3.574,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,0.000,10.006,10.006,10.006,28.900,39.359,48.549,48.549,48.549,48.549
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,0.000,0.000,188.822,36.192,23.349,0.000,0.000,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,58.067,58.067,58.067,58.067,58.067,58.067,53.070,55.840,69.326,69.326
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,0.000,0.000,-8.605,5.218,24.151,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,1.588,1.497,1.479,1.270,1.188,0.862
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,-5.714,-1.212,-14.110,-6.429,-27.481
VOC Emissions,VOC_EMISSIONS,—,—,—,—,0.889,0.807,0.798,0.617,0.798,0.916
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,-9.184,-1.124,-22.727,29.412,14.773
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,—,—,0.934,0.807,0.735,0.740,0.807,0.726
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,-13.592,-8.989,0.705,9.107,-10.112
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,0.054,0.054,0.054,0.054,0.036,0.073
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,0.000,0.000,0.000,-33.334,100.003
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,0.100,0.145,0.163,0.118,0.145,0.163
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,45.454,12.500,-27.778,23.076,12.500
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,"3,030.000","3,140.000","3,670.000"
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,3.630,16.879
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,"3,530.000","3,380.000","3,940.000","4,080.000","4,691.900"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,-4.249,16.568,3.553,14.998
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,890.000,"1,080.000",950.000,970.000,"1,030.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,21.348,-12.037,2.105,6.186
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,890.000,"1,080.000",945.348,950.000,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,21.348,-12.468,0.492,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,2.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,0.052,0.052,0.070,0.070,0.070
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,0.000,34.615,0.000,0.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,"2,090.000","2,540.000","2,170.000","2,160.000","2,340.000"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,21.531,-14.567,-0.461,8.333
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,33.000,33.000,33.000,33.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,0.000,0.000,0.000
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,17.000,18.000,19.000,19.000,19.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,5.882,5.556,0.000,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,17.000,18.000,18.000,19.000,18.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,5.882,0.000,5.556,-5.263
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,14.000,14.000,16.000,17.000
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,—,0.000,14.286,6.250
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,25.000,27.000,30.000,30.000,31.082
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,8.000,11.111,0.000,3.607
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,0.000,0.000,1.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,0.000,0.000,1.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,0.090,0.170,0.180,0.090,0.250,0.370
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,88.889,5.882,-50.000,177.778,48.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,0.100,0.040,0.000,0.160,0.080,0.030
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,-60.000,—,—,-50.000,-62.500
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,0.100,0.070,0.060,0.130,0.140,0.140
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,-30.000,-14.286,116.667,7.692,0.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,0.660,0.340,0.180,0.360,1.160,0.820
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,-48.485,-47.059,100.000,222.222,-29.310
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,0.440,0.210,0.480,0.320,0.210,0.240
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,-52.273,128.571,-33.333,-34.375,14.286
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,0.470,0.240,0.380,0.340,0.530,0.420
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,-48.936,58.333,-10.526,55.882,-20.755
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,0.000,0.000,0.000,0.000,"1,006.000","1,023.000","1,129.000","1,217.000","1,377.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,5.800,9.800,13.300,12.200
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,68.966,35.714,-8.271
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,"37,756.000","37,214.000","22,449.000","38,427.000","50,390.000","74,308.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,-1.436,-39.676,71.175,31.132,47.466
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Percentage Suppliers Audited,PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,—,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,50.000,33.333,25.000,20.000,16.667,14.286,12.500,11.111,10.000,9.091
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
