,,,,
Westlake Chemical Partners LP (WLKP US) - Overview,,,,
,,,,
In Millions of USD except Per Share,,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,
BESG ESG Score,ESG_SCORE,1.290,1.210,—
    Growth (YoY),ESG_SCORE,—,-6.202,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.360,0.360,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.000,—
BESG Social Pillar Score,SOCIAL_SCORE,0.880,0.880,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.010,3.540,—
    Growth (YoY),GOVERNANCE_SCORE,—,-11.639,—
,,,,
ESG Disclosure Scores,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,22.855,22.855,35.660
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,0.000,56.030
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.000,31.199
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.576,12.576,19.831
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.000,57.692
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,55.870,55.870,55.870
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.000,0.000
,,,,
Environmental,,,,
Air Quality,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,2.679
VOC Emissions,VOC_EMISSIONS,—,—,1.982
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,2.679
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,0.131
,,,,
Climate Change,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,"7,485.440"
