,,,,,,,,,,,
Westshore Terminals Investment Corp (WTE CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,1.740,1.710,1.710
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,-1.724,0.000
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,1.010,1.010,1.010
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,0.000,0.000
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,1.750,1.680,1.720
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,-3.968,2.552
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,3.210,3.180,3.090
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,-1.058,-2.722
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,18.610,19.405,20.632,22.885,24.515,24.816,24.816,29.796,29.796,29.796
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,4.270,6.325,10.922,7.121,1.231,0.000,20.065,0.000,0.000
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.000,1.178,1.178,1.178,1.510,1.510,2.326,2.326,2.326
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,0.000,0.000,28.205,0.000,54.000,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,5.139,5.139,5.139,8.767,8.767,8.767,8.767,22.914,22.914,22.914
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,0.000,0.000,70.588,0.000,0.000,0.000,161.379,0.000,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,50.572,52.950,55.449,58.579,63.456,64.028,64.028,64.028,64.028,64.028
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,4.702,4.719,5.646,8.325,0.901,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,No,No,No,No,No,No,No,No
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,0.097,0.142,0.357
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,46.541,152.028
Number of Customer Complaints,CUSTOMER_COMPLAINTS,—,—,—,—,—,—,—,5.000,8.000,5.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,No,No,No,No,No
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,9.570,7.840,8.400
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,-18.077,7.143
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,11.080,11.200,12.000
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,1.083,7.143
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,3.270,3.640,2.750
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,11.315,-24.451
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,No,No,No,No,No,No,No,No,No,No
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,3.370,4.790,5.660,5.150,3.690,2.860,3.520
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,42.136,18.163,-9.011,-28.350,-22.493,23.077
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,32.390,52.540,34.910,22.580,30.980,25.500,24.500
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,62.211,-33.555,-35.319,37.201,-17.689,-3.922
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,240.000,247.000,451.000,460.000,314.000,464.000,465.000,397.000,400.000,400.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,83.340,83.810,92.010,91.520,73.560,53.010,50.960,58.180,65.260,66.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-1.139,0.564,9.784,-0.533,-19.624,-27.936,-3.867,14.168,12.169,1.134
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,16.667,14.286,12.500,11.111,10.000,9.091,8.333,7.692,7.143,6.667
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,5.000,4.000,5.000,5.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.000,7.000,7.000,7.000,8.000,8.000,8.000,8.000,8.000,8.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,2.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000,9.000,3.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.000,5.000,5.000,5.000,6.000,5.000,5.000,5.000,5.000,5.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,—,7.000,9.000,6.000,7.000,8.000,8.000,7.000,6.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,100.000,—,—,100.000,100.000,98.430,100.000,98.210,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,0.000,-1.570,1.595,-1.790,1.823
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,—,2.000,2.000,2.000,2.000,2.000,2.000,2.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
