,,,,,,,,,,,
Whitecap Resources Inc (WCP CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.630,2.740,3.510,3.720,4.160,4.700,4.220,3.980,—
    Growth (YoY),ESG_SCORE,—,—,4.183,28.102,5.983,11.828,12.981,-10.213,-5.687,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.810,1.900,2.790,3.110,3.640,3.690,3.270,3.320,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,5.226,46.588,11.633,16.855,1.341,-11.360,1.652,—
BESG Social Pillar Score,SOCIAL_SCORE,—,1.000,1.110,1.570,2.130,2.730,3.660,2.960,2.560,—
    Growth (YoY),SOCIAL_SCORE,—,—,11.153,41.341,35.485,27.877,34.395,-19.191,-13.550,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.730,6.810,7.640,6.950,6.910,7.910,7.690,7.020,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,1.204,12.235,-8.994,-0.636,14.569,-2.858,-8.714,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,30.731,41.585,44.965,53.757,56.192,57.499,62.157,60.175,58.545,34.484
    Growth (YoY),ESG_DISCLOSURE_SCORE,3.105,35.319,8.128,19.553,4.528,2.327,8.100,-3.188,-2.708,-41.100
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,20.538,30.686,44.095,51.404,51.737,53.156,49.774,49.774,2.326
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,49.412,43.701,16.575,0.646,2.744,-6.364,0.000,-95.328
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.978,19.075,19.075,32.074,32.074,35.671,35.671,33.102,33.102,12.062
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,44.878,112.458,0.000,68.146,0.000,11.216,0.000,-7.203,0.000,-63.562
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.979,84.979,84.979,84.979,84.979,97.502,97.502,92.625,88.862
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.357,0.000,0.000,0.000,0.000,14.736,0.000,-5.002,-4.062
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,1.394,1.727,2.240,1.769,2.349,1.661,2.671,3.490,—
    Growth (YoY),NOX_EMISSIONS,—,—,23.888,29.705,-21.027,32.787,-29.289,60.807,30.663,—
VOC Emissions,VOC_EMISSIONS,—,—,—,11.171,9.037,7.919,7.137,16.170,17.617,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,-19.103,-12.371,-9.875,126.566,8.949,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,—,1.665,1.890,2.157,2.130,4.330,5.528,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,—,—,13.514,14.127,-1.252,103.286,27.667,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,0.115,0.109,0.114,0.138,0.349,0.316,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,-5.217,4.587,21.053,152.899,-9.456,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,0.023,0.021,0.889,0.519,0.522,0.096,1.130,2.905,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,-8.696,"4,133.333",-41.620,0.578,-81.609,"1,077.083",157.080,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,267.857,320.955,323.220,357.737,844.026,895.987,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,19.823,0.706,10.679,135.935,6.156,—
GHG Scope 1,GHG_SCOPE_1,—,751.561,825.600,"1,262.010",932.095,861.263,693.224,"1,283.120","1,376.230",—
    Growth (YoY),GHG_SCOPE_1,—,—,9.851,52.860,-26.142,-7.599,-19.511,85.095,7.257,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,50.352,94.592,528.147,539.355,522.879,502.383,686.951,681.002,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,87.861,458.342,2.122,-3.055,-3.920,36.739,-0.866,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.361,0.345,0.421,0.330,0.334,0.295,0.306,0.250,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,-4.462,22.081,-21.739,1.111,-11.648,3.731,-18.210,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,No
Total Energy Consumption,ENERGY_CONSUMPTION,—,643.367,882.408,"1,761.140","2,516.880","2,529.160","2,703.600","5,454.250","5,581.450",—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,37.155,99.583,42.912,0.488,6.897,101.740,2.332,—
Electricity Used,ELECTRICITY_USED,—,—,—,330.551,768.353,770.018,750.775,"1,020.920","1,141.410",—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,132.446,0.217,-2.499,35.982,11.802,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,0.289,0.332,0.575,0.564,0.610,0.668,0.847,0.847,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,14.789,73.374,-1.982,8.087,9.619,26.752,0.023,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,0.281,0.437,0.038,0.664,13.223,—
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,55.516,-91.304,"1,647.368","1,891.416",—
Total Waste,TOTAL_WASTE,—,—,—,—,41.581,31.920,15.415,97.641,109.017,—
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,-23.234,-51.707,533.415,11.651,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,897.755,996.163,"1,679.930","3,379.350","3,998.690","5,516.550","5,728.090","4,615.110",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,10.962,68.640,101.160,18.327,37.959,3.835,-19.430,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,0.000,0.000,0.000,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,0.179,0.318,0.451,0.227,0.531,0.860,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,78.014,41.824,-49.667,133.921,61.959,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,26.580,29.090,29.280,26.900,26.430,26.430,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,9.443,0.653,-8.128,-1.747,0.000,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,—,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.000,0.000,0.000,0.000,0.000,0.380,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,0.260,0.240,0.140,0.000,0.050,0.140,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,-7.692,-41.667,—,—,180.000,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.320,0.120,0.200,0.200,0.130,0.000,0.050,0.160,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,-62.500,66.667,0.000,-35.000,—,—,220.000,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,0.000,0.000,0.360,0.000,0.000,0.380,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,0.770,0.300,0.630,0.300,0.290,0.430,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,-61.039,110.000,-52.381,-3.333,48.276,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.640,0.520,0.680,0.260,0.610,0.260,0.260,0.430,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,-18.750,30.769,-61.765,134.615,-57.377,0.000,65.385,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,99.000,99.000,160.000,251.000,275.000,280.000,275.000,454.000,522.000,542.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,0.000,0.000,—,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,20.000,16.667,14.286,12.500,11.111,10.000,9.091,8.333,7.692,7.143
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,5.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,5.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,—,100.000
