,,,,,,,,,,,
Woodside Energy Group Ltd (WDS AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.580,5.460,5.870,5.940,6.300,6.230,6.400,6.130,—
    Growth (YoY),ESG_SCORE,—,—,19.214,7.509,1.193,6.061,-1.111,2.729,-4.219,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.870,4.330,5.120,5.240,5.650,6.300,5.620,5.890,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,51.087,18.161,2.262,7.891,11.447,-10.673,4.697,—
BESG Social Pillar Score,SOCIAL_SCORE,—,6.410,6.460,6.800,6.380,6.900,5.470,6.860,6.580,—
    Growth (YoY),SOCIAL_SCORE,—,—,0.770,5.367,-6.236,8.189,-20.712,25.456,-4.164,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.080,6.500,6.260,6.760,6.840,6.900,7.280,6.090,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,6.909,-3.722,7.862,1.281,0.831,5.577,-16.391,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,69.198,66.472,65.154,64.189,64.611,65.245,66.482,66.482,66.482,69.752
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.688,-3.940,-1.982,-1.482,0.658,0.981,1.896,0.000,0.000,4.918
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,61.613,53.428,49.985,51.404,51.404,51.737,55.452,55.452,55.452,62.700
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,2.358,-13.284,-6.444,2.840,0.000,0.646,7.180,0.000,0.000,13.072
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,59.129,59.129,58.616,58.616,58.616,60.187,60.187,60.187,60.187,62.757
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,0.000,-0.869,0.000,0.000,2.682,0.000,0.000,0.000,4.269
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,86.785,86.785,86.785,82.480,83.745,83.745,83.745,83.745,83.745,83.745
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.000,0.000,-4.960,1.533,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,20.018,19.998,19.908,20.620,12.652,11.713,13.023,12.973,14.173,14.431
    Growth (YoY),NOX_EMISSIONS,-0.783,-0.100,-0.450,3.576,-38.642,-7.422,11.184,-0.384,9.250,1.820
VOC Emissions,VOC_EMISSIONS,18.548,20.743,18.508,19.138,18.759,13.223,17.665,16.445,16.073,14.836
    Growth (YoY),VOC_EMISSIONS,0.575,11.834,-10.775,3.404,-1.980,-29.511,33.593,-6.906,-2.262,-7.696
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.057,0.042,0.041,0.052,0.053,0.049,0.052,0.050,0.056,0.056
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-8.065,-26.316,-2.381,26.829,1.923,-7.547,6.122,-3.846,12.000,0.000
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
