,,,,,,,,,,,
YPF SA (YPFD AR) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of ARS except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.320,3.530,4.040,4.280,4.770,4.840,4.800,5.210,—
    Growth (YoY),ESG_SCORE,—,—,6.325,14.448,5.941,11.449,1.468,-0.826,8.542,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.520,2.250,2.880,3.470,4.220,4.880,4.900,5.460,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-10.745,28.100,20.453,21.597,15.545,0.453,11.313,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.380,4.230,4.560,4.420,5.340,4.270,3.850,4.230,—
    Growth (YoY),SOCIAL_SCORE,—,—,24.972,7.779,-3.062,20.783,-20.023,-9.738,9.863,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.750,5.330,5.710,5.610,5.150,5.360,5.630,5.840,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,12.136,7.274,-1.743,-8.277,4.169,5.047,3.690,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,20.692,50.920,54.411,57.399,65.074,66.181,66.181,68.766,76.853,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.538,146.087,6.855,5.491,13.372,1.700,0.000,3.906,11.761,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.087,46.663,49.472,54.274,69.314,71.066,71.066,72.486,86.137,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,44.000,"4,191.666",6.019,9.707,27.713,2.527,0.000,1.997,18.833,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.576,38.362,42.896,47.068,55.079,56.651,56.651,62.999,73.640,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,205.048,11.820,9.725,17.020,2.854,0.000,11.206,16.891,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,48.314,67.670,70.801,70.801,70.801,70.801,70.801,70.801,70.801,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,40.062,4.626,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,57.313,61.653,76.284,77.134,76.350,62.558,57.255,51.253,43.574
    Growth (YoY),NOX_EMISSIONS,—,—,7.572,23.731,1.114,-1.016,-18.064,-8.477,-10.483,-14.983
VOC Emissions,VOC_EMISSIONS,—,—,—,—,61.129,51.250,44.990,44.578,36.776,78.096
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,-16.161,-12.215,-0.916,-17.502,112.356
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,15.184,14.929,16.312,16.640,17.269,14.328,14.061,20.026,17.661
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,-1.679,9.264,2.011,3.780,-17.031,-1.863,42.422,-11.810
Particulate Emissions,PARTICULATE_EMISSIONS,—,3.873,3.977,3.866,4.038,3.575,2.625,3.092,3.773,3.340
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,2.685,-2.791,4.449,-11.466,-26.573,17.790,22.025,-11.476
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,10.002,6.307,6.281,6.390,6.710,5.059,6.116,5.475,6.101
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,-36.943,-0.412,1.735,5.008,-24.605,20.893,-10.481,11.434
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,0.000,—,—,—,—
CO2 Scope 1,CO2_SCOPE_1,—,"12,150.200","12,416.200","13,007.800","13,557.400","12,792.300","11,352.200","12,228.600","8,111.810","7,486.860"
    Growth (YoY),CO2_SCOPE_1,—,—,2.189,4.765,4.225,-5.643,-11.258,7.720,-33.665,-7.704
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,"1,262.080","1,240.950","1,132.110","1,081.280","1,083.900",688.580,757.093,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,-1.674,-8.771,-4.490,0.242,-36.472,9.950,—,—
GHG Scope 1,GHG_SCOPE_1,—,"15,488.900","15,716.000","17,012.600","17,951.801","16,981.199","15,204.800","15,603.400","9,912.270","9,413.830"
    Growth (YoY),GHG_SCOPE_1,—,—,1.466,8.250,5.521,-5.407,-10.461,2.622,-36.474,-5.029
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,"1,203.580",884.484,688.682,692.783,757.093,"1,455.320",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,-26.512,-22.137,0.595,9.283,92.225,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,"1,928.070","1,845.820"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,-4.266
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,"54,715.898","66,155.102","69,117.898","76,994.500"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,20.907,4.479,11.396
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,0.300,0.250,0.230
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,-16.667,-8.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,"53,218.301","54,378.102","55,436.898","59,038.301","56,391.898","50,850.801","55,503.699","38,866.500","38,465.301"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,2.179,1.947,6.496,-4.483,-9.826,9.150,-29.975,-1.032
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,148.646,526.911,454.000,878.571,675.878,717.214
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,254.474,-13.837,93.518,-23.071,6.116
Electricity Used,ELECTRICITY_USED,—,—,—,—,"2,310.000","2,370.000","2,240.000","2,460.000","2,910.000",—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,2.597,-5.485,9.821,18.293,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,123.281,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,"2,880,660.000",—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,303.797,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,1.358,1.344,1.292,1.328,1.325,1.303,1.267,1.100,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,-1.023,-3.925,2.796,-0.209,-1.677,-2.772,-13.158,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,863.547,858.788,"2,050.050","1,590.000",674.000,293.000,359.000,535.000,580.000
    Growth (YoY),HAZARDOUS_WASTE,—,—,-0.551,138.714,-22.441,-57.610,-56.528,22.526,49.025,8.411
Total Waste,TOTAL_WASTE,—,"1,185.370",958.701,"2,442.300","2,140.000",864.000,639.000,532.000,700.000,757.000
    Growth (YoY),TOTAL_WASTE,—,—,-19.122,154.751,-12.378,-59.626,-26.042,-16.745,31.579,8.143
Waste Recycled,WASTE_RECYCLED,—,—,498.000,573.680,400.000,402.230,408.960,210.330,427.000,393.640
    Growth (YoY),WASTE_RECYCLED,—,—,—,15.197,-30.275,0.558,1.673,-48.570,103.014,-7.813
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,23.700,24.600,18.400,19.600,135.000,136.300
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,3.797,-25.203,6.522,588.776,0.963
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"63,074.000","63,642.000","66,832.000","68,679.000","66,821.000","63,118.000","206,041.000","193,915.000","139,921.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,0.901,5.012,2.764,-2.705,-5.542,226.438,-5.885,-27.844
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,"28,082.000","27,918.000","28,147.000","24,835.000","26,336.000","30,458.000","172,574.000","166,535.000","163,712.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,-0.584,0.820,-11.767,6.044,15.652,466.597,-3.499,-1.695
Water Consumption,WATER_CONSMPTN,—,—,—,"38,685.000","43,845.000","40,486.000","32,660.000","33,467.000","27,396.000","31,638.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,13.339,-7.661,-19.330,2.471,-18.140,15.484
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,176.000,141.858,179.000,231.000,329.711,501.374,912.532,"1,421.100","4,391.000"
    Growth (YoY),COMMUNITY_SPENDING,—,—,-19.399,26.183,29.050,42.732,52.065,82.006,55.732,208.986
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,12.000,13.000,13.000,14.900,16.300,17.400,17.700,19.300
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,8.333,0.000,14.615,9.396,6.748,1.724,9.040
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,11.000,12.000,16.000,19.200,17.600,16.300,18.100,19.000,19.800
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,9.091,33.333,20.000,-8.333,-7.386,11.043,4.972,4.211
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,20.000,22.000,22.000,21.000,20.500,21.700,21.500,21.600,22.300
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,10.000,0.000,-4.545,-2.381,5.854,-0.922,0.465,3.241
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,0.210,0.020
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,—,-90.476
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,100.000,96.200,92.400,85.200,91.200,—,—
    Growth (YoY),PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,—,-3.800,-3.950,-7.792,7.042,—,—
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,95.000,96.200,99.400,93.200,96.600,—,—
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,1.263,3.326,-6.237,3.648,—,—
