,,,,,,,,,,,
List Manager - Companies,,,,,,,,,,,
List Name,F&B,,,,,,,,,,
Entity Type,Company -> Companies,Owner,NGUYEN NGOC TRAM ANH .,,,,,,,,
List Description,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Company,Ticker,Source,Market Cap ($M),Price ($),YTD Price Change (%),PE (x),,,,,
Anheuser-Busch InBev SA/NV (ENXTBR:ABI),ABI (ENXTBR),Static,108496.6,55.02,8.4,-,,,,,
Danone S.A. (ENXTPA:BN),BN (ENXTPA),Static,46915.6,72.89,6.8,-,,,,,
Dole plc (NYSE:DOLE),DOLE (NYSE),Static,1334.9,14.05,3.8,-,,,,,
Nestlé S.A. (SWX:NESN),NESN (SWX),Static,256856.4,99.84,18.9,-,,,,,
Premier Foods plc (LSE:PFD),PFD (LSE),Static,2008.2,2.32,-2.2,-,,,,,
Saputo Inc. (TSX:SAP),SAP (TSX),Static,7452.3,17.65,1.1,-,,,,,
The Hershey Company (NYSE:HSY),HSY (NYSE),Static,36160.7,178.65,5.5,-,,,,,
The Kraft Heinz Company (NASDAQGS:KHC),KHC (NASDAQGS),Static,37917,31.73,3.3,-,,,,,
,,,,,,,,,,,
