,,,,,,,,,,,
Anheuser-Busch InBev SA/NV (ABI BB) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.090,3.250,3.260,3.190,3.660,3.760,4.010,3.850,—
    Growth (YoY),ESG_SCORE,—,—,5.178,0.308,-2.147,14.734,2.732,6.649,-3.990,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.040,3.110,3.430,3.230,3.970,3.990,4.750,4.120,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,2.257,10.341,-5.852,22.820,0.516,18.901,-13.096,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.240,2.220,2.030,2.120,2.540,2.560,2.640,2.650,—
    Growth (YoY),SOCIAL_SCORE,—,—,-1.280,-8.379,4.475,19.561,1.056,3.208,0.273,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.440,5.030,5.000,4.800,5.040,5.350,5.350,5.380,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,13.256,-0.493,-4.099,5.138,6.030,0.101,0.615,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,56.473,57.811,56.926,54.944,54.974,57.228,58.616,58.998,59.521,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-1.956,2.369,-1.531,-3.481,0.055,4.099,2.426,0.652,0.887,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,48.505,49.683,50.015,48.445,46.723,53.488,53.488,55.210,48.445,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-6.519,2.428,0.669,-3.140,-3.554,14.480,0.000,3.219,-12.254,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,28.990,31.832,28.265,23.882,25.695,25.695,29.867,29.293,37.636,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,9.802,-11.206,-15.508,7.595,0.000,16.235,-1.923,28.483,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,91.782,91.782,92.354,92.354,92.354,92.354,92.354,92.354,92.354,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.000,0.623,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,"3,700.760","3,512.280","3,479.170","2,880.530","2,913.210","2,563.360",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,-5.093,-0.943,-17.206,1.135,-12.009,—
GHG Scope 1,GHG_SCOPE_1,"4,127.600","3,373.820","2,976.740","3,700.760","3,644.780","3,591.200","3,081.910","2,953.900","2,843.880",—
    Growth (YoY),GHG_SCOPE_1,19.532,-18.262,-11.769,24.323,-1.513,-1.470,-14.182,-4.154,-3.725,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"1,942.400","1,821.420","1,704.690","2,482.500","2,383.500","1,768.800","2,227.760","2,243.990","2,029.210",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,6.323,-6.228,-6.409,45.628,-3.988,-25.790,25.948,0.729,-9.571,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,"2,056.110","2,059.760","1,761.440","1,633.810","1,456.820",826.257,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,0.178,-14.483,-7.246,-10.833,-43.284,—
GHG Scope 3,GHG_SCOPE_3,—,"1,387.580","17,812.400","25,956.801","24,431.801","26,484.400","23,652.900","26,527.400","24,071.900",—
    Growth (YoY),GHG_SCOPE_3,—,—,"1,183.703",45.723,-5.875,8.401,-10.691,12.153,-9.256,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,0.000,0.000,0.000,0.000,0.000,0.000,100.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.088,0.080,0.075,0.086,0.080,0.069,0.065,0.051,0.046,0.044
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,-10.285,-9.308,-5.632,13.395,-5.965,-13.930,-6.069,-21.077,-9.552,-5.172
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"15,250.000","19,516.500","15,172.700","18,440.000","21,374.100","16,252.800","14,544.400","15,619.400","19,442.199","14,705.600"
    Growth (YoY),ENERGY_CONSUMPTION,1.105,27.977,-22.257,21.534,15.912,-23.960,-10.511,7.391,24.475,-24.362
Renewable Energy Use,RENEW_ENERGY_USE,"1,525.000","1,665.280","1,607.220",0.000,"1,672.220","3,129.800","3,116.420","4,931.630","4,980.510",—
    Growth (YoY),RENEW_ENERGY_USE,13.601,9.199,-3.487,—,—,87.164,-0.428,58.247,0.991,—
Electricity Used,ELECTRICITY_USED,—,"4,308.630","4,785.170","5,448.060","6,022.800","5,617.170","5,586.320","5,880.120","6,007.490","10,227.800"
    Growth (YoY),ELECTRICITY_USED,—,—,11.060,13.853,10.549,-6.735,-0.549,5.259,2.166,70.251
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,0.000,0.012,—,—,16.163,22.194,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,37.314,—
Fuel Used - Coal/Lignite,COAL_USED,332.602,180.087,111.103,169.630,"1,900.220",161.215,87.763,131.023,127.482,—
    Growth (YoY),COAL_USED,-11.605,-45.855,-38.306,52.678,"1,020.215",-91.516,-45.562,49.292,-2.703,—
Fuel Used - Natural Gas,NAT_GAS_USED,"948,856.000","1,157,890.000","801,452.000","888,910.000","1,302,100.000","1,310,470.000","1,121,770.000","1,109,980.000","1,031,740.000",—
    Growth (YoY),NAT_GAS_USED,13.682,22.030,-30.783,10.912,46.483,0.643,-14.399,-1.051,-7.049,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,73.020,38.688,38.608,77.830,—,92.922,52.480,73.581,84.122,—
    Growth (YoY),OIL_DIESEL_USED,-51.764,-47.017,-0.209,101.593,—,—,-43.523,40.209,14.326,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,0.310,0.306,0.291,0.277,0.271,0.262,0.258
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,-1.344,-4.995,-4.685,-2.006,-3.347,-1.525
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,0.984,0.565,0.720,—,—,—,—,—,—,—
    Growth (YoY),HAZARDOUS_WASTE,35.912,-42.581,27.434,—,—,—,—,—,—,—
Total Waste,TOTAL_WASTE,"6,744.250","6,794.800","6,673.680",—,—,—,—,—,—,—
    Growth (YoY),TOTAL_WASTE,10.804,0.750,-1.783,—,—,—,—,—,—,—
Waste Recycled,WASTE_RECYCLED,"6,609.370","6,727.530","6,620.290",—,—,—,—,—,—,—
    Growth (YoY),WASTE_RECYCLED,11.372,1.788,-1.594,—,—,—,—,—,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,96.668,66.954,49.548,—,—,—,—,—,—,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-35.966,-30.738,-25.997,—,—,—,—,—,—,—
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"148,900.000","138,200.000","146,600.000","171,000.000","159,000.000","156,000.000","141,000.000","152,000.000","155,000.000","144,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,1.916,-7.186,6.078,16.644,-7.018,-1.887,-9.615,7.801,1.974,-7.097
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,"105,555.000","94,300.703","111,448.000",—,"101,000.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,-10.662,18.184,—,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,"58,665.000","55,327.699","48,498.000",—,—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,-5.689,-12.344,—,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,"3,230.000","3,140.000","3,140.000","3,090.000","2,950.000","2,800.000","2,700.000","2,660.000","2,640.000","2,530.000"
    Growth (YoY),WATER_PER_UNIT_OF_PROD,-3.582,-2.786,0.000,-1.592,-4.531,-5.085,-3.571,-1.481,-0.752,-4.167
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,15.000,—,15.000,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,30.000,19.000,20.000,22.000,24.000,26.000,28.000,29.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,-36.667,5.263,10.000,9.091,8.333,7.692,3.571
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,17.000,17.000,18.000,18.000,18.000,19.000,19.000,21.000,22.000,22.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-15.000,0.000,5.882,0.000,0.000,5.556,0.000,10.526,4.762,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,4.000,4.000,8.000,4.000,5.000,2.000,4.000,4.000,2.000,2.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,12.000,8.000,4.000,6.000,9.000,5.000,3.000,2.000,7.000,3.000
Fatalities - Total,FATALITIES_TOTAL,16.000,12.000,12.000,10.000,14.000,7.000,7.000,6.000,9.000,5.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.676,0.080,0.046,0.130,0.258,0.176,0.117,0.099,0.087,0.026
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-48.000,-88.166,-42.500,182.609,98.462,-31.783,-33.523,-15.385,-12.121,-70.115
