,,,,,,,,,,,
Danone SA (BN FP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.160,3.640,4.620,4.570,5.010,5.050,5.030,5.160,—
    Growth (YoY),ESG_SCORE,—,—,15.190,26.923,-1.082,9.628,0.798,-0.396,2.584,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.710,3.720,4.740,4.770,5.280,5.320,5.800,5.760,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,37.445,27.287,0.684,10.746,0.704,9.049,-0.660,—
BESG Social Pillar Score,SOCIAL_SCORE,—,1.320,1.840,2.680,2.690,3.180,3.190,3.200,3.200,—
    Growth (YoY),SOCIAL_SCORE,—,—,38.732,45.946,0.249,18.383,0.124,0.321,0.036,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.340,5.760,6.780,6.520,6.760,6.830,6.060,6.590,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-9.054,17.727,-3.963,3.728,1.088,-11.309,8.790,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,55.226,60.064,60.256,59.783,60.507,63.143,63.143,63.485,63.012,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-2.052,8.761,0.318,-0.785,1.212,4.356,0.000,0.542,-0.745,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,46.602,55.421,55.754,54.334,52.371,55.754,55.754,55.754,54.334,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-13.702,18.924,0.599,-2.546,-3.613,6.459,0.000,0.000,-2.546,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,27.146,25.998,26.239,26.239,30.381,34.915,34.915,35.943,35.943,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,5.523,-4.232,0.930,0.000,15.783,14.925,0.000,2.944,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,91.782,98.615,98.615,98.615,98.615,98.615,98.615,98.615,98.615,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,2.798,7.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,—,—,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,—,180.357,-75.796,-55.263,17.647
CO2 Scope 1,CO2_SCOPE_1,—,537.181,527.499,567.972,707.174,685.772,645.862,654.217,—,—
    Growth (YoY),CO2_SCOPE_1,—,—,-1.802,7.673,24.509,-3.026,-5.820,1.294,—,—
GHG Scope 1,GHG_SCOPE_1,561.353,561.641,547.480,643.597,753.461,722.103,668.354,848.000,831.000,789.000
    Growth (YoY),GHG_SCOPE_1,21.965,0.051,-2.521,17.556,17.070,-4.162,-7.443,26.879,-2.005,-5.054
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,860.404,915.747,920.124,936.963,959.554,944.877,864.710,812.948,762.805,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,10.511,6.432,0.478,1.830,2.411,-1.530,-8.484,-5.986,-6.168,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,928.645,865.451,816.786,678.758,588.156,479.210,295.000,276.000,256.000
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,-6.805,-5.623,-16.899,-13.348,-18.523,-38.440,-6.441,-7.246
GHG Scope 3,GHG_SCOPE_3,—,"23,092.900","21,527.600","20,153.900","24,885.801","25,869.000","24,974.301","23,571.000","23,100.000","20,614.000"
    Growth (YoY),GHG_SCOPE_3,—,—,-6.778,-6.381,23.479,3.951,-3.459,-5.619,-1.998,-10.762
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.044,0.043,0.041,—,—,—,—,—,—,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,7.506,-2.477,-4.619,—,—,—,—,—,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"4,782.020","4,837.420","4,800.360","4,728.030","5,573.510","5,421.310","5,238.230","5,199.090","5,132.690","4,589.060"
    Growth (YoY),ENERGY_CONSUMPTION,15.797,1.159,-0.766,-1.507,17.882,-2.731,-3.377,-0.747,-1.277,-10.592
Renewable Energy Use,RENEW_ENERGY_USE,114.500,193.497,252.518,532.587,903.490,"1,069.140","1,278.160","1,549.330","1,611.660","1,574.050"
    Growth (YoY),RENEW_ENERGY_USE,16.403,68.993,30.502,110.910,69.642,18.334,19.550,21.216,4.023,-2.334
Electricity Used,ELECTRICITY_USED,"1,962.910","2,011.440","2,016.770","2,013.190","2,181.460","2,122.810","2,008.600","1,995.900","1,972.670","1,768.570"
    Growth (YoY),ELECTRICITY_USED,7.982,2.472,0.265,-0.178,8.358,-2.689,-5.380,-0.632,-1.164,-10.346
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,0.241,0.246,0.727,4.113,1.157,6.460,7.271,12.310,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,2.075,195.528,465.787,-71.869,458.305,12.555,69.296,—
Fuel Used - Coal/Lignite,COAL_USED,11.476,12.244,12.753,8.786,8.447,8.075,4.618,2.130,0.000,—
    Growth (YoY),COAL_USED,-2.431,6.688,4.156,-31.103,-3.864,-4.407,-42.811,-53.877,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"210,172.000","207,885.000","200,953.000","200,297.000","274,519.000","268,339.000","267,720.000","271,150.000","267,066.000",—
    Growth (YoY),NAT_GAS_USED,28.700,-1.088,-3.335,-0.326,37.056,-2.251,-0.231,1.281,-1.506,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,14.098,24.885,18.123,18.769,20.174,15.818,13.628,12.586,11.177,—
    Growth (YoY),OIL_DIESEL_USED,-29.229,76.512,-27.174,3.565,7.485,-21.589,-13.844,-7.649,-11.193,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,0.149,0.142,0.135,0.134,0.149,0.147,0.149,0.149,0.147,0.140
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,-4.956,-4.933,-0.815,11.061,-1.144,1.566,0.000,-1.810,-4.300
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,307.000,331.000,434.000,397.000,571.000,633.000,549.000,400.000,379.000,373.000
    Growth (YoY),TOTAL_WASTE,3.910,7.818,31.118,-8.525,43.829,10.858,-13.270,-27.140,-5.250,-1.583
Waste Recycled,WASTE_RECYCLED,259.720,—,—,—,—,—,—,—,—,—
    Growth (YoY),WASTE_RECYCLED,9.610,—,—,—,—,—,—,—,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,6.100,3.944,3.100,1.938,1.635
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,-35.344,-21.400,-37.484,-15.635
Raw Materials Used,RAW_MAT_USED,"32,023.000","34,094.000","35,577.000","35,333.000",—,—,—,—,—,—
    Growth (YoY),RAW_MAT_USED,6.743,6.467,4.350,-0.686,—,—,—,—,—,—
Total Weight of Plastic Packaging Used,TOT_WEIGHT_OF_PLASTIC_PACK_USED,—,—,—,—,—,—,—,750.994,762.519,693.156
    Growth (YoY),TOT_WEIGHT_OF_PLASTIC_PACK_USED,—,—,—,—,—,—,—,—,1.535,-9.097
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"69,296.000","71,365.000","70,975.000","68,685.000","74,493.000","73,064.000","69,150.000","67,749.000","66,883.000","60,985.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,14.297,2.986,-0.546,-3.226,8.456,-1.918,-5.357,-2.026,-1.278,-8.818
Water Consumption,WATER_CONSMPTN,—,"43,811.000","41,602.000","39,113.000","43,311.000","41,773.000","39,714.000","38,559.000","37,376.000","32,945.000"
    Growth (YoY),WATER_CONSMPTN,—,—,-5.042,-5.983,10.733,-3.551,-4.929,-2.908,-3.068,-11.855
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,"1,360.000","1,290.000","1,170.000","1,110.000","1,150.000","1,130.000","1,130.000","1,110.000","1,070.000","1,010.000"
    Growth (YoY),WATER_PER_UNIT_OF_PROD,13.333,-5.147,-9.302,-5.128,3.604,-1.739,0.000,-1.770,-3.604,-5.607
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,34.000,—,—,—,—,40.000,41.000,41.000,42.000,43.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,2.500,0.000,2.439,2.381
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,48.000,—,—,—,51.000,52.000,52.000,53.000,53.000,53.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,0.000,—,—,—,—,1.961,0.000,1.923,0.000,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,31.000,29.000,30.000,30.000,31.000,31.000,31.000,32.000,32.000,32.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,3.333,-6.452,3.448,0.000,3.333,0.000,0.000,3.226,0.000,0.000
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,—,—
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,4.200,3.800,—,—,—,—,—,—,—,—
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,13.514,-9.524,—,—,—,—,—,—,—,—
,,,,,,,,,,,
