,,,,
Dole PLC (DOLE US) - Overview,,,,
,,,,
In Millions of USD except Per Share,,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,
BESG ESG Score,ESG_SCORE,1.890,2.910,—
    Growth (YoY),ESG_SCORE,—,53.968,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.430,1.970,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,353.698,—
BESG Social Pillar Score,SOCIAL_SCORE,1.470,1.470,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.090,6.900,—
    Growth (YoY),GOVERNANCE_SCORE,—,13.306,—
,,,,
ESG Disclosure Scores,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,33.699,43.607,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,29.403,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.178,26.216,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,"2,125.641",—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,15.447,13.876,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,-10.176,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,84.287,90.548,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,7.429,—
,,,,
Environmental,,,,
Air Quality,,,,
,,,,
Climate Change,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,570.105,—
GHG Scope 1,GHG_SCOPE_1,—,842.360,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,78.365,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,58.405,—
GHG Scope 3,GHG_SCOPE_3,—,"6,194.760",—
