,,,,,,,,,,,
Hershey Co/The (HSY US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.310,4.170,4.660,5.410,6.070,6.340,6.230,6.210,6.230
    Growth (YoY),ESG_SCORE,—,—,-3.248,11.751,16.094,12.200,4.448,-1.735,-0.321,0.322
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.660,2.740,3.360,4.410,5.730,6.220,5.950,5.990,6.020
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,2.945,22.829,31.138,29.788,8.660,-4.432,0.775,0.432
BESG Social Pillar Score,SOCIAL_SCORE,—,4.210,3.600,3.770,4.590,4.810,5.160,5.150,5.140,5.120
    Growth (YoY),SOCIAL_SCORE,—,—,-14.546,4.609,21.786,4.969,7.206,-0.213,-0.144,-0.487
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.120,7.150,7.760,7.860,7.970,7.810,7.820,7.680,7.740
    Growth (YoY),GOVERNANCE_SCORE,—,—,0.487,8.536,1.258,1.390,-2.055,0.114,-1.745,0.812
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,53.707,57.067,54.813,60.054,65.788,67.066,70.285,74.952,78.554,77.819
    Growth (YoY),ESG_DISCLOSURE_SCORE,-0.112,6.256,-3.949,9.561,9.548,1.942,4.800,6.641,4.805,-0.935
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,47.720,54.817,48.052,58.623,75.838,79.281,81.033,82.452,89.218,89.218
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,4.290,14.873,-12.342,21.999,29.366,4.540,2.210,1.752,8.205,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,27.751,28.779,28.779,33.948,33.948,34.341,42.261,48.579,52.630,50.423
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,17.542,3.704,0.000,17.962,0.000,1.158,23.063,14.950,8.339,-4.193
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,85.521,87.477,87.477,87.477,87.477,87.477,87.477,93.739,93.739,93.739
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-6.822,2.288,0.000,0.000,0.000,0.000,0.000,7.158,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,0.132,0.063,0.067,0.076,0.077,0.078,0.075,0.067,0.091,0.206
    Growth (YoY),NOX_EMISSIONS,2.960,-52.150,5.596,14.457,0.669,1.368,-3.728,-10.013,35.460,125.192
VOC Emissions,VOC_EMISSIONS,0.153,0.185,0.178,0.182,0.204,0.190,0.084,0.102,0.177,0.175
    Growth (YoY),VOC_EMISSIONS,-7.369,20.975,-3.631,1.811,12.291,-6.665,-55.969,21.599,73.307,-1.076
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,0.127,0.058,0.057,0.073,0.070,0.078,0.064,0.064,0.078,0.110
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,10.238,-54.365,-1.603,28.301,-4.122,10.763,-17.481,-0.312,22.500,39.923
Particulate Emissions,PARTICULATE_EMISSIONS,0.063,0.041,0.043,0.046,0.051,0.049,0.049,0.053,0.095,0.073
    Growth (YoY),PARTICULATE_EMISSIONS,-0.332,-35.043,5.818,7.230,10.082,-3.914,0.204,7.520,78.828,-22.622
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.007,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.004,0.029
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-43.833,-66.713,0.840,-34.167,47.468,3.004,4.167,-14.000,72.093,681.081
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,3.023,3.307,4.398,3.631,9.472,7.214
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,9.378,32.993,-17.440,160.865,-23.839
GHG Scope 1,GHG_SCOPE_1,92.752,103.668,110.889,119.833,156.001,160.808,157.092,146.653,179.211,178.001
    Growth (YoY),GHG_SCOPE_1,-8.173,11.769,6.966,8.066,30.182,3.081,-2.311,-6.645,22.201,-0.675
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,227.768,204.065,190.412,222.727,225.460,212.538,197.612,201.203,232.579,224.083
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,1.348,-10.407,-6.691,16.971,1.227,-5.731,-7.023,1.817,15.594,-3.653
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,225.060,227.991,129.100,61.415,68.639,61.592
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,1.302,-43.375,-52.428,11.763,-10.267
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,"6,592.150","6,182.860","5,709.240","5,346.690","5,941.680","7,264.040"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,-6.209,-7.660,-6.350,11.128,22.256
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,0.306,0.219,0.222,0.224
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,-28.431,1.370,0.901
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"1,094.130","1,078.820","1,358.340","1,303.940","1,297.890","1,578.650","1,559.320"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,-1.399,25.910,-4.005,-0.464,21.632,-1.224
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,96.907,25.125,42.962,59.976,140.349,181.657,202.463
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,-74.073,70.991,39.603,134.007,29.432,11.453
Electricity Used,ELECTRICITY_USED,—,—,—,457.974,441.794,558.532,548.299,561.050,630.880,624.965
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,-3.533,26.424,-1.832,2.326,12.446,-0.938
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,3.592,3.157,2.968,0.311,0.119
    Growth (YoY),COAL_USED,—,—,—,—,—,—,-12.115,-5.992,-89.522,-61.660
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,"50,885.699","58,465.898","74,185.602","70,019.102","65,818.000","87,254.500","86,460.000"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,14.897,26.887,-5.616,-6.000,32.569,-0.911
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,0.840,0.181,1.699,1.147,1.101,3.889,4.247
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,-78.480,840.613,-32.491,-4.003,253.102,9.211
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,0.480,0.539,1.217,1.242,1.461
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,12.269,125.774,2.055,17.673
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,0.013,0.014,0.014,0.015,0.014,0.088,0.178,0.152,0.225,0.166
    Growth (YoY),HAZARDOUS_WASTE,—,7.692,1.143,9.463,-7.097,511.111,102.273,-14.607,48.026,-26.222
Total Waste,TOTAL_WASTE,42.189,39.920,43.524,45.342,51.316,51.903,56.780,61.165,87.413,106.900
    Growth (YoY),TOTAL_WASTE,5.267,-5.378,9.028,4.177,13.175,1.144,9.396,7.723,42.913,22.293
Waste Recycled,WASTE_RECYCLED,—,—,—,38.879,44.611,42.698,47.751,51.532,68.302,70.964
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,14.743,-4.288,11.834,7.918,32.543,3.897
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,0.131,3.037,3.033,2.700,8.913,24.681
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,"2,214.081",-0.132,-10.979,230.111,176.910
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"4,753.220","4,977.930","4,872.960","2,677.920","5,603.800","5,797.000","5,546.000","5,829.000","5,783.000","4,520.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,2.855,4.728,-2.109,-45.045,109.259,3.448,-4.330,5.103,-0.789,-21.840
Total Water Discharged,TOTAL_WATER_DISCHARGED,"1,632.250","1,776.120","2,243.680","1,909.070","4,607.440","4,405.000","4,623.000","4,915.000","4,898.000","3,230.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-14.507,8.814,26.325,-14.913,141.345,-4.394,4.949,6.316,-0.346,-34.055
Water Consumption,WATER_CONSMPTN,—,—,—,—,"3,126.800","1,392.000",923.000,914.000,885.000,"1,290.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,-55.482,-33.693,-0.975,-3.173,45.763
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,2.653,2.653,2.805,1.516,1.137,3.230,3.110,3.190,2.780,2.850
    Growth (YoY),WATER_PER_UNIT_OF_PROD,6.061,0.000,5.714,-45.946,-25.000,184.081,-3.715,2.572,-12.853,2.518
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,Yes,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,14.310,10.600,16.270,20.400,20.637,20.500,26.600,16.400,30.500,30.300
    Growth (YoY),COMMUNITY_SPENDING,52.234,-25.926,53.491,25.384,1.161,-0.663,29.756,-38.346,85.976,-0.656
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,36.100,36.200,36.600,33.400,32.000,34.600,34.400
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,0.277,1.105,-8.743,-4.192,8.125,-0.578
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,37.400,37.700,39.500,39.400
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,0.802,4.775,-0.253
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,43.000,51.000,49.900,50.000,48.690,48.200,48.140,47.700,47.800,48.200
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,18.605,-2.157,0.200,-2.620,-1.006,-0.124,-0.914,0.210,0.837
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,—,32.000,34.600,19.400
