,,,,,,,,,,,
Kraft Heinz Co/The (KHC US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,01/03/2016,12/31/2016,12/30/2017,12/29/2018,12/28/2019,12/26/2020,12/25/2021,12/31/2022,12/30/2023,12/28/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.370,4.240,3.890,3.130,4.020,4.340,4.610,4.980,—,—
    Growth (YoY),ESG_SCORE,—,78.903,-8.255,-19.537,28.435,7.960,6.221,8.026,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.830,2.910,2.630,1.190,3.200,3.860,3.920,4.350,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,249.999,-9.698,-54.951,169.605,20.699,1.702,10.956,—,—
BESG Social Pillar Score,SOCIAL_SCORE,1.050,3.580,3.000,3.000,3.120,3.130,3.140,3.150,—,—
    Growth (YoY),SOCIAL_SCORE,—,241.988,-16.304,0.000,4.126,0.118,0.421,0.218,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,7.320,7.120,6.990,6.880,6.310,6.460,7.400,8.180,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,-2.693,-1.831,-1.661,-8.192,2.268,14.677,10.558,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,36.707,52.299,50.518,46.615,58.173,58.173,57.288,60.718,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,42.477,-3.405,-7.726,24.795,0.000,-1.522,5.988,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,16.340,42.163,35.095,20.809,48.988,48.988,50.408,57.173,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,158.041,-16.762,-40.706,135.414,0.000,2.898,13.421,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,10.006,29.625,25.061,27.630,34.160,34.160,32.588,33.616,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,196.073,-15.408,10.253,23.632,0.000,-4.602,3.154,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.594,84.979,91.240,91.240,91.240,91.240,88.742,91.240,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,1.656,7.368,0.000,0.000,0.000,-2.738,2.815,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,704.279,—,647.101,588.013,581.997,497.972,—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,-9.131,-1.023,-14.437,—,—
GHG Scope 1,GHG_SCOPE_1,626.290,742.200,709.692,—,649.256,605.606,586.455,501.786,455.972,—
    Growth (YoY),GHG_SCOPE_1,—,18.507,-4.380,—,—,-6.723,-3.162,-14.437,-9.130,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,820.070,791.300,756.918,—,773.066,694.907,645.247,558.444,548.907,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-3.508,-4.345,—,—,-10.110,-7.146,-13.453,-1.708,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,804.156,800.400,765.557,—,720.524,704.689,616.650,457.547,399.330,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,-0.467,-4.353,—,—,-2.198,-12.493,-25.801,-12.724,—
GHG Scope 3,GHG_SCOPE_3,—,"26,565.301","21,519.100","22,922.699","24,380.301","25,026.500","27,616.301","27,426.900","24,332.301",—
    Growth (YoY),GHG_SCOPE_3,—,—,-18.995,6.523,6.359,2.650,10.348,-0.686,-11.283,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
