,,,,,,,,,,,
Nestle SA (NESN SW) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CHF except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,4.380,4.910,5.270,5.350,6.350,6.570,5.200,5.230,—,—
    Growth (YoY),ESG_SCORE,—,12.100,7.332,1.518,18.692,3.465,-20.852,0.577,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,4.440,5.670,4.960,5.000,6.120,6.130,4.830,4.850,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,27.498,-12.370,0.619,22.536,0.143,-21.202,0.333,—,—
BESG Social Pillar Score,SOCIAL_SCORE,2.110,2.360,3.720,3.850,5.160,6.160,3.610,3.680,—,—
    Growth (YoY),SOCIAL_SCORE,—,11.597,58.008,3.459,33.893,19.569,-41.496,1.938,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,7.180,7.020,7.520,7.610,7.990,7.600,7.610,7.620,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,-2.278,7.172,1.260,4.883,-4.804,0.127,0.083,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,66.804,66.563,65.104,67.750,71.713,70.295,57.489,60.215,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,9.987,-0.361,-2.191,4.064,5.850,-1.978,-18.217,4.742,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,71.308,71.308,65.116,63.697,75.597,75.597,53.488,54.908,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,4.284,0.000,-8.683,-2.180,18.682,0.000,-29.245,2.654,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,35.943,35.218,37.031,46.403,46.403,50.574,34.220,40.992,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,18.426,-2.019,5.150,25.306,0.000,8.990,-32.337,19.788,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,93.046,93.046,93.046,93.046,93.046,84.648,84.648,84.648,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,11.588,0.000,0.000,0.000,0.000,-9.026,0.000,0.000,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,6.100,5.900,5.700,5.200,5.000,5.000,—,—,—,—
    Growth (YoY),NOX_EMISSIONS,-6.154,-3.279,-3.390,-8.772,-3.846,0.000,—,—,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,9.800,9.900,9.300,8.300,7.500,7.100,—,—,—,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-6.667,1.020,-6.061,-10.753,-9.639,-5.333,—,—,—,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
ODS Emissions,ODS_EMISSIONS,0.002,0.001,0.001,0.001,0.001,0.001,—,—,—,—
    Growth (YoY),ODS_EMISSIONS,90.000,-63.158,0.000,-14.286,0.000,0.000,—,—,—,—
CO2 Scope 1,CO2_SCOPE_1,—,—,"3,457.100",—,"3,238.630","3,153.070",—,"2,534.740",—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,-2.642,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"3,704.350","3,607.900","3,532.060","3,289.010","3,246.370","3,310.000","3,380.000","3,270.000","3,160.000",—
    Growth (YoY),GHG_SCOPE_1,-2.773,-2.604,-2.102,-6.881,-1.296,1.960,2.115,-3.254,-3.364,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"3,926.380","3,736.580","3,639.040","3,082.570","3,089.030","3,052.230","2,600.000","2,612.730",—,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,3.326,-4.834,-2.610,-15.292,0.210,-1.191,-14.816,0.490,—,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,"3,737.980","3,482.620","3,008.360","2,434.400","2,215.450","1,620.000","1,440.000",740.000,310.000,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,-6.831,-13.618,-19.079,-8.994,-26.877,-11.111,-48.611,-58.108,—
GHG Scope 3,GHG_SCOPE_3,"112,844.000","105,793.000","106,926.000","110,422.000","107,411.000","99,430.000","98,750.000","93,790.000","84,080.000",—
    Growth (YoY),GHG_SCOPE_3,—,-6.248,1.071,3.270,-2.727,-7.430,-0.684,-5.023,-10.353,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,2.000,2.000,2.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,0.000,0.000,100.000,0.000,0.000,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.137,0.127,0.112,0.109,0.105,0.101,—,—,—,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,-4.861,-7.299,-11.811,-2.679,-3.670,-3.810,—,—,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"40,138.898","39,333.301","25,206.400","24,887.500","24,771.301","22,607.100","22,994.301","22,815.000","21,340.100",—
    Growth (YoY),ENERGY_CONSUMPTION,-1.432,-2.007,-35.916,-1.265,-0.467,-8.737,1.713,-0.780,-6.465,—
Renewable Energy Use,RENEW_ENERGY_USE,"2,732.890","6,888.890","3,948.810","4,592.730","4,980.090","5,222.240","5,817.560","6,949.440","7,469.030",—
    Growth (YoY),RENEW_ENERGY_USE,32.951,152.073,-42.679,16.307,8.434,4.862,11.400,19.456,7.477,—
Electricity Used,ELECTRICITY_USED,"7,635.460","7,604.830","8,607.560","8,925.700","8,878.570","11,416.600","14,647.400","6,443.810",—,—
    Growth (YoY),ELECTRICITY_USED,-0.407,-0.401,13.185,3.696,-0.528,28.586,28.299,-56.007,—,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,4.796,5.352,4.122,5.090,7.034,16.355,8.404,63.383,—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,11.593,-22.982,23.484,38.193,132.514,-48.615,654.200,—,—
Fuel Used - Coal/Lignite,COAL_USED,163.674,135.031,122.755,102.296,89.431,77.236,70.800,64.104,—,—
    Growth (YoY),COAL_USED,-16.666,-17.500,-9.091,-16.667,-12.576,-13.636,-8.333,-9.458,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"1,081,390.000","1,105,420.000","1,105,420.000","1,092,070.000","1,105,420.000","1,102,370.000","1,246,110.000","1,229,600.000",—,—
    Growth (YoY),NAT_GAS_USED,-2.174,2.222,0.000,-1.208,1.222,-0.276,13.039,-1.325,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,314.677,301.478,263.444,240.425,219.963,222.518,156.525,130.643,—,—
    Growth (YoY),OIL_DIESEL_USED,5.209,-4.194,-12.616,-8.738,-8.511,1.162,-29.657,-16.535,—,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,0.478,0.464,—,—,—,—,—,—,—,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,-4.972,-2.907,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,1.650,0.600,0.400,0.400,0.300,0.300,12.748,33.906,12.779,—
    Growth (YoY),HAZARDOUS_WASTE,-22.535,-63.636,-33.333,0.000,-25.000,0.000,"4,149.333",165.971,-62.311,—
Total Waste,TOTAL_WASTE,"1,762.940","1,761.380",—,—,—,—,"1,568.230","2,934.240","1,564.810",—
    Growth (YoY),TOTAL_WASTE,-0.030,-0.088,—,—,—,—,—,87.105,-46.671,—
Waste Recycled,WASTE_RECYCLED,823.169,926.886,—,—,—,—,—,—,—,—
    Growth (YoY),WASTE_RECYCLED,-2.132,12.600,—,—,—,—,—,—,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,150.150,99.081,—,—,—,—,—,—,—,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-22.705,-34.012,—,—,—,—,—,—,—,—
Raw Materials Used,RAW_MAT_USED,"25,000.000","24,900.000","24,400.000","23,800.000","24,400.000","25,100.000",—,—,—,—
    Growth (YoY),RAW_MAT_USED,-3.101,-0.400,-2.008,-2.459,2.521,2.869,—,—,—,—
Pct Recycled Materials,PCT_RECYCLED_MATERIALS,28.100,27.400,28.700,23.600,26.000,35.000,—,—,—,—
    Growth (YoY),PCT_RECYCLED_MATERIALS,4.851,-2.491,4.745,-17.770,10.169,34.615,—,—,—,—
Percentage Raw Material from Sustainable Sources,PCT_RAW_MATERIAL_SUSTAIN_SRC,43.000,44.000,57.000,63.000,70.000,73.000,16.300,22.000,36.200,44.500
    Growth (YoY),PCT_RAW_MATERIAL_SUSTAIN_SRC,53.571,2.326,29.545,10.526,11.111,4.286,-77.671,34.969,64.545,22.928
Total Weight of Plastic Packaging Used,TOT_WEIGHT_OF_PLASTIC_PACK_USED,—,—,—,—,—,—,—,927.000,900.000,—
    Growth (YoY),TOT_WEIGHT_OF_PLASTIC_PACK_USED,—,—,—,—,—,—,—,—,-2.913,—
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"140,334.000","138,240.000","131,451.000","126,563.000","120,400.000","115,400.000","97,998.398","97,099.000","95,600.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-4.577,-1.492,-4.911,-3.718,-4.870,-4.153,-15.079,-0.918,-1.544,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,"82,000.000","78,100.000","74,000.000","75,000.000","67,000.000","59,000.000","59,000.000","53,172.000","48,400.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,-5.747,-4.756,-5.250,1.351,-10.667,-11.940,0.000,-9.878,-8.975,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,"54,000.000","56,182.398","39,027.199","43,927.000","47,200.000",—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,4.041,-30.535,12.555,7.451,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
