,,,,,,,,,,,
Premier Foods PLC (PFD LN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,04/04/2015,04/02/2016,04/01/2017,03/31/2018,03/30/2019,03/28/2020,04/03/2021,04/02/2022,04/01/2023,03/30/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.650,2.860,3.370,3.040,3.820,4.380,4.580,4.880,5.730,—
    Growth (YoY),ESG_SCORE,—,7.925,17.832,-9.792,25.658,14.660,4.566,6.550,17.418,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,1.460,1.570,2.530,2.140,3.630,5.220,5.030,5.490,5.630,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,7.558,61.331,-15.573,69.822,43.795,-3.721,9.279,2.435,—
BESG Social Pillar Score,SOCIAL_SCORE,0.960,1.390,1.430,1.650,1.670,1.600,1.670,1.620,3.670,—
    Growth (YoY),SOCIAL_SCORE,—,44.480,2.432,15.930,1.053,-4.209,4.058,-3.014,126.797,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,7.270,7.210,7.440,6.330,6.900,6.820,7.810,8.420,8.330,—
    Growth (YoY),GOVERNANCE_SCORE,—,-0.779,3.150,-14.967,9.065,-1.181,14.488,7.931,-1.119,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,41.364,41.646,45.498,46.213,46.786,49.251,53.536,52.993,51.303,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,0.681,9.251,1.570,1.241,5.268,8.701,-1.015,-3.189,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,27.937,28.783,28.783,28.330,30.051,34.099,38.659,38.991,40.713,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,3.027,0.000,-1.574,6.077,13.467,13.375,0.859,4.415,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,17.412,17.412,28.990,31.590,31.590,34.250,42.564,40.599,33.797,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.000,66.493,8.968,0.000,8.421,24.272,-4.616,-16.754,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,78.597,78.597,78.597,78.597,78.597,79.290,79.290,79.290,79.290,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.000,0.000,0.000,0.000,0.881,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,68.621,44.398,51.115,44.157,40.939,40.278,39.113,37.621,36.668,34.614
    Growth (YoY),GHG_SCOPE_1,—,-35.300,15.130,-13.611,-7.289,-1.615,-2.891,-3.815,-2.533,-5.602
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,64.191,39.366,38.009,31.793,25.160,22.461,21.247,18.567,15.081,15.405
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-38.674,-3.446,-16.355,-20.861,-10.730,-5.404,-12.614,-18.775,2.148
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,22.461,33.801,0.227,28.961,21.966
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,50.489,-99.328,"12,658.150",-24.153
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,918.926,983.117,905.495,755.944
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,6.985,-7.896,-16.516
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.258,0.260,0.250,0.220,0.196,0.197,0.164,0.169,0.169,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,0.531,-3.746,-12.050,-10.752,0.525,-16.794,2.805,0.474,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,254.000,275.000,272.000,—,260.235,277.141,286.883,275.577,259.555,247.118
    Growth (YoY),ENERGY_CONSUMPTION,—,8.268,-1.091,—,—,6.496,3.515,-3.941,-5.814,-4.792
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,—,259.555,74.382
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,-71.342
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,0.770,0.830,0.850,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,—,7.792,2.410,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,43.333,—,—,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,—,—
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,658.000,704.000,724.000,787.453,662.575,669.438,776.026,720.749,708.774,682.327
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,6.991,2.841,8.764,-15.858,1.036,15.922,-7.123,-1.661,-3.731
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,—,85.628,40.397
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,-52.823
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,"2,110.000","2,160.000","2,320.000",—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,2.370,7.407,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,0.320,—,—,—,—,—,0.841,0.902,1.240,1.324
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,7.167,37.492,6.809
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,25.000,39.000,33.000,32.000,30.000,—,—,—,—,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,56.000,-15.385,-3.030,-6.250,—,—,—,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,43.500,46.000,46.900,46.400
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,5.747,1.957,-1.066
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,37.000,36.000,36.000,36.000,36.000,36.230,36.720,37.300,36.700,36.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,-2.703,0.000,0.000,0.000,0.639,1.352,1.580,-1.609,-1.907
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,14.600,11.700,6.400,8.370,6.820,5.620,6.900
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,-19.863,-45.299,30.781,-18.519,-17.595,22.776
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,0.000,0.000,0.000,0.000,0.000,0.000,—,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,—,—,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.420,0.320,0.220,0.260,0.200,0.380,0.200,0.320,0.280,0.036
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,-23.810,-31.250,18.182,-23.077,90.000,-47.368,60.000,-12.500,-87.143
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"3,848.000","3,872.000","4,132.000","4,053.000","4,183.000","4,155.000","4,207.000","4,370.000","4,322.000","4,232.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,4.400,—,12.100,11.500
