,,,,,,,,,,,
Saputo Inc (SAP CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.610,2.420,3.050,3.230,3.540,3.620,4.430,4.750,4.790,—
    Growth (YoY),ESG_SCORE,—,50.311,26.033,5.902,9.598,2.260,22.376,7.223,0.842,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.000,0.960,1.970,2.110,2.380,2.570,3.310,4.260,4.440,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,104.316,7.117,12.731,8.071,28.921,28.461,4.414,—
BESG Social Pillar Score,SOCIAL_SCORE,0.770,1.330,1.510,1.640,1.850,1.730,3.010,2.980,2.860,—
    Growth (YoY),SOCIAL_SCORE,—,73.164,13.310,9.060,12.444,-6.449,74.152,-0.839,-4.267,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.390,6.660,7.020,7.300,7.790,7.980,7.980,7.630,7.700,—
    Growth (YoY),GOVERNANCE_SCORE,—,4.349,5.292,4.017,6.667,2.485,-0.030,-4.295,0.804,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,33.377,43.155,43.758,47.903,53.606,54.552,59.350,63.143,62.237,64.571
    Growth (YoY),ESG_DISCLOSURE_SCORE,10.748,29.295,1.399,9.471,11.907,1.764,8.796,6.390,-1.434,3.750
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.752,23.558,23.558,26.699,41.770,44.609,56.448,61.552,58.834,64.271
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,132.000,"1,244.827",0.000,13.333,56.448,6.797,26.540,9.042,-4.416,9.240
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,13.210,20.768,22.582,31.892,33.948,33.948,36.518,36.518,36.518,38.090
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,105.164,57.208,8.734,41.232,6.445,0.000,7.569,0.000,0.000,4.305
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,84.979,84.979,84.979,84.979,84.979,84.979,84.979,91.240,91.240,91.240
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,2.357,0.000,0.000,0.000,0.000,0.000,0.000,7.368,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,No,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,515.306,526.767,525.154,519.538,508.247
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,2.224,-0.306,-1.069,-2.173
GHG Scope 1,GHG_SCOPE_1,—,382.601,381.618,407.267,500.133,546.195,528.089,526.479,520.784,509.543
    Growth (YoY),GHG_SCOPE_1,—,—,-0.257,6.721,22.802,9.210,-3.315,-0.305,-1.082,-2.158
