,,,,,,,,,,,
List Manager - Companies,,,,,,,,,,,
List Name,Mining,,,,,,,,,,
Entity Type,Company -> Companies,Owner,NGUYEN NGOC TRAM ANH .,,,,,,,,
List Description,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Company,Ticker,Source,Market Cap ($M),Price ($),YTD Price Change (%),PE (x),,,,,
Equinox Gold Corp. (TSX:EQX),EQX (TSX),Static,2949.9,6.48,28,7.71,,,,,
Exxaro Resources Limited (JSE:EXX),EXX (JSE),Static,2124.5,8.8,2.6,5.32,,,,,
Freeport-McMoRan Inc. (NYSE:FCX),FCX (NYSE),Static,52841.2,36.77,-3.5,48.38,,,,,
Nickel Industries Limited (ASX:NIC),NIC (ASX),Static,-,0.47,-10.3,-,,,,,
Norsk Hydro ASA (OB:NHY),NHY (OB),Static,11829.2,5.99,6.5,17.35,,,,,
,,,,,,,,,,,
