,,,,,,
Equinox Gold Corp (EQX CN) - Overview,,,,,,
,,,,,,
In Millions of USD except Per Share,,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,
BESG ESG Score,ESG_SCORE,—,—,5.540,5.780,—
    Growth (YoY),ESG_SCORE,—,—,—,4.332,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,3.040,4.280,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,40.803,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,6.670,6.150,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,-7.789,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,8.010,7.500,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,-6.433,—
,,,,,,
ESG Disclosure Scores,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,34.423,38.155,46.514,54.310,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,10.842,21.909,16.760,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,2.839,13.017,21.806,41.075,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,358.511,67.517,88.366,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,15.266,16.294,32.618,36.759,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,6.733,100.186,12.697,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,84.979,84.979,84.979,84.979,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.000,0.000,0.000,—
,,,,,,
Environmental,,,,,,
Air Quality,,,,,,
,,,,,,
Climate Change,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,226.437,276.193,281.845,278.145
    Growth (YoY),GHG_SCOPE_1,—,—,21.973,2.046,-1.313
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,27.173,109.781,59.302,49.635
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,304.008,-45.982,-16.301
