,,,,,,,,,,,
Exxaro Resources Ltd (EXX SJ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of ZAR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.790,4.160,4.050,4.760,5.370,5.620,5.450,5.150,—
    Growth (YoY),ESG_SCORE,—,—,9.763,-2.644,17.531,12.815,4.655,-3.025,-5.505,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.140,3.140,3.190,4.480,4.930,5.610,5.770,5.420,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-0.008,1.618,40.571,9.940,13.796,3.005,-6.167,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.730,3.740,3.170,2.970,4.190,4.130,3.620,2.680,—
    Growth (YoY),SOCIAL_SCORE,—,—,36.950,-15.093,-6.386,41.026,-1.414,-12.341,-26.101,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.310,6.620,6.760,7.430,7.510,7.340,6.960,7.730,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,5.000,2.131,9.858,1.115,-2.302,-5.155,11.006,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,50.810,51.001,51.524,48.758,52.188,56.332,59.994,60.990,60.930,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.437,0.376,1.026,-5.369,7.035,7.941,6.500,1.660,-0.099,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,36.122,36.122,36.122,36.122,42.887,42.887,46.028,47.992,51.435,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-0.911,0.000,0.000,0.000,18.729,0.000,7.324,4.265,7.174,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,33.162,33.162,34.734,34.734,35.762,39.903,41.475,42.503,38.876,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,3.102,0.000,4.740,0.000,2.959,11.581,3.939,2.478,-8.535,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,83.594,83.594,75.316,77.815,86.093,92.354,92.354,92.354,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.689,0.000,-9.903,3.317,10.638,7.273,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,268.650,230.468,225.952,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,-14.213,-1.959,—
GHG Scope 1,GHG_SCOPE_1,229.800,235.179,271.700,324.900,315.000,412.000,385.178,345.227,333.372,310.000
    Growth (YoY),GHG_SCOPE_1,-2.423,2.341,15.529,19.580,-3.047,30.794,-6.510,-10.372,-3.434,-7.011
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,557.600,521.905,501.000,539.000,553.000,670.000,649.306,649.854,637.284,643.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,6.153,-6.402,-4.006,7.585,2.597,21.157,-3.089,0.084,-1.934,0.897
GHG Scope 3,GHG_SCOPE_3,"74,768.000","73,846.797","71,651.000","76,462.000","72,928.000","70,947.000","70,956.898","71,949.297","75,464.297","68,156.000"
    Growth (YoY),GHG_SCOPE_3,7.214,-1.232,-2.973,6.714,-4.622,-2.716,0.014,1.399,4.885,-9.684
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"1,199.690","1,212.260","1,164.760","1,273.380","1,382.570","1,438.770","1,582.100","1,531.470","1,437.530","1,449.830"
    Growth (YoY),ENERGY_CONSUMPTION,114.686,1.048,-3.918,9.326,8.575,4.065,9.962,-3.200,-6.134,0.856
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,0.000,724.000,671.000,727.000
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,-7.320,8.346
Electricity Used,ELECTRICITY_USED,584.208,555.218,532.968,527.688,553.100,624.240,605.770,601.717,590.078,590.931
    Growth (YoY),ELECTRICITY_USED,4.545,-4.962,-4.007,-0.991,4.816,12.862,-2.959,-0.669,-1.934,0.145
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,41.315,—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,58.818,65.917,63.363,72.101,73.804,98.702,96.131,92.915,84.612,83.629
    Growth (YoY),OIL_DIESEL_USED,-0.725,12.070,-3.874,13.789,2.362,33.735,-2.605,-3.345,-8.937,-1.161
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,1.542,1.814,4.101,3.058,2.694,4.090,1.511,0.520,1.624,3.186
    Growth (YoY),HAZARDOUS_WASTE,12.555,17.639,126.075,-25.433,-11.903,51.819,-63.056,-65.586,212.308,96.182
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,3.018,2.768,2.703
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,—,-8.284,-2.348
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,1.542,1.814,4.102,3.058,2.694,4.088,1.511,0.520,1.624,3.186
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,14.307,17.639,126.130,-25.451,-11.903,51.745,-63.038,-65.586,212.308,96.182
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"7,068.960","8,465.910","8,114.330","7,675.310","18,864.000","9,021.000","11,798.000","10,890.000","11,486.000","8,744.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-14.218,19.762,-4.153,-5.410,145.775,-52.179,30.784,-7.696,5.473,-23.873
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,"1,953.000","1,339.000",874.000,609.000,"1,068.000","1,314.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,-31.439,-34.727,-30.320,75.369,23.034
Water Consumption,WATER_CONSMPTN,—,—,—,—,"8,211.000","7,682.000","10,924.000","10,281.000","10,419.000","7,430.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,-6.443,42.203,-5.886,1.342,-28.688
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,88.000,63.000,48.200,51.300,77.000,95.000,198.640,241.420,472.510,—
    Growth (YoY),COMMUNITY_SPENDING,54.386,-28.409,-23.492,6.432,50.097,23.377,109.095,21.536,95.721,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,19.370,20.480,22.670,30.670
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,5.731,10.693,35.289
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,20.460,36.160,37.840,40.620,45.310
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,76.735,4.646,7.347,11.546
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,19.000,19.000,20.000,21.000,22.000,22.000,24.000,26.000,29.000,31.200
    Growth (YoY),PCT_WOMEN_EMPLOYEES,5.556,0.000,5.263,5.000,4.762,0.000,9.091,8.333,11.538,7.586
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,1.430,1.005,1.160,1.340,1.440,1.590,1.600,1.690
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,-29.720,15.423,15.517,7.463,10.417,0.629,5.625
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,—,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,0.000
Fatalities - Total,FATALITIES_TOTAL,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.190,—,—,—,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,0.000,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.170,0.090,0.120,0.120,0.120,0.050,0.080,0.050,0.070
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,-47.059,33.333,0.000,0.000,-58.333,60.000,-37.500,40.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"7,841.000","7,610.000","6,648.000","6,561.000","6,500.000","6,812.000","6,739.000","6,745.000","6,745.000","6,797.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,"10,000.000","13,330.000","15,726.000","12,068.000","12,497.000","13,868.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,6.800,4.700,5.110,5.500,5.100,3.800,3.600,3.700,4.400,4.500
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,-30.882,8.723,7.632,-7.273,-25.490,-5.263,2.778,18.919,2.273
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,77.400,76.000,81.400,82.000,—,75.000,75.960,81.930,82.370,83.810
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-1.401,-1.809,7.105,0.737,—,—,1.280,7.859,0.537,1.748
Employee Training Cost,EMPLOYEE_TRAINING_COST,221.000,184.000,178.000,224.000,260.000,298.000,227.000,276.000,331.000,358.000
    Growth (YoY),EMPLOYEE_TRAINING_COST,10.500,-16.742,-3.261,25.843,16.071,14.615,-23.826,21.586,19.928,8.157
