,,,,,,,,,,,
Freeport-McMoRan Inc (FCX US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,4.190,4.520,4.650,4.680,5.530,5.680,7.330,7.230,—,—
    Growth (YoY),ESG_SCORE,—,7.876,2.876,0.645,18.162,2.712,29.049,-1.364,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,4.680,4.570,4.990,4.690,4.440,4.870,6.330,6.120,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,-2.359,9.166,-6.052,-5.300,9.792,29.784,-3.302,—,—
BESG Social Pillar Score,SOCIAL_SCORE,2.150,2.640,2.630,2.840,5.300,5.260,7.690,7.660,—,—
    Growth (YoY),SOCIAL_SCORE,—,22.466,-0.349,8.059,86.661,-0.674,46.166,-0.474,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.690,7.520,7.340,7.700,7.930,7.760,8.650,8.650,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,12.281,-2.289,4.822,3.012,-2.109,11.399,0.013,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,65.557,68.655,70.255,70.476,71.472,73.051,75.224,75.224,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,13.517,4.726,2.330,0.315,1.413,2.210,2.974,0.000,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,66.083,65.569,66.747,68.982,72.788,74.509,79.070,79.070,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,25.387,-0.777,1.796,3.348,5.517,2.365,6.121,0.000,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,32.950,42.775,46.403,44.831,46.403,47.038,49.002,49.002,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,5.825,29.817,8.481,-3.388,3.506,1.368,4.177,0.000,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,97.502,97.502,97.502,97.502,95.123,97.502,97.502,97.502,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,9.204,0.000,0.000,0.000,-2.439,2.500,0.000,0.000,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,42.000,42.100,39.100,41.500,47.900,39.900,47.500,49.700,43.200,—
    Growth (YoY),NOX_EMISSIONS,5.000,0.238,-7.126,6.138,15.422,-16.701,19.048,4.632,-13.078,—
VOC Emissions,VOC_EMISSIONS,11.000,10.200,8.800,9.400,10.100,8.300,8.500,4.200,4.600,—
    Growth (YoY),VOC_EMISSIONS,10.000,-7.273,-13.725,6.818,7.447,-17.822,2.410,-50.588,9.524,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,119.400,102.800,109.700,117.600,98.200,96.100,38.400,39.500,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,-13.903,6.712,7.201,-16.497,-2.138,-60.042,2.865,—
Particulate Emissions,PARTICULATE_EMISSIONS,34.000,25.100,15.300,17.300,14.200,13.100,13.000,14.600,16.500,—
    Growth (YoY),PARTICULATE_EMISSIONS,30.769,-26.176,-39.044,13.072,-17.919,-7.746,-0.763,12.308,13.014,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,11.000,12.500,11.100,12.200,7.200,7.300,7.000,6.900,6.700,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-8.333,13.636,-11.200,9.910,-40.984,1.389,-4.110,-1.429,-2.899,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
ODS Emissions,ODS_EMISSIONS,1.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
    Growth (YoY),ODS_EMISSIONS,"99,900.000",-99.995,100.000,-33.333,-75.000,0.000,0.000,-50.000,-50.000,—
CO2 Scope 1,CO2_SCOPE_1,"5,695.030",119.000,"1,616.240",—,—,—,"4,247.960","4,656.110",—,—
    Growth (YoY),CO2_SCOPE_1,20.631,-97.910,"1,258.185",—,—,—,—,9.608,—,—
GHG Scope 1,GHG_SCOPE_1,"6,000.000","4,793.260","1,792.270","4,960.960","4,729.670","4,234.300","4,575.560","4,927.820","5,139.520",—
    Growth (YoY),GHG_SCOPE_1,15.385,-20.112,-62.609,176.798,-4.662,-10.474,8.059,7.699,4.296,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"4,600.000","4,201.060","3,115.660",—,—,—,"2,872.060","2,881.410","2,831.750",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,6.977,-8.673,-25.836,—,—,—,—,0.326,-1.723,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,"3,691.120","3,164.820","3,059.860","2,856.130","2,614.160","2,757.460","2,624.650",—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,-14.259,-3.316,-6.658,-8.472,5.482,-4.816,—
GHG Scope 3,GHG_SCOPE_3,489.100,618.819,706.214,"1,224.350","1,211.330","1,729.250","5,179.520","5,892.370","6,428.200",—
    Growth (YoY),GHG_SCOPE_3,-2.155,26.522,14.123,73.368,-1.063,42.756,199.524,13.763,9.094,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,—,1.000,1.000,1.000,1.000,1.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,—,—,0.000,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"34,918.500","27,805.600","14,865.100","27,083.900","26,198.600","23,958.100","25,336.699","26,964.400","28,143.600",—
    Growth (YoY),ENERGY_CONSUMPTION,39.674,-20.370,-46.539,82.198,-3.269,-8.552,5.754,6.424,4.373,—
Renewable Energy Use,RENEW_ENERGY_USE,"4,337.580","2,831.750","2,673.380",—,—,"2,954.090","3,794.440","4,022.040","4,602.220",—
    Growth (YoY),RENEW_ENERGY_USE,—,-34.716,-5.593,—,—,—,28.447,5.998,14.425,—
Electricity Used,ELECTRICITY_USED,"16,120.800","17,965.900","8,792.790","10,083.300","9,966.940","9,201.390","9,454.170","9,965.280","10,152.200",—
    Growth (YoY),ELECTRICITY_USED,87.209,11.445,-51.058,14.677,-1.154,-7.681,2.747,5.406,1.876,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,0.000,0.020,0.024,—,—,—,0.000,0.000,—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,20.000,—,—,—,—,—,—,—
Fuel Used - Coal/Lignite,COAL_USED,791.937,833.779,695.613,773.358,654.694,673.803,621.560,717.245,723.959,—
    Growth (YoY),COAL_USED,25.000,5.283,-16.571,11.176,-15.344,2.919,-7.753,15.394,0.936,—
Fuel Used - Natural Gas,NAT_GAS_USED,"156,710.000","151,352.000","71,419.203","176,226.000","173,556.000","172,959.000","187,336.000","183,899.000","200,980.000",—
    Growth (YoY),NAT_GAS_USED,—,-3.419,-52.813,146.749,-1.515,-0.344,8.312,-1.835,9.288,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,698.048,635.058,154.589,955.187,979.679,386.282,4.090,660.975,733.406,—
    Growth (YoY),OIL_DIESEL_USED,—,-9.024,-75.657,517.888,2.564,-60.571,-98.941,"16,058.900",10.958,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,129.000,100.500,77.100,98.000,103.700,74.200,29.400,32.600,29.500,—
    Growth (YoY),HAZARDOUS_WASTE,-31.016,-22.093,-23.284,27.108,5.816,-28.447,-60.377,10.884,-9.509,—
Total Waste,TOTAL_WASTE,"564,590.000","495,876.000","452,745.000","695,878.000","754,839.000","608,829.000","660,862.000","745,974.000","749,997.000",—
    Growth (YoY),TOTAL_WASTE,0.753,-12.171,-8.698,53.702,8.473,-19.343,8.546,12.879,0.539,—
Waste Recycled,WASTE_RECYCLED,89.000,95.200,92.000,122.700,143.500,114.000,125.400,133.900,133.700,—
    Growth (YoY),WASTE_RECYCLED,3.488,6.966,-3.361,33.370,16.952,-20.557,10.000,6.778,-0.149,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,167.000,94.100,84.700,86.200,104.300,56.700,64.300,69.400,81.000,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-26.106,-43.653,-9.989,1.771,20.998,-45.638,13.404,7.932,16.715,—
Raw Materials Used,RAW_MAT_USED,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),RAW_MAT_USED,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"286,900.000","302,464.000","275,037.000","310,620.000","302,564.000","261,299.000","296,805.000","291,682.000","314,715.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,4.670,5.425,-9.068,12.938,-2.594,-13.638,13.588,-1.726,7.897,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,"119,310.000",—,—,"106,183.000","95,885.000","101,963.000","106,127.000","97,347.000","118,295.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,12.876,—,—,—,-9.698,6.339,4.084,-8.273,21.519,—
Water Consumption,WATER_CONSMPTN,"1,459,000.000","1,738,300.000",—,—,"192,500.000","166,752.000","184,714.000","197,983.000","200,579.000",—
    Growth (YoY),WATER_CONSMPTN,10.063,19.143,—,—,—,-13.376,10.772,7.184,1.311,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,165.000,129.000,153.000,155.000,100.000,108.000,164.000,177.000,187.100,—
    Growth (YoY),COMMUNITY_SPENDING,-16.667,-21.818,18.605,1.307,-35.484,8.000,51.852,7.927,5.706,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
