,,,,,,,
Nickel Industries Ltd (NIC AU) - Overview,,,,,,,
,,,,,,,
In Millions of USD except Per Share,,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,06/30/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,1.780,2.350,2.800
    Growth (YoY),ESG_SCORE,—,—,—,—,32.022,19.149
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,2.050,2.230,2.990
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,8.700,33.797
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,0.660,1.760,1.800
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,168.689,2.106
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,3.170,3.430,4.000
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,8.277,16.401
,,,,,,,
ESG Disclosure Scores,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,17.956,23.549,34.192,42.591,41.545,41.887
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,31.148,45.194,24.566,-2.456,0.823
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,3.383,20.477,30.233,28.904,28.904
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,505.357,47.640,-4.396,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,6.983,15.387,18.410,27.600,25.786,26.814
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,120.346,19.646,49.918,-6.572,3.986
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,46.779,51.776,63.576,69.837,69.837,69.837
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,10.682,22.791,9.848,0.000,0.000
,,,,,,,
Environmental,,,,,,,
Air Quality,,,,,,,
,,,,,,,
Climate Change,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,"1,207.430",940.808,"1,770.090","3,193.570"
    Growth (YoY),GHG_SCOPE_1,—,—,—,-22.082,88.146,80.419
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,975.078,"1,086.940","1,814.180","3,440.250"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,11.472,66.907,89.631
GHG Scope 3,GHG_SCOPE_3,—,—,—,20.827,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,63.600,64.990,63.930,64.650
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,2.186,-1.631,1.126
,,,,,,,
Energy,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,"5,299.560","5,069.000","9,131.990","16,485.000"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,-4.351,80.154,80.519
Electricity Used,ELECTRICITY_USED,—,—,"1,601.640","1,572.550","2,624.680","4,977.210"
    Growth (YoY),ELECTRICITY_USED,—,—,—,-1.816,66.906,89.631
