,,,,,,,,,,,
Norsk Hydro ASA (NHY NO) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of NOK except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,5.980,5.960,5.790,5.820,5.980,5.800,6.330,6.550,—,—
    Growth (YoY),ESG_SCORE,—,-0.334,-2.852,0.518,2.749,-3.010,9.138,3.476,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,4.950,4.770,4.750,5.110,5.340,5.110,5.930,6.040,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,-3.637,-0.386,7.512,4.371,-4.297,16.087,1.826,—,—
BESG Social Pillar Score,SOCIAL_SCORE,6.300,6.860,6.180,5.800,5.970,6.260,6.610,6.720,—,—
    Growth (YoY),SOCIAL_SCORE,—,8.806,-9.898,-6.031,2.836,4.793,5.650,1.665,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,7.380,6.880,7.130,7.130,7.150,6.390,6.640,7.200,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,-6.719,3.555,0.013,0.270,-10.688,3.993,8.428,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,70.566,70.566,69.440,72.508,72.508,72.508,72.981,73.836,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,1.667,0.000,-1.597,4.418,0.000,0.000,0.652,1.172,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,65.177,65.177,61.794,69.979,68.559,68.559,69.979,69.979,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,4.656,0.000,-5.190,13.245,-2.028,0.000,2.070,0.000,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,59.734,59.734,59.734,60.762,62.183,62.183,62.183,64.752,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,0.000,0.000,1.721,2.338,0.000,0.000,4.132,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,86.725,86.725,86.725,86.725,86.725,86.725,86.725,86.725,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,9.387,9.671,9.313,7.130,7.562,7.896,8.539,8.138,7.438,—
    Growth (YoY),NOX_EMISSIONS,3.873,3.025,-3.702,-23.440,6.059,4.417,8.143,-4.696,-8.602,—
VOC Emissions,VOC_EMISSIONS,0.257,0.472,0.227,0.203,0.193,0.159,0.225,0.339,0.149,—
    Growth (YoY),VOC_EMISSIONS,3.846,84.016,-51.907,-10.573,-4.926,-17.617,41.509,50.667,-56.047,—
Particulate Emissions,PARTICULATE_EMISSIONS,5.101,4.347,4.662,2.720,3.110,3.009,4.037,3.550,3.974,—
    Growth (YoY),PARTICULATE_EMISSIONS,-1.923,-14.781,7.246,-41.656,14.338,-3.248,34.164,-12.063,11.944,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,30.053,33.344,31.303,16.275,22.817,22.332,27.519,21.702,22.042,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-9.996,10.950,-6.121,-48.008,40.197,-2.126,23.227,-21.138,1.567,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
ODS Emissions,ODS_EMISSIONS,0.003,0.006,0.007,0.006,0.006,0.005,0.007,0.007,0.008,—
    Growth (YoY),ODS_EMISSIONS,—,76.471,21.667,-23.288,10.714,-12.903,38.889,-13.333,27.692,—
CO2 Scope 1,CO2_SCOPE_1,"7,055.610","7,337.950","8,009.030","5,840.000","6,270.000","6,720.000","7,334.650","6,998.320",—,—
    Growth (YoY),CO2_SCOPE_1,—,4.002,9.145,-27.082,7.363,7.177,9.147,-4.585,—,—
GHG Scope 1,GHG_SCOPE_1,"9,583.910","9,920.840","10,281.400","8,149.000","6,520.000","6,940.000","7,630.000","9,057.000","6,790.000",—
    Growth (YoY),GHG_SCOPE_1,0.460,3.516,3.634,-20.740,-19.990,6.442,9.942,18.702,-25.030,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"3,539.620","3,766.840","4,026.380","2,057.000","1,530.000","1,400.000","1,810.000","1,975.000","1,160.000",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,1.422,6.419,6.890,-48.912,-25.620,-8.497,29.286,9.116,-41.266,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,"31,480.000",—,—,"16,340.000","14,760.000","13,410.000",—
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,-9.670,-9.146,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-66.667,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"48,916.699","50,265.898","63,021.699","41,583.301","45,250.000","47,388.898","50,027.801","47,888.898","45,722.199",—
    Growth (YoY),ENERGY_CONSUMPTION,4.017,2.758,25.377,-34.017,8.818,4.727,5.569,-4.275,-4.524,—
Renewable Energy Use,RENEW_ENERGY_USE,"10,894.000","11,332.000","32,168.600","30,574.199","20,959.100","21,841.301","22,642.199","22,864.100","18,927.801",—
    Growth (YoY),RENEW_ENERGY_USE,—,4.021,183.874,-4.956,-31.448,4.209,3.667,0.980,-17.216,—
Electricity Used,ELECTRICITY_USED,"27,694.400","28,803.400","28,408.900","24,444.400","26,583.301","27,194.400","28,388.900","27,555.600","25,861.100",—
    Growth (YoY),ELECTRICITY_USED,8.487,4.004,-1.370,-13.955,8.750,2.299,4.392,-2.935,-6.149,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,"10,894.000","11,332.000","10,835.000","10,690.000","9,150.000","11,522.000","9,055.000","7,664.000",—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,4.021,-4.386,-1.338,-14.406,25.923,-21.411,-15.362,—,—
Fuel Used - Coal/Lignite,COAL_USED,658.537,618.972,563.236,"1,138.210","1,170.730","1,215.450","1,186.990","1,154.470","1,024.390",—
    Growth (YoY),COAL_USED,-4.965,-6.008,-9.005,102.084,2.857,3.820,-2.342,-2.740,-11.268,—
Fuel Used - Natural Gas,NAT_GAS_USED,"167,163.000","174,712.000","511,294.000","378,902.000","373,259.000","337,047.000","359,331.000","337,047.000","334,262.000",—
    Growth (YoY),NAT_GAS_USED,-23.741,4.516,192.650,-25.894,-1.489,-9.702,6.612,-6.202,-0.826,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,843.189,849.505,762.501,419.175,530.215,657.910,802.262,724.534,760.622,—
    Growth (YoY),OIL_DIESEL_USED,2.692,0.749,-10.242,-45.026,26.490,24.084,21.941,-9.689,4.981,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,196.000,282.000,281.000,213.000,229.000,215.000,224.000,211.000,208.000,—
    Growth (YoY),HAZARDOUS_WASTE,18.072,43.878,-0.355,-24.199,7.512,-6.114,4.186,-5.804,-1.422,—
Total Waste,TOTAL_WASTE,"80,515.000","94,179.000","93,684.000","53,833.000","52,258.000","75,791.000","89,353.000","92,389.000","97,807.000",—
    Growth (YoY),TOTAL_WASTE,-9.291,16.971,-0.526,-42.538,-2.926,45.032,17.894,3.398,5.864,—
Waste Recycled,WASTE_RECYCLED,168.100,203.410,267.430,257.000,252.000,424.000,528.000,507.000,522.000,—
    Growth (YoY),WASTE_RECYCLED,86.736,21.005,31.473,-3.900,-1.946,68.254,24.528,-3.977,2.959,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,159.690,203.650,281.470,130.000,134.000,107.000,117.000,129.000,109.000,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-12.364,27.528,38.213,-53.814,3.077,-20.149,9.346,10.256,-15.504,—
Raw Materials Used,RAW_MAT_USED,"3,951.400","4,108.000","3,831.000","3,313.000","3,484.000","3,648.000","4,018.000","3,830.000",—,—
    Growth (YoY),RAW_MAT_USED,6.852,3.963,-6.743,-13.521,5.161,4.707,10.143,-4.679,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"251,140.000","251,880.000","250,000.000","286,600.000","287,200.000","287,500.000","292,800.000","288,700.000","283,800.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,12.664,0.295,-0.746,14.640,0.209,0.104,1.843,-1.400,-1.697,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,"230,100.000","229,640.000",—,"274,100.000","276,700.000","281,300.000","282,000.000","278,400.000","266,600.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,5.025,-0.200,—,—,0.949,1.662,0.249,-1.277,-4.239,—
Water Consumption,WATER_CONSMPTN,—,—,—,"12,500.000","10,600.000","6,200.000","10,800.000","10,900.000","17,200.000",—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,-15.200,-41.509,74.194,0.926,57.798,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,30.000,19.000,23.000,29.000,50.000,42.000,30.000,50.000,48.000,75.000
    Growth (YoY),COMMUNITY_SPENDING,25.000,-36.667,21.053,26.087,72.414,-16.000,-28.571,66.667,-4.000,56.250
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,30.000,29.000,28.000,33.000,32.000,31.000,35.000,37.000,37.000,35.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,36.364,-3.333,-3.448,17.857,-3.030,-3.125,12.903,5.714,0.000,-5.405
