,,,,,,,,,,,
List Manager - Companies,,,,,,,,,,,
List Name,Power,,,,,,,,,,
Entity Type,Company -> Companies,Owner,NGUYEN NGOC TRAM ANH .,,,,,,,,
List Description,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Company,Ticker,Source,Market Cap ($M),Price ($),YTD Price Change (%),PE (x),,,,,
Aboitiz Power Corporation (PSE:AP),AP (PSE),Static,-,0.71,8.5,-,,,,,
AGL Energy Limited (ASX:AGL),AGL (ASX),Static,4477,6.65,-6.8,-,,,,,
Ameren Corporation (NYSE:AEE),AEE (NYSE),Static,26831.4,99.41,11.5,32.28,,,,,
Boralex Inc. (TSX:BLX),BLX (TSX),Static,2099.7,20.43,1.8,NM,,,,,
"Chubu Electric Power Company, Incorporated (TSE:9502)",9502 (TSE),Static,8046.9,10.65,-3.9,-,,,,,
"FDC Utilities, Inc.",-,Static,-,-,-,-,,,,,
Global Power Synergy Public Company Limited (SET:GPSC),GPSC (SET),Static,-,0.85,-24.8,-,,,,,
"Iberdrola, S.A. (BME:IBE)",IBE (BME),Static,91314,14.6,4.4,-,,,,,
"JERA Co., Inc.",-,Static,-,-,-,-,,,,,
Korea Electric Power Corporation (KOSE:A015760),A015760 (KOSE),Static,-,16.02,14.5,-,,,,,
Kyudenko Corporation (TSE:1959),1959 (TSE),Static,-,30.26,-12.4,-,,,,,
"Longview Power, LLC",-,Static,-,-,-,-,,,,,
Sumitomo Corporation (TSE:8053),8053 (TSE),Static,-,23.28,0.8,6.29,,,,,
TenneT Holding B.V.,-,Static,-,-,-,-,,,,,
Termoyopal S.A.,-,Static,-,-,-,-,,,,,
"The Chugoku Electric Power Co., Inc. (TSE:9504)",9504 (TSE),Static,2047.8,5.7,-6.9,-,,,,,
"The Okinawa Electric Power Company, Incorporated (TSE:9511)",9511 (TSE),Static,-,6.1,-5.5,-,,,,,
"Tohoku Electric Power Company, Incorporated (TSE:9506)",9506 (TSE),Static,3597.6,7.19,-9.7,-,,,,,
"Tokyo Electric Power Company Holdings, Incorporated (TSE:9501)",9501 (TSE),Static,4273.7,2.67,-16.1,-,,,,,
Vistra Corp. (NYSE:VST),VST (NYSE),Static,46924,137.92,0,6.57,,,,,
,,,,,,,,,,,
