,,,,,,,,,,,
AGL Energy Ltd (AGL AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of AUD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,06/30/2015,06/30/2016,06/30/2017,06/30/2018,06/30/2019,06/30/2020,06/30/2021,06/30/2022,06/30/2023,06/30/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,3.760,4.080,4.180,4.500,4.780,5.440,5.170,5.340,5.280,—
    Growth (YoY),ESG_SCORE,—,8.511,2.451,7.656,6.222,13.808,-4.963,3.288,-1.124,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.120,2.960,2.950,3.330,3.450,4.520,4.180,4.450,4.400,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,39.711,-0.374,12.857,3.521,31.100,-7.418,6.383,-1.160,—
BESG Social Pillar Score,SOCIAL_SCORE,4.350,4.090,4.470,4.600,4.760,5.710,5.550,5.850,4.720,—
    Growth (YoY),SOCIAL_SCORE,—,-5.887,9.266,2.930,3.544,19.959,-2.846,5.371,-19.278,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.530,6.230,6.250,6.650,7.430,6.830,6.570,6.440,7.550,—
    Growth (YoY),GOVERNANCE_SCORE,—,-4.516,0.243,6.416,11.679,-8.052,-3.743,-1.972,17.224,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,64.138,67.941,67.941,66.653,68.082,69.470,69.862,70.697,67.619,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,6.143,5.928,0.000,-1.895,2.143,2.039,0.565,1.195,-4.354,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,62.549,72.153,72.153,65.720,67.442,67.442,68.620,68.620,57.203,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,5.717,15.355,0.000,-8.916,2.619,0.000,1.747,0.000,-16.637,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,53.597,55.411,55.411,57.981,60.550,64.722,64.722,64.722,66.898,—
