,,,,,,,,,,,
Aboitiz Power Corp (AP PM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of PHP except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,1.550,1.800,1.810,2.080,2.070,2.500,2.230,2.030,2.260
    Growth (YoY),ESG_SCORE,—,—,16.129,0.556,14.917,-0.481,20.773,-10.800,-8.969,11.330
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.580,0.580,0.580,1.050,1.030,1.220,0.880,0.800,0.930
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-0.250,0.026,80.238,-2.448,19.238,-27.707,-9.931,16.964
BESG Social Pillar Score,SOCIAL_SCORE,—,1.330,2.310,2.380,2.430,2.060,2.910,2.550,1.920,2.440
    Growth (YoY),SOCIAL_SCORE,—,—,73.535,3.264,1.960,-15.134,41.012,-12.461,-24.491,26.822
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,3.990,3.950,3.880,3.840,4.290,4.730,4.840,4.970,5.010
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.033,-1.840,-1.045,11.904,10.191,2.232,2.882,0.636
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,40.710,38.718,47.028,44.010,41.897,40.952,54.854,51.172,48.426,51.745
    Growth (YoY),ESG_DISCLOSURE_SCORE,45.996,-4.893,21.460,-6.417,-4.800,-2.257,33.947,-6.712,-5.367,6.855
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,15.252,13.531,17.457,17.457,23.679,25.974,40.683,33.917,37.300,37.723
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,48.529,-11.287,29.018,0.000,35.640,9.694,56.628,-16.630,9.973,1.134
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,26.209,21.947,42.987,42.987,42.987,37.848,43.259,43.259,31.620,35.248
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,122.308,-16.263,95.868,0.000,0.000,-11.955,14.297,0.000,-26.904,11.472
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,80.524,80.524,80.524,71.493,58.971,58.971,80.524,76.249,76.249,82.149
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,30.999,0.000,0.000,-11.215,-17.516,0.000,36.549,-5.308,0.000,7.738
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,"2,295.900","3,232.760","3,743.080","4,078.980","3,905.600","4,481.380"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,40.806,15.786,8.974,-4.251,14.742
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,189.690,261.724,192.695,622.409,551.371,588.684
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,37.975,-26.375,223.002,-11.413,6.767
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,342.521,526.325,518.663,614.088,676.103,991.163,"18,752.000","35,730.398","38,689.301"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,53.662,-1.456,18.398,10.099,46.599,"1,791.919",90.542,8.281
Renewable Energy Use,RENEW_ENERGY_USE,0.893,—,—,—,—,—,—,—,—,—
Electricity Used,ELECTRICITY_USED,416.500,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,0.310,0.136,0.196,2.305,2.861,47.537,82.036,1.929
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,-56.129,44.118,"1,076.020",24.121,"1,561.552",72.573,-97.649
Total Waste,TOTAL_WASTE,—,—,3.486,2.628,2.191,3.544,5.337,51.881,132.418,141.296
    Growth (YoY),TOTAL_WASTE,—,—,—,-24.613,-16.629,61.753,50.593,872.100,155.234,6.705
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,1.239,2.476,4.344,132.411,—
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,99.839,75.444,"2,948.135",—
Raw Materials Used,RAW_MAT_USED,—,—,—,—,—,—,—,—,—,"25,932.199"
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No,No,No
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,178.240,441.895,684.477,777.353,582.296,"5,052.210","2,708.010","4,209.470","1,078,670.000","1,184,520.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,147.921,54.896,13.569,-25.092,767.636,-46.399,55.445,"25,524.840",9.813
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,"445,048.000","460,860.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,—,3.553
Water Consumption,WATER_CONSMPTN,—,—,—,—,582.296,"5,052.210","2,708.010","4,209.470",838.878,"7,735.720"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,767.636,-46.399,55.445,-80.072,822.151
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,610.000,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,16.456,—,26.154,30.230,27.700,28.020,40.790,43.140,47.970,49.150
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,15.586,-8.369,1.155,45.575,5.761,11.196,2.460
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,23.973,—,27.800,26.690,27.190,27.830,29.920,31.450,32.020,34.830
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,-3.993,1.873,2.354,7.510,5.114,1.812,8.776
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,29.440,—,25.200,24.490,42.040,27.600,41.270,42.000,43.000,42.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,-2.817,71.662,-34.348,49.529,1.769,2.381,-2.326
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,0.000,0.000,0.000,0.000,0.000,—,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,2.000,1.000,2.000,4.000,0.000,2.000,—,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,2.000,1.000,2.000,4.000,0.000,2.000,—,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,0.106,0.170,0.068,0.550,0.180,0.080,0.190,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,60.377,-60.000,708.824,-67.273,-55.556,137.500,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,0.292,0.178,0.096,1.370,0.410,0.410,0.290,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,-39.041,-46.067,"1,327.083",-70.073,0.000,-29.268,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,0.204,0.176,0.086,0.410,0.310,0.490,0.480,0.330
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,-13.725,-51.136,376.744,-24.390,58.065,-2.041,-31.250
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,0.178,0.238,0.138,0.240,0.080,0.020,—,0.330
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,33.708,-42.017,73.913,-66.667,-75.000,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,0.324,0.200,0.090,0.140,0.150,0.080,0.320,0.450
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,-38.272,-55.000,55.556,7.143,-46.667,300.000,40.625
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,0.254,0.216,0.110,0.174,0.430,0.230,—,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,-14.961,-49.074,58.182,147.126,-46.512,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"5,312.000","2,703.000","2,914.000","3,063.000","3,043.000","3,163.000","2,940.000","3,049.000","3,975.000","3,681.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"2,881.000","3,081.000","2,984.000","2,524.000","2,138.000",—,—,—,—,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,12.711,11.431,9.094,10.700,6.220,9.050,16.370,5.670,—,12.060
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,-10.069,-20.444,17.660,-41.869,45.498,80.884,-65.363,—,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,26.300,18.000,17.000,16.000,16.000,14.000,13.000,10.690,9.470
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,-31.559,-5.556,-5.882,0.000,-12.500,-7.143,-17.769,-11.413
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"18,039.500","117,564.000","14,670.000","45,868.000","52,734.000",—,"49,980.000","54,882.000","47,700.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,551.703,-87.522,212.665,14.969,—,—,9.808,-13.086,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,2.000
